,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094908,240
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094908,240
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094908,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094908,330
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094908,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094908,190
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094908,150
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094908,140
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094908,330
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094908,340
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094908,280
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094908,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094908,190
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094908,200
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094908,340
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094908,290
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094908,310
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094908,310
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094908,10
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094908,220
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094908,360
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094908,360
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094908,210
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094908,260
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094908,300
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094908,290
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094908,230
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094908,310
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094908,170
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094908,160
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094908,330
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094908,310
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094908,80
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094908,290
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094908,230
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094908,320
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094908,190
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094908,300
