,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00064775,10.5
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00064775,8.3
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00064775,10.5
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00064775,8.7
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00064775,2.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00064775,1.6
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00064775,2.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00064775,8.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00064775,8.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00064775,15.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00064775,17.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00064775,11.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00064775,11.4
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00064775,4.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00064775,9.6
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00064775,9.6
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00064775,5.6
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00064775,13.0
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00064775,16.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00064775,4.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00064775,7.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00064775,3.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00064775,3.4
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00064775,2.2
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00064775,6.3
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00064775,11.4
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00064775,9.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00064775,7.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00064775,11.9
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00064775,7.8
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00064775,6.7
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00064775,6.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00064775,4.0
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00064775,9.4
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00064775,8.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00064775,6.9
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00064775,6.0
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00064775,4.7
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00064775,10.3
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00064775,7.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00064775,8.5
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00064775,13.2
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00064775,6.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00064775,13.9
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00064775,2.9
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00064775,9.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00064775,9.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00064775,8.7
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00064775,5.4
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00064775,9.4
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00064775,7.2
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00064775,6.5
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00064775,5.6
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00064775,9.8
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00064775,11.4
