,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00064775,2021
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00064775,1600
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00064775,1411
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00064775,1700
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00064775,1543
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00064775,448
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00064775,728
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00064775,1456
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00064775,104
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00064775,1940
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00064775,118
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00064775,2041
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00064775,1204
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00064775,1305
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00064775,1755
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00064775,1820
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00064775,2339
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00064775,35
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00064775,1057
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00064775,13
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00064775,1628
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00064775,1315
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00064775,1641
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00064775,1302
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00064775,2353
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00064775,1753
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00064775,1340
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00064775,1056
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00064775,1145
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00064775,1301
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00064775,1537
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00064775,818
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00064775,2302
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00064775,1222
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00064775,929
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00064775,1433
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00064775,1232
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00064775,1318
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00064775,1300
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00064775,135
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00064775,1747
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00064775,1500
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00064775,1630
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00064775,1456
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00064775,1431
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00064775,1214
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00064775,1806
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00064775,1939
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00064775,24
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00064775,2145
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00064775,1117
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00064775,556
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00064775,1338
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00064775,2008
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00064775,2107
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00064775,2250
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00064775,120
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00064775,1438
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00064775,2354
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00064775,2126
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00064775,12
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00064775,454
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00064775,39
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00064775,2206
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00064775,1634
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00064775,1450
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00064775,1131
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00064775,942
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00064775,1558
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00064775,1614
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00064775,1315
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00064775,1347
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00064775,2135
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00064775,1646
74,",,W,",PGTM,2016-03-15T00:00:00,GHCND:USW00064775,142
75,",,W,",PGTM,2016-03-16T00:00:00,GHCND:USW00064775,1344
76,",,W,",PGTM,2016-03-17T00:00:00,GHCND:USW00064775,1631
77,",,W,",PGTM,2016-03-18T00:00:00,GHCND:USW00064775,1701
78,",,W,",PGTM,2016-03-19T00:00:00,GHCND:USW00064775,1214
79,",,W,",PGTM,2016-03-20T00:00:00,GHCND:USW00064775,929
80,",,W,",PGTM,2016-03-21T00:00:00,GHCND:USW00064775,2146
81,",,W,",PGTM,2016-03-22T00:00:00,GHCND:USW00064775,1131
82,",,W,",PGTM,2016-03-23T00:00:00,GHCND:USW00064775,1744
83,",,W,",PGTM,2016-03-24T00:00:00,GHCND:USW00064775,1515
84,",,W,",PGTM,2016-03-25T00:00:00,GHCND:USW00064775,1220
85,",,W,",PGTM,2016-03-26T00:00:00,GHCND:USW00064775,1429
86,",,W,",PGTM,2016-03-27T00:00:00,GHCND:USW00064775,1911
87,",,W,",PGTM,2016-03-28T00:00:00,GHCND:USW00064775,1613
88,",,W,",PGTM,2016-03-29T00:00:00,GHCND:USW00064775,1402
89,",,W,",PGTM,2016-03-30T00:00:00,GHCND:USW00064775,1651
90,",,W,",PGTM,2016-03-31T00:00:00,GHCND:USW00064775,1747
91,",,W,",PGTM,2016-04-01T00:00:00,GHCND:USW00064775,1702
92,",,W,",PGTM,2016-04-02T00:00:00,GHCND:USW00064775,1103
93,",,W,",PGTM,2016-04-03T00:00:00,GHCND:USW00064775,1402
94,",,W,",PGTM,2016-04-04T00:00:00,GHCND:USW00064775,2143
95,",,W,",PGTM,2016-04-05T00:00:00,GHCND:USW00064775,1539
96,",,W,",PGTM,2016-04-06T00:00:00,GHCND:USW00064775,1323
97,",,W,",PGTM,2016-04-07T00:00:00,GHCND:USW00064775,54
98,",,W,",PGTM,2016-04-08T00:00:00,GHCND:USW00064775,1305
99,",,W,",PGTM,2016-04-09T00:00:00,GHCND:USW00064775,1850
100,",,W,",PGTM,2016-04-10T00:00:00,GHCND:USW00064775,2018
101,",,W,",PGTM,2016-04-11T00:00:00,GHCND:USW00064775,1214
102,",,W,",PGTM,2016-04-12T00:00:00,GHCND:USW00064775,404
103,",,W,",PGTM,2016-04-13T00:00:00,GHCND:USW00064775,1805
104,",,W,",PGTM,2016-04-14T00:00:00,GHCND:USW00064775,1743
105,",,W,",PGTM,2016-04-15T00:00:00,GHCND:USW00064775,1019
106,",,W,",PGTM,2016-04-16T00:00:00,GHCND:USW00064775,1700
107,",,W,",PGTM,2016-04-17T00:00:00,GHCND:USW00064775,1530
108,",,W,",PGTM,2016-04-18T00:00:00,GHCND:USW00064775,1637
109,",,W,",PGTM,2016-04-19T00:00:00,GHCND:USW00064775,1229
110,",,W,",PGTM,2016-04-20T00:00:00,GHCND:USW00064775,1224
111,",,W,",PGTM,2016-04-21T00:00:00,GHCND:USW00064775,1931
112,",,W,",PGTM,2016-04-22T00:00:00,GHCND:USW00064775,1644
113,",,W,",PGTM,2016-04-23T00:00:00,GHCND:USW00064775,1351
114,",,W,",PGTM,2016-04-24T00:00:00,GHCND:USW00064775,1521
115,",,W,",PGTM,2016-04-25T00:00:00,GHCND:USW00064775,1306
116,",,W,",PGTM,2016-04-26T00:00:00,GHCND:USW00064775,1927
117,",,W,",PGTM,2016-04-27T00:00:00,GHCND:USW00064775,1653
118,",,W,",PGTM,2016-04-28T00:00:00,GHCND:USW00064775,841
119,",,W,",PGTM,2016-04-29T00:00:00,GHCND:USW00064775,1426
120,",,W,",PGTM,2016-04-30T00:00:00,GHCND:USW00064775,1623
121,",,W,",PGTM,2016-05-01T00:00:00,GHCND:USW00064775,1320
122,",,W,",PGTM,2016-05-02T00:00:00,GHCND:USW00064775,1613
123,",,W,",PGTM,2016-05-03T00:00:00,GHCND:USW00064775,1624
124,",,W,",PGTM,2016-05-04T00:00:00,GHCND:USW00064775,1725
125,",,W,",PGTM,2016-05-05T00:00:00,GHCND:USW00064775,2132
126,",,W,",PGTM,2016-05-06T00:00:00,GHCND:USW00064775,751
127,",,W,",PGTM,2016-05-07T00:00:00,GHCND:USW00064775,1310
128,",,W,",PGTM,2016-05-08T00:00:00,GHCND:USW00064775,1245
129,",,W,",PGTM,2016-05-09T00:00:00,GHCND:USW00064775,1443
130,",,W,",PGTM,2016-05-10T00:00:00,GHCND:USW00064775,1702
131,",,W,",PGTM,2016-05-11T00:00:00,GHCND:USW00064775,1348
132,",,W,",PGTM,2016-05-12T00:00:00,GHCND:USW00064775,1350
133,",,W,",PGTM,2016-05-13T00:00:00,GHCND:USW00064775,1605
134,",,W,",PGTM,2016-05-14T00:00:00,GHCND:USW00064775,1649
135,",,W,",PGTM,2016-05-15T00:00:00,GHCND:USW00064775,1654
136,",,W,",PGTM,2016-05-16T00:00:00,GHCND:USW00064775,827
137,",,W,",PGTM,2016-05-17T00:00:00,GHCND:USW00064775,1418
138,",,W,",PGTM,2016-05-18T00:00:00,GHCND:USW00064775,1549
139,",,W,",PGTM,2016-05-19T00:00:00,GHCND:USW00064775,1443
