,attributes,datatype,date,station,value
0,",,7,",WSFG,2016-01-01T00:00:00,GHCND:USC00058995,6.9
1,",,7,",WSFG,2016-01-02T00:00:00,GHCND:USC00058995,10.1
2,",,7,",WSFG,2016-01-03T00:00:00,GHCND:USC00058995,6.0
3,",,7,",WSFG,2016-01-04T00:00:00,GHCND:USC00058995,6.0
4,",,7,",WSFG,2016-01-05T00:00:00,GHCND:USC00058995,10.1
5,",,7,",WSFG,2016-01-06T00:00:00,GHCND:USC00058995,11.0
6,",,7,",WSFG,2016-01-07T00:00:00,GHCND:USC00058995,10.1
7,",,7,",WSFG,2016-01-08T00:00:00,GHCND:USC00058995,13.0
8,",,7,",WSFG,2016-01-09T00:00:00,GHCND:USC00058995,8.9
9,",,7,",WSFG,2016-01-10T00:00:00,GHCND:USC00058995,8.9
10,",,7,",WSFG,2016-01-11T00:00:00,GHCND:USC00058995,10.1
11,",,7,",WSFG,2016-01-12T00:00:00,GHCND:USC00058995,16.1
12,",,7,",WSFG,2016-01-13T00:00:00,GHCND:USC00058995,25.9
13,",,7,",WSFG,2016-01-14T00:00:00,GHCND:USC00058995,16.1
14,",,7,",WSFG,2016-01-15T00:00:00,GHCND:USC00058995,46.1
15,",,7,",WSFG,2016-01-16T00:00:00,GHCND:USC00058995,21.0
16,",,7,",WSFG,2016-01-17T00:00:00,GHCND:USC00058995,30.0
17,",,7,",WSFG,2016-01-18T00:00:00,GHCND:USC00058995,34.0
18,",,7,",WSFG,2016-01-19T00:00:00,GHCND:USC00058995,23.9
19,",,7,",WSFG,2016-01-20T00:00:00,GHCND:USC00058995,25.1
20,",,7,",WSFG,2016-01-21T00:00:00,GHCND:USC00058995,33.1
21,",,7,",WSFG,2016-01-22T00:00:00,GHCND:USC00058995,14.1
22,",,7,",WSFG,2016-01-23T00:00:00,GHCND:USC00058995,14.1
23,",,7,",WSFG,2016-01-24T00:00:00,GHCND:USC00058995,6.9
24,",,7,",WSFG,2016-01-25T00:00:00,GHCND:USC00058995,14.1
25,",,7,",WSFG,2016-01-26T00:00:00,GHCND:USC00058995,16.1
26,",,7,",WSFG,2016-01-27T00:00:00,GHCND:USC00058995,14.1
27,",,7,",WSFG,2016-01-28T00:00:00,GHCND:USC00058995,14.1
28,",,7,",WSFG,2016-01-29T00:00:00,GHCND:USC00058995,30.0
29,",,7,",WSFG,2016-01-30T00:00:00,GHCND:USC00058995,36.0
30,",,7,",WSFG,2016-01-31T00:00:00,GHCND:USC00058995,28.0
31,",,7,",WSFG,2016-02-01T00:00:00,GHCND:USC00058995,12.1
32,",,7,",WSFG,2016-02-02T00:00:00,GHCND:USC00058995,16.1
33,",,7,",WSFG,2016-02-03T00:00:00,GHCND:USC00058995,17.0
34,",,7,",WSFG,2016-02-04T00:00:00,GHCND:USC00058995,25.1
35,",,7,",WSFG,2016-02-05T00:00:00,GHCND:USC00058995,13.0
36,",,7,",WSFG,2016-02-06T00:00:00,GHCND:USC00058995,12.1
37,",,7,",WSFG,2016-02-07T00:00:00,GHCND:USC00058995,34.0
38,",,7,",WSFG,2016-02-08T00:00:00,GHCND:USC00058995,30.0
39,",,7,",WSFG,2016-02-09T00:00:00,GHCND:USC00058995,14.1
40,",,7,",WSFG,2016-02-10T00:00:00,GHCND:USC00058995,27.1
41,",,7,",WSFG,2016-02-11T00:00:00,GHCND:USC00058995,28.0
42,",,7,",WSFG,2016-02-12T00:00:00,GHCND:USC00058995,28.0
43,",,7,",WSFG,2016-02-13T00:00:00,GHCND:USC00058995,10.1
44,",,7,",WSFG,2016-02-14T00:00:00,GHCND:USC00058995,53.0
45,",,7,",WSFG,2016-02-15T00:00:00,GHCND:USC00058995,34.9
46,",,7,",WSFG,2016-02-16T00:00:00,GHCND:USC00058995,48.1
47,",,7,",WSFG,2016-02-17T00:00:00,GHCND:USC00058995,14.1
48,",,7,",WSFG,2016-02-18T00:00:00,GHCND:USC00058995,14.1
49,",,7,",WSFG,2016-02-19T00:00:00,GHCND:USC00058995,38.9
50,",,7,",WSFG,2016-02-20T00:00:00,GHCND:USC00058995,21.0
51,",,7,",WSFG,2016-02-21T00:00:00,GHCND:USC00058995,33.1
52,",,7,",WSFG,2016-02-22T00:00:00,GHCND:USC00058995,17.0
53,",,7,",WSFG,2016-02-23T00:00:00,GHCND:USC00058995,19.0
54,",,7,",WSFG,2016-02-24T00:00:00,GHCND:USC00058995,13.0
55,",,7,",WSFG,2016-02-25T00:00:00,GHCND:USC00058995,30.0
56,",,7,",WSFG,2016-02-26T00:00:00,GHCND:USC00058995,13.0
57,",,7,",WSFG,2016-02-27T00:00:00,GHCND:USC00058995,19.0
58,",,7,",WSFG,2016-02-28T00:00:00,GHCND:USC00058995,34.0
59,",,7,",WSFG,2016-02-29T00:00:00,GHCND:USC00058995,29.1
60,",,7,",WSFG,2016-03-01T00:00:00,GHCND:USC00058995,38.0
61,",,7,",WSFG,2016-03-02T00:00:00,GHCND:USC00058995,17.9
62,",,7,",WSFG,2016-03-03T00:00:00,GHCND:USC00058995,47.0
63,",,7,",WSFG,2016-03-04T00:00:00,GHCND:USC00058995,14.1
64,",,7,",WSFG,2016-03-05T00:00:00,GHCND:USC00058995,21.9
65,",,7,",WSFG,2016-03-06T00:00:00,GHCND:USC00058995,17.0
66,",,7,",WSFG,2016-03-07T00:00:00,GHCND:USC00058995,16.1
67,",,7,",WSFG,2016-03-08T00:00:00,GHCND:USC00058995,25.9
68,",,7,",WSFG,2016-03-09T00:00:00,GHCND:USC00058995,21.0
69,",,7,",WSFG,2016-03-10T00:00:00,GHCND:USC00058995,23.0
70,",,7,",WSFG,2016-03-11T00:00:00,GHCND:USC00058995,13.0
71,",,7,",WSFG,2016-03-12T00:00:00,GHCND:USC00058995,11.0
72,",,7,",WSFG,2016-03-13T00:00:00,GHCND:USC00058995,23.9
73,",,7,",WSFG,2016-03-14T00:00:00,GHCND:USC00058995,23.0
74,",,7,",WSFG,2016-03-15T00:00:00,GHCND:USC00058995,42.9
75,",,7,",WSFG,2016-03-16T00:00:00,GHCND:USC00058995,33.1
76,",,7,",WSFG,2016-03-17T00:00:00,GHCND:USC00058995,29.1
77,",,7,",WSFG,2016-03-18T00:00:00,GHCND:USC00058995,15.0
78,",,7,",WSFG,2016-03-19T00:00:00,GHCND:USC00058995,15.0
79,",,7,",WSFG,2016-03-20T00:00:00,GHCND:USC00058995,13.0
80,",,7,",WSFG,2016-03-21T00:00:00,GHCND:USC00058995,14.1
81,",,7,",WSFG,2016-03-22T00:00:00,GHCND:USC00058995,16.1
82,",,7,",WSFG,2016-03-23T00:00:00,GHCND:USC00058995,32.0
83,",,7,",WSFG,2016-03-25T00:00:00,GHCND:USC00058995,16.1
84,",,7,",WSFG,2016-03-26T00:00:00,GHCND:USC00058995,16.1
85,",,7,",WSFG,2016-03-27T00:00:00,GHCND:USC00058995,11.0
86,",,7,",WSFG,2016-03-28T00:00:00,GHCND:USC00058995,16.1
87,",,7,",WSFG,2016-03-29T00:00:00,GHCND:USC00058995,15.0
88,",,7,",WSFG,2016-03-30T00:00:00,GHCND:USC00058995,23.0
89,",,7,",WSFG,2016-03-31T00:00:00,GHCND:USC00058995,27.1
90,",,7,",WSFG,2016-04-01T00:00:00,GHCND:USC00058995,19.0
91,",,7,",WSFG,2016-04-02T00:00:00,GHCND:USC00058995,16.1
92,",,7,",WSFG,2016-04-03T00:00:00,GHCND:USC00058995,17.0
93,",,7,",WSFG,2016-04-04T00:00:00,GHCND:USC00058995,21.9
94,",,7,",WSFG,2016-04-05T00:00:00,GHCND:USC00058995,14.1
95,",,7,",WSFG,2016-04-06T00:00:00,GHCND:USC00058995,34.9
96,",,7,",WSFG,2016-04-07T00:00:00,GHCND:USC00058995,38.9
97,",,7,",WSFG,2016-04-08T00:00:00,GHCND:USC00058995,17.0
98,",,7,",WSFG,2016-04-09T00:00:00,GHCND:USC00058995,15.0
99,",,7,",WSFG,2016-04-10T00:00:00,GHCND:USC00058995,23.0
100,",,7,",WSFG,2016-04-11T00:00:00,GHCND:USC00058995,25.9
101,",,7,",WSFG,2016-04-12T00:00:00,GHCND:USC00058995,12.1
102,",,7,",WSFG,2016-04-13T00:00:00,GHCND:USC00058995,25.9
103,",,7,",WSFG,2016-04-14T00:00:00,GHCND:USC00058995,16.1
104,",,7,",WSFG,2016-04-15T00:00:00,GHCND:USC00058995,30.0
105,",,7,",WSFG,2016-04-16T00:00:00,GHCND:USC00058995,21.0
106,",,7,",WSFG,2016-04-17T00:00:00,GHCND:USC00058995,19.0
107,",,7,",WSFG,2016-04-18T00:00:00,GHCND:USC00058995,15.0
108,",,7,",WSFG,2016-04-19T00:00:00,GHCND:USC00058995,12.1
109,",,7,",WSFG,2016-04-20T00:00:00,GHCND:USC00058995,13.0
110,",,7,",WSFG,2016-04-21T00:00:00,GHCND:USC00058995,14.1
111,",,7,",WSFG,2016-04-22T00:00:00,GHCND:USC00058995,14.1
112,",,7,",WSFG,2016-04-23T00:00:00,GHCND:USC00058995,16.1
113,",,7,",WSFG,2016-04-24T00:00:00,GHCND:USC00058995,34.0
114,",,7,",WSFG,2016-04-25T00:00:00,GHCND:USC00058995,28.0
115,",,7,",WSFG,2016-04-26T00:00:00,GHCND:USC00058995,27.1
116,",,7,",WSFG,2016-04-27T00:00:00,GHCND:USC00058995,23.0
117,",,7,",WSFG,2016-04-28T00:00:00,GHCND:USC00058995,15.0
118,",,7,",WSFG,2016-04-29T00:00:00,GHCND:USC00058995,13.0
119,",,7,",WSFG,2016-04-30T00:00:00,GHCND:USC00058995,10.1
120,",,7,",WSFG,2016-05-01T00:00:00,GHCND:USC00058995,23.9
121,",,7,",WSFG,2016-05-02T00:00:00,GHCND:USC00058995,13.0
122,",,7,",WSFG,2016-05-03T00:00:00,GHCND:USC00058995,11.0
123,",,7,",WSFG,2016-05-04T00:00:00,GHCND:USC00058995,17.9
124,",,7,",WSFG,2016-05-05T00:00:00,GHCND:USC00058995,13.0
125,",,7,",WSFG,2016-05-06T00:00:00,GHCND:USC00058995,17.0
126,",,7,",WSFG,2016-05-07T00:00:00,GHCND:USC00058995,19.0
127,",,7,",WSFG,2016-05-08T00:00:00,GHCND:USC00058995,25.1
128,",,7,",WSFG,2016-05-09T00:00:00,GHCND:USC00058995,17.0
129,",,7,",WSFG,2016-05-10T00:00:00,GHCND:USC00058995,23.9
130,",,7,",WSFG,2016-05-11T00:00:00,GHCND:USC00058995,21.0
131,",,7,",WSFG,2016-05-12T00:00:00,GHCND:USC00058995,17.9
132,",,7,",WSFG,2016-05-13T00:00:00,GHCND:USC00058995,14.1
133,",,7,",WSFG,2016-05-14T00:00:00,GHCND:USC00058995,19.9
134,",,7,",WSFG,2016-05-15T00:00:00,GHCND:USC00058995,15.0
135,",,7,",WSFG,2016-05-16T00:00:00,GHCND:USC00058995,17.0
136,",,7,",WSFG,2016-05-17T00:00:00,GHCND:USC00058995,15.0
137,",,7,",WSFG,2016-05-18T00:00:00,GHCND:USC00058995,6.9
138,",,7,",WSFG,2016-05-19T00:00:00,GHCND:USC00058995,10.1
139,",,7,",WSFG,2016-05-20T00:00:00,GHCND:USC00058995,14.1
140,",,7,",WSFG,2016-05-21T00:00:00,GHCND:USC00058995,15.0
141,",,7,",WSFG,2016-05-22T00:00:00,GHCND:USC00058995,17.9
142,",,7,",WSFG,2016-05-23T00:00:00,GHCND:USC00058995,16.1
143,",,7,",WSFG,2016-05-24T00:00:00,GHCND:USC00058995,32.0
144,",,7,",WSFG,2016-05-25T00:00:00,GHCND:USC00058995,21.9
145,",,7,",WSFG,2016-05-26T00:00:00,GHCND:USC00058995,15.0
146,",,7,",WSFG,2016-05-27T00:00:00,GHCND:USC00058995,21.9
147,",,7,",WSFG,2016-05-28T00:00:00,GHCND:USC00058995,27.1
148,",,7,",WSFG,2016-05-29T00:00:00,GHCND:USC00058995,17.9
149,",,7,",WSFG,2016-05-30T00:00:00,GHCND:USC00058995,23.9
150,",,7,",WSFG,2016-05-31T00:00:00,GHCND:USC00058995,27.1
151,",,7,",WSFG,2016-06-01T00:00:00,GHCND:USC00058995,14.1
152,",,7,",WSFG,2016-06-02T00:00:00,GHCND:USC00058995,14.1
153,",,7,",WSFG,2016-06-03T00:00:00,GHCND:USC00058995,12.1
154,",,7,",WSFG,2016-06-04T00:00:00,GHCND:USC00058995,14.1
155,",,7,",WSFG,2016-06-05T00:00:00,GHCND:USC00058995,13.0
156,",,7,",WSFG,2016-06-06T00:00:00,GHCND:USC00058995,14.1
157,",,7,",WSFG,2016-06-07T00:00:00,GHCND:USC00058995,27.1
158,",,7,",WSFG,2016-06-08T00:00:00,GHCND:USC00058995,25.9
159,",,7,",WSFG,2016-06-09T00:00:00,GHCND:USC00058995,23.0
160,",,7,",WSFG,2016-06-10T00:00:00,GHCND:USC00058995,25.9
161,",,7,",WSFG,2016-06-11T00:00:00,GHCND:USC00058995,21.0
162,",,7,",WSFG,2016-06-12T00:00:00,GHCND:USC00058995,28.0
163,",,7,",WSFG,2016-06-13T00:00:00,GHCND:USC00058995,25.9
164,",,7,",WSFG,2016-06-14T00:00:00,GHCND:USC00058995,12.1
165,",,7,",WSFG,2016-06-15T00:00:00,GHCND:USC00058995,25.1
166,",,7,",WSFG,2016-06-16T00:00:00,GHCND:USC00058995,14.1
167,",,7,",WSFG,2016-06-17T00:00:00,GHCND:USC00058995,17.9
168,",,7,",WSFG,2016-06-18T00:00:00,GHCND:USC00058995,19.0
169,",,7,",WSFG,2016-06-19T00:00:00,GHCND:USC00058995,15.0
170,",,7,",WSFG,2016-06-20T00:00:00,GHCND:USC00058995,17.0
171,",,7,",WSFG,2016-06-21T00:00:00,GHCND:USC00058995,16.1
172,",,7,",WSFG,2016-06-22T00:00:00,GHCND:USC00058995,29.1
173,",,7,",WSFG,2016-06-23T00:00:00,GHCND:USC00058995,21.9
174,",,7,",WSFG,2016-06-24T00:00:00,GHCND:USC00058995,19.9
175,",,7,",WSFG,2016-06-25T00:00:00,GHCND:USC00058995,23.9
176,",,7,",WSFG,2016-06-26T00:00:00,GHCND:USC00058995,21.0
177,",,7,",WSFG,2016-06-27T00:00:00,GHCND:USC00058995,14.1
178,",,7,",WSFG,2016-06-28T00:00:00,GHCND:USC00058995,17.9
179,",,7,",WSFG,2016-06-29T00:00:00,GHCND:USC00058995,42.1
180,",,7,",WSFG,2016-06-30T00:00:00,GHCND:USC00058995,31.1
181,",,7,",WSFG,2016-07-01T00:00:00,GHCND:USC00058995,17.9
182,",,7,",WSFG,2016-07-02T00:00:00,GHCND:USC00058995,17.0
183,",,7,",WSFG,2016-07-03T00:00:00,GHCND:USC00058995,13.0
184,",,7,",WSFG,2016-07-04T00:00:00,GHCND:USC00058995,23.9
185,",,7,",WSFG,2016-07-05T00:00:00,GHCND:USC00058995,33.1
186,",,7,",WSFG,2016-07-06T00:00:00,GHCND:USC00058995,17.9
187,",,7,",WSFG,2016-07-07T00:00:00,GHCND:USC00058995,14.1
188,",,7,",WSFG,2016-07-08T00:00:00,GHCND:USC00058995,13.0
189,",,7,",WSFG,2016-07-09T00:00:00,GHCND:USC00058995,17.0
190,",,7,",WSFG,2016-07-10T00:00:00,GHCND:USC00058995,12.1
191,",,7,",WSFG,2016-07-11T00:00:00,GHCND:USC00058995,15.0
192,",,7,",WSFG,2016-07-12T00:00:00,GHCND:USC00058995,15.0
193,",,7,",WSFG,2016-07-13T00:00:00,GHCND:USC00058995,14.1
194,",,7,",WSFG,2016-07-14T00:00:00,GHCND:USC00058995,16.1
195,",,7,",WSFG,2016-07-15T00:00:00,GHCND:USC00058995,14.1
196,",,7,",WSFG,2016-07-16T00:00:00,GHCND:USC00058995,25.1
197,",,7,",WSFG,2016-07-17T00:00:00,GHCND:USC00058995,15.0
198,",,7,",WSFG,2016-07-18T00:00:00,GHCND:USC00058995,23.0
199,",,7,",WSFG,2016-07-19T00:00:00,GHCND:USC00058995,34.0
200,",,7,",WSFG,2016-07-20T00:00:00,GHCND:USC00058995,17.9
201,",,7,",WSFG,2016-07-21T00:00:00,GHCND:USC00058995,17.9
202,",,7,",WSFG,2016-07-22T00:00:00,GHCND:USC00058995,23.9
