,attributes,datatype,date,station,value
0,",,7,0800",TMAX,2016-01-01T00:00:00,GHCND:USC00298596,38.0
1,",,7,0800",TMAX,2016-01-02T00:00:00,GHCND:USC00298596,32.0
2,",,7,0800",TMAX,2016-01-03T00:00:00,GHCND:USC00298596,45.0
3,",,7,0800",TMAX,2016-01-04T00:00:00,GHCND:USC00298596,51.0
4,",,7,0800",TMAX,2016-01-05T00:00:00,GHCND:USC00298596,45.0
5,",,7,0800",TMAX,2016-01-06T00:00:00,GHCND:USC00298596,45.0
6,",,7,0800",TMAX,2016-01-07T00:00:00,GHCND:USC00298596,44.0
7,",,7,0800",TMAX,2016-01-08T00:00:00,GHCND:USC00298596,52.0
8,",,7,0800",TMAX,2016-01-09T00:00:00,GHCND:USC00298596,45.0
9,",,7,0800",TMAX,2016-01-10T00:00:00,GHCND:USC00298596,41.0
10,",,7,0800",TMAX,2016-01-11T00:00:00,GHCND:USC00298596,42.0
11,",,7,0800",TMAX,2016-01-12T00:00:00,GHCND:USC00298596,52.0
12,",,7,0800",TMAX,2016-01-13T00:00:00,GHCND:USC00298596,55.0
13,",,7,0800",TMAX,2016-01-14T00:00:00,GHCND:USC00298596,60.0
14,",,7,0800",TMAX,2016-01-15T00:00:00,GHCND:USC00298596,60.0
15,",,7,0800",TMAX,2016-01-16T00:00:00,GHCND:USC00298596,56.0
16,",,7,0800",TMAX,2016-01-17T00:00:00,GHCND:USC00298596,55.0
17,",,7,0800",TMAX,2016-01-18T00:00:00,GHCND:USC00298596,59.0
18,",,7,0800",TMAX,2016-01-19T00:00:00,GHCND:USC00298596,62.0
19,",,7,0800",TMAX,2016-01-20T00:00:00,GHCND:USC00298596,58.0
20,",,7,0800",TMAX,2016-01-21T00:00:00,GHCND:USC00298596,62.0
21,",,7,0800",TMAX,2016-01-22T00:00:00,GHCND:USC00298596,55.0
22,",,7,0800",TMAX,2016-01-23T00:00:00,GHCND:USC00298596,63.0
23,",,7,0800",TMAX,2016-01-24T00:00:00,GHCND:USC00298596,69.0
24,",,7,0800",TMAX,2016-01-25T00:00:00,GHCND:USC00298596,67.0
25,",,7,0800",TMAX,2016-01-26T00:00:00,GHCND:USC00298596,55.0
26,",,7,0800",TMAX,2016-01-27T00:00:00,GHCND:USC00298596,39.0
27,",,7,0800",TMAX,2016-01-28T00:00:00,GHCND:USC00298596,52.0
28,",,7,0800",TMAX,2016-01-29T00:00:00,GHCND:USC00298596,63.0
29,",,7,0800",TMAX,2016-01-30T00:00:00,GHCND:USC00298596,65.0
30,",,7,0800",TMAX,2016-01-31T00:00:00,GHCND:USC00298596,72.0
31,",,7,0800",TMAX,2016-02-01T00:00:00,GHCND:USC00298596,68.0
32,",,7,0800",TMAX,2016-02-02T00:00:00,GHCND:USC00298596,49.0
33,",,7,0800",TMAX,2016-02-03T00:00:00,GHCND:USC00298596,46.0
34,",,7,0800",TMAX,2016-02-04T00:00:00,GHCND:USC00298596,43.0
35,",,7,0800",TMAX,2016-02-05T00:00:00,GHCND:USC00298596,52.0
36,",,7,0800",TMAX,2016-02-06T00:00:00,GHCND:USC00298596,47.0
37,",,7,0800",TMAX,2016-02-07T00:00:00,GHCND:USC00298596,62.0
38,",,7,0800",TMAX,2016-02-08T00:00:00,GHCND:USC00298596,65.0
39,",,7,0800",TMAX,2016-02-09T00:00:00,GHCND:USC00298596,54.0
40,",,7,0800",TMAX,2016-02-10T00:00:00,GHCND:USC00298596,62.0
41,",,7,0800",TMAX,2016-02-11T00:00:00,GHCND:USC00298596,75.0
42,",,7,0800",TMAX,2016-02-12T00:00:00,GHCND:USC00298596,73.0
43,",,7,0800",TMAX,2016-02-13T00:00:00,GHCND:USC00298596,72.0
44,",,7,0800",TMAX,2016-02-14T00:00:00,GHCND:USC00298596,76.0
45,",,7,0800",TMAX,2016-02-15T00:00:00,GHCND:USC00298596,64.0
46,",,7,0800",TMAX,2016-02-16T00:00:00,GHCND:USC00298596,72.0
47,",,7,0800",TMAX,2016-02-17T00:00:00,GHCND:USC00298596,67.0
48,",,7,0800",TMAX,2016-02-18T00:00:00,GHCND:USC00298596,78.0
49,",,7,0800",TMAX,2016-02-19T00:00:00,GHCND:USC00298596,82.0
50,",,7,0800",TMAX,2016-02-20T00:00:00,GHCND:USC00298596,78.0
51,",,7,0800",TMAX,2016-02-21T00:00:00,GHCND:USC00298596,79.0
52,",,7,0800",TMAX,2016-02-22T00:00:00,GHCND:USC00298596,63.0
53,",,7,0800",TMAX,2016-02-23T00:00:00,GHCND:USC00298596,58.0
54,",,7,0800",TMAX,2016-02-24T00:00:00,GHCND:USC00298596,49.0
55,",,7,0800",TMAX,2016-02-25T00:00:00,GHCND:USC00298596,62.0
56,",,7,0800",TMAX,2016-02-26T00:00:00,GHCND:USC00298596,52.0
57,",,7,0800",TMAX,2016-02-27T00:00:00,GHCND:USC00298596,68.0
58,",,7,0800",TMAX,2016-02-28T00:00:00,GHCND:USC00298596,79.0
59,",,7,0800",TMAX,2016-02-29T00:00:00,GHCND:USC00298596,70.0
60,",,7,0800",TMAX,2016-03-01T00:00:00,GHCND:USC00298596,77.0
61,",,7,0800",TMAX,2016-03-02T00:00:00,GHCND:USC00298596,64.0
62,",,7,0800",TMAX,2016-03-03T00:00:00,GHCND:USC00298596,78.0
63,",S,7,0800",TMAX,2016-03-04T00:00:00,GHCND:USC00298596,39.0
64,",,7,0800",TMAX,2016-03-05T00:00:00,GHCND:USC00298596,83.0
65,",,7,0800",TMAX,2016-03-06T00:00:00,GHCND:USC00298596,66.0
66,",,7,0800",TMAX,2016-03-07T00:00:00,GHCND:USC00298596,75.0
67,",,7,0800",TMAX,2016-03-08T00:00:00,GHCND:USC00298596,70.0
68,",,7,0800",TMAX,2016-03-09T00:00:00,GHCND:USC00298596,62.0
