,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00013986,7.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00013986,6.0
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00013986,9.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00013986,6.7
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00013986,14.1
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00013986,15.0
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00013986,6.7
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00013986,13.2
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00013986,16.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00013986,8.1
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00013986,7.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00013986,5.1
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00013986,5.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00013986,6.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00013986,10.5
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00013986,4.7
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00013986,11.2
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00013986,11.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00013986,8.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00013986,7.8
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00013986,10.1
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00013986,10.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00013986,11.2
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00013986,11.0
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00013986,13.2
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00013986,6.5
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00013986,4.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00013986,6.7
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00013986,8.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00013986,8.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00013986,12.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00013986,11.9
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00013986,19.7
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00013986,15.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00013986,8.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00013986,4.9
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00013986,8.5
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00013986,14.5
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00013986,20.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00013986,13.0
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00013986,10.5
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00013986,6.5
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00013986,10.1
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00013986,10.5
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00013986,4.5
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00013986,9.8
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00013986,11.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00013986,9.4
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00013986,23.0
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00013986,11.0
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00013986,8.1
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00013986,12.5
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00013986,7.2
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00013986,13.4
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00013986,13.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00013986,11.6
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00013986,6.7
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00013986,12.3
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00013986,15.9
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00013986,12.8
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00013986,11.9
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00013986,13.0
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00013986,13.2
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00013986,12.3
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00013986,8.7
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00013986,20.6
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00013986,22.4
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00013986,9.4
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00013986,7.6
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00013986,5.1
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00013986,6.9
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00013986,10.5
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00013986,5.4
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00013986,7.8
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00013986,18.6
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00013986,10.5
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00013986,7.2
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00013986,13.0
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00013986,11.4
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00013986,7.4
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00013986,18.8
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00013986,20.4
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00013986,24.6
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00013986,17.7
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00013986,12.1
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00013986,15.0
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00013986,8.1
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00013986,12.8
