,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00064776,280
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00064776,280
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00064776,320
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00064776,360
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00064776,160
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00064776,150
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00064776,130
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00064776,160
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00064776,160
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00064776,220
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00064776,240
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00064776,150
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00064776,280
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00064776,150
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00064776,360
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00064776,330
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00064776,300
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00064776,240
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00064776,290
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00064776,320
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00064776,290
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00064776,350
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00064776,10
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00064776,280
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00064776,170
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00064776,220
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00064776,290
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00064776,170
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00064776,280
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00064776,150
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00064776,150
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00064776,250
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00064776,360
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00064776,160
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00064776,290
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00064776,330
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00064776,220
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00064776,20
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00064776,350
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00064776,350
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00064776,360
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00064776,300
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00064776,170
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00064776,280
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00064776,290
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00064776,150
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00064776,290
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00064776,310
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00064776,50
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00064776,170
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00064776,170
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00064776,350
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00064776,40
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00064776,150
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00064776,150
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00064776,310
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00064776,320
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00064776,150
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00064776,10
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00064776,310
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00064776,310
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00064776,290
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00064776,350
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00064776,30
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00064776,40
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00064776,130
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00064776,170
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00064776,30
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00064776,210
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00064776,360
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00064776,360
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00064776,160
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00064776,330
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00064776,170
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00064776,150
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00064776,360
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00064776,270
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00064776,350
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00064776,350
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00064776,20
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00064776,330
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00064776,250
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00064776,10
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00064776,160
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00064776,150
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00064776,360
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00064776,160
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00064776,150
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00064776,310
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00064776,170
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00064776,150
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00064776,270
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00064776,310
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00064776,330
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00064776,10
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00064776,10
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00064776,140
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00064776,170
