,attributes,datatype,date,station,value
0,",,C,",TMIN,2016-01-01T00:00:00,GHCND:CA00702FQLF,28.0
1,",,C,",TMIN,2016-01-02T00:00:00,GHCND:CA00702FQLF,26.0
2,",,C,",TMIN,2016-01-03T00:00:00,GHCND:CA00702FQLF,7.0
3,",,C,",TMIN,2016-01-04T00:00:00,GHCND:CA00702FQLF,-13.0
4,",,C,",TMIN,2016-01-05T00:00:00,GHCND:CA00702FQLF,-14.0
5,",,C,",TMIN,2016-01-06T00:00:00,GHCND:CA00702FQLF,17.0
6,",,C,",TMIN,2016-01-07T00:00:00,GHCND:CA00702FQLF,6.0
7,",,C,",TMIN,2016-01-08T00:00:00,GHCND:CA00702FQLF,7.0
8,",,C,",TMIN,2016-01-09T00:00:00,GHCND:CA00702FQLF,21.0
9,",,C,",TMIN,2016-01-10T00:00:00,GHCND:CA00702FQLF,30.0
10,",,C,",TMIN,2016-01-11T00:00:00,GHCND:CA00702FQLF,4.0
11,",,C,",TMIN,2016-01-12T00:00:00,GHCND:CA00702FQLF,5.0
12,",,C,",TMIN,2016-01-13T00:00:00,GHCND:CA00702FQLF,1.0
13,",,C,",TMIN,2016-01-14T00:00:00,GHCND:CA00702FQLF,-1.0
14,",,C,",TMIN,2016-01-15T00:00:00,GHCND:CA00702FQLF,6.0
15,",,C,",TMIN,2016-01-16T00:00:00,GHCND:CA00702FQLF,17.0
16,",,C,",TMIN,2016-01-17T00:00:00,GHCND:CA00702FQLF,7.0
17,",,C,",TMIN,2016-01-18T00:00:00,GHCND:CA00702FQLF,4.0
18,",,C,",TMIN,2016-01-19T00:00:00,GHCND:CA00702FQLF,2.0
19,",,C,",TMIN,2016-01-20T00:00:00,GHCND:CA00702FQLF,7.0
20,",,C,",TMIN,2016-01-21T00:00:00,GHCND:CA00702FQLF,2.0
21,",,C,",TMIN,2016-01-22T00:00:00,GHCND:CA00702FQLF,-1.0
22,",,C,",TMIN,2016-01-23T00:00:00,GHCND:CA00702FQLF,-5.0
23,",,C,",TMIN,2016-01-24T00:00:00,GHCND:CA00702FQLF,-6.0
24,",,C,",TMIN,2016-01-25T00:00:00,GHCND:CA00702FQLF,15.0
25,",,C,",TMIN,2016-01-26T00:00:00,GHCND:CA00702FQLF,18.0
26,",,C,",TMIN,2016-01-27T00:00:00,GHCND:CA00702FQLF,11.0
27,",,C,",TMIN,2016-01-28T00:00:00,GHCND:CA00702FQLF,18.0
28,",,C,",TMIN,2016-01-29T00:00:00,GHCND:CA00702FQLF,16.0
29,",,C,",TMIN,2016-01-30T00:00:00,GHCND:CA00702FQLF,15.0
30,",,C,",TMIN,2016-01-31T00:00:00,GHCND:CA00702FQLF,20.0
31,",,C,",TMIN,2016-02-01T00:00:00,GHCND:CA00702FQLF,32.0
32,",,C,",TMIN,2016-02-02T00:00:00,GHCND:CA00702FQLF,20.0
33,",,C,",TMIN,2016-02-03T00:00:00,GHCND:CA00702FQLF,26.0
34,",,C,",TMIN,2016-02-04T00:00:00,GHCND:CA00702FQLF,31.0
35,",,C,",TMIN,2016-02-05T00:00:00,GHCND:CA00702FQLF,22.0
36,",,C,",TMIN,2016-02-06T00:00:00,GHCND:CA00702FQLF,26.0
37,",,C,",TMIN,2016-02-07T00:00:00,GHCND:CA00702FQLF,15.0
38,",,C,",TMIN,2016-02-08T00:00:00,GHCND:CA00702FQLF,15.0
39,",,C,",TMIN,2016-02-09T00:00:00,GHCND:CA00702FQLF,16.0
40,",,C,",TMIN,2016-02-10T00:00:00,GHCND:CA00702FQLF,17.0
41,",,C,",TMIN,2016-02-11T00:00:00,GHCND:CA00702FQLF,-3.0
42,",,C,",TMIN,2016-02-12T00:00:00,GHCND:CA00702FQLF,-12.0
43,",,C,",TMIN,2016-02-13T00:00:00,GHCND:CA00702FQLF,-17.0
44,",,C,",TMIN,2016-02-14T00:00:00,GHCND:CA00702FQLF,-23.0
45,",,C,",TMIN,2016-02-15T00:00:00,GHCND:CA00702FQLF,-23.0
46,",,C,",TMIN,2016-02-16T00:00:00,GHCND:CA00702FQLF,19.0
47,",,C,",TMIN,2016-02-17T00:00:00,GHCND:CA00702FQLF,9.0
48,",,C,",TMIN,2016-02-18T00:00:00,GHCND:CA00702FQLF,-3.0
49,",,C,",TMIN,2016-02-19T00:00:00,GHCND:CA00702FQLF,-11.0
50,",,C,",TMIN,2016-02-20T00:00:00,GHCND:CA00702FQLF,31.0
51,",,C,",TMIN,2016-02-21T00:00:00,GHCND:CA00702FQLF,17.0
52,",,C,",TMIN,2016-02-22T00:00:00,GHCND:CA00702FQLF,4.0
53,",,C,",TMIN,2016-02-23T00:00:00,GHCND:CA00702FQLF,2.0
54,",,C,",TMIN,2016-02-24T00:00:00,GHCND:CA00702FQLF,22.0
55,",,C,",TMIN,2016-02-25T00:00:00,GHCND:CA00702FQLF,23.0
56,",,C,",TMIN,2016-02-26T00:00:00,GHCND:CA00702FQLF,9.0
57,",,C,",TMIN,2016-02-27T00:00:00,GHCND:CA00702FQLF,11.0
58,",,C,",TMIN,2016-02-28T00:00:00,GHCND:CA00702FQLF,16.0
59,",,C,",TMIN,2016-02-29T00:00:00,GHCND:CA00702FQLF,14.0
60,",,C,",TMIN,2016-03-01T00:00:00,GHCND:CA00702FQLF,5.0
61,",,C,",TMIN,2016-03-02T00:00:00,GHCND:CA00702FQLF,7.0
62,",,C,",TMIN,2016-03-03T00:00:00,GHCND:CA00702FQLF,-1.0
63,",,C,",TMIN,2016-03-04T00:00:00,GHCND:CA00702FQLF,-6.0
64,",,C,",TMIN,2016-03-05T00:00:00,GHCND:CA00702FQLF,1.0
65,",,C,",TMIN,2016-03-06T00:00:00,GHCND:CA00702FQLF,19.0
66,",,C,",TMIN,2016-03-07T00:00:00,GHCND:CA00702FQLF,28.0
67,",,C,",TMIN,2016-03-08T00:00:00,GHCND:CA00702FQLF,33.0
