,attributes,datatype,date,station,value
0,",,C,",WDFG,2016-01-01T00:00:00,GHCND:CA00702FHL8,27
1,",,C,",WDFG,2016-01-02T00:00:00,GHCND:CA00702FHL8,25
2,",,C,",WDFG,2016-01-03T00:00:00,GHCND:CA00702FHL8,27
3,",,C,",WDFG,2016-01-04T00:00:00,GHCND:CA00702FHL8,36
4,",,C,",WDFG,2016-01-05T00:00:00,GHCND:CA00702FHL8,22
5,",,C,",WDFG,2016-01-06T00:00:00,GHCND:CA00702FHL8,0
6,",,C,",WDFG,2016-01-07T00:00:00,GHCND:CA00702FHL8,0
7,",,C,",WDFG,2016-01-08T00:00:00,GHCND:CA00702FHL8,0
8,",,C,",WDFG,2016-01-09T00:00:00,GHCND:CA00702FHL8,0
9,",,C,",WDFG,2016-01-10T00:00:00,GHCND:CA00702FHL8,23
10,",,C,",WDFG,2016-01-11T00:00:00,GHCND:CA00702FHL8,25
11,",,C,",WDFG,2016-01-12T00:00:00,GHCND:CA00702FHL8,15
12,",,C,",WDFG,2016-01-13T00:00:00,GHCND:CA00702FHL8,25
13,",,C,",WDFG,2016-01-14T00:00:00,GHCND:CA00702FHL8,0
14,",,C,",WDFG,2016-01-15T00:00:00,GHCND:CA00702FHL8,0
15,",,C,",WDFG,2016-01-16T00:00:00,GHCND:CA00702FHL8,26
16,",,C,",WDFG,2016-01-17T00:00:00,GHCND:CA00702FHL8,0
17,",,C,",WDFG,2016-01-18T00:00:00,GHCND:CA00702FHL8,24
18,",,C,",WDFG,2016-01-19T00:00:00,GHCND:CA00702FHL8,25
19,",,C,",WDFG,2016-01-20T00:00:00,GHCND:CA00702FHL8,24
20,",,C,",WDFG,2016-01-21T00:00:00,GHCND:CA00702FHL8,24
21,",,C,",WDFG,2016-01-22T00:00:00,GHCND:CA00702FHL8,0
22,",,C,",WDFG,2016-01-23T00:00:00,GHCND:CA00702FHL8,0
23,",,C,",WDFG,2016-01-24T00:00:00,GHCND:CA00702FHL8,0
24,",,C,",WDFG,2016-01-25T00:00:00,GHCND:CA00702FHL8,0
25,",,C,",WDFG,2016-01-26T00:00:00,GHCND:CA00702FHL8,24
26,",,C,",WDFG,2016-01-27T00:00:00,GHCND:CA00702FHL8,29
27,",,C,",WDFG,2016-01-28T00:00:00,GHCND:CA00702FHL8,13
