,attributes,datatype,date,station,value
0,",,C,",WDFG,2016-01-01T00:00:00,GHCND:CA00702FQLF,25
1,",,C,",WDFG,2016-01-02T00:00:00,GHCND:CA00702FQLF,23
2,",,C,",WDFG,2016-01-03T00:00:00,GHCND:CA00702FQLF,31
3,",,C,",WDFG,2016-01-04T00:00:00,GHCND:CA00702FQLF,0
4,",,C,",WDFG,2016-01-05T00:00:00,GHCND:CA00702FQLF,23
5,",,C,",WDFG,2016-01-06T00:00:00,GHCND:CA00702FQLF,26
6,",,C,",WDFG,2016-01-07T00:00:00,GHCND:CA00702FQLF,0
7,",,C,",WDFG,2016-01-08T00:00:00,GHCND:CA00702FQLF,0
8,",,C,",WDFG,2016-01-09T00:00:00,GHCND:CA00702FQLF,0
9,",,C,",WDFG,2016-01-10T00:00:00,GHCND:CA00702FQLF,25
10,",,C,",WDFG,2016-01-11T00:00:00,GHCND:CA00702FQLF,22
11,",,C,",WDFG,2016-01-12T00:00:00,GHCND:CA00702FQLF,0
12,",,C,",WDFG,2016-01-13T00:00:00,GHCND:CA00702FQLF,24
13,",,C,",WDFG,2016-01-14T00:00:00,GHCND:CA00702FQLF,0
14,",,C,",WDFG,2016-01-15T00:00:00,GHCND:CA00702FQLF,5
15,",,C,",WDFG,2016-01-16T00:00:00,GHCND:CA00702FQLF,27
16,",,C,",WDFG,2016-01-17T00:00:00,GHCND:CA00702FQLF,25
17,",,C,",WDFG,2016-01-18T00:00:00,GHCND:CA00702FQLF,28
18,",,C,",WDFG,2016-01-19T00:00:00,GHCND:CA00702FQLF,26
19,",,C,",WDFG,2016-01-20T00:00:00,GHCND:CA00702FQLF,26
20,",,C,",WDFG,2016-01-21T00:00:00,GHCND:CA00702FQLF,0
21,",,C,",WDFG,2016-01-22T00:00:00,GHCND:CA00702FQLF,0
22,",,C,",WDFG,2016-01-23T00:00:00,GHCND:CA00702FQLF,0
23,",,C,",WDFG,2016-01-24T00:00:00,GHCND:CA00702FQLF,0
24,",,C,",WDFG,2016-01-25T00:00:00,GHCND:CA00702FQLF,0
25,",,C,",WDFG,2016-01-26T00:00:00,GHCND:CA00702FQLF,21
26,",,C,",WDFG,2016-01-27T00:00:00,GHCND:CA00702FQLF,24
27,",,C,",WDFG,2016-01-28T00:00:00,GHCND:CA00702FQLF,19
28,",,C,",WDFG,2016-01-29T00:00:00,GHCND:CA00702FQLF,25
29,",,C,",WDFG,2016-01-30T00:00:00,GHCND:CA00702FQLF,25
30,",,C,",WDFG,2016-01-31T00:00:00,GHCND:CA00702FQLF,0
31,",,C,",WDFG,2016-02-01T00:00:00,GHCND:CA00702FQLF,28
32,",,C,",WDFG,2016-02-02T00:00:00,GHCND:CA00702FQLF,0
33,",,C,",WDFG,2016-02-03T00:00:00,GHCND:CA00702FQLF,7
34,",,C,",WDFG,2016-02-04T00:00:00,GHCND:CA00702FQLF,25
35,",,C,",WDFG,2016-02-05T00:00:00,GHCND:CA00702FQLF,0
36,",,C,",WDFG,2016-02-06T00:00:00,GHCND:CA00702FQLF,23
37,",,C,",WDFG,2016-02-07T00:00:00,GHCND:CA00702FQLF,6
38,",,C,",WDFG,2016-02-08T00:00:00,GHCND:CA00702FQLF,6
39,",,C,",WDFG,2016-02-09T00:00:00,GHCND:CA00702FQLF,0
40,",,C,",WDFG,2016-02-10T00:00:00,GHCND:CA00702FQLF,0
41,",,C,",WDFG,2016-02-11T00:00:00,GHCND:CA00702FQLF,25
42,",,C,",WDFG,2016-02-12T00:00:00,GHCND:CA00702FQLF,19
43,",,C,",WDFG,2016-02-13T00:00:00,GHCND:CA00702FQLF,27
44,",,C,",WDFG,2016-02-14T00:00:00,GHCND:CA00702FQLF,26
45,",,C,",WDFG,2016-02-15T00:00:00,GHCND:CA00702FQLF,0
46,",,C,",WDFG,2016-02-16T00:00:00,GHCND:CA00702FQLF,0
47,",,C,",WDFG,2016-02-17T00:00:00,GHCND:CA00702FQLF,28
48,",,C,",WDFG,2016-02-18T00:00:00,GHCND:CA00702FQLF,0
49,",,C,",WDFG,2016-02-19T00:00:00,GHCND:CA00702FQLF,0
50,",,C,",WDFG,2016-02-20T00:00:00,GHCND:CA00702FQLF,25
51,",,C,",WDFG,2016-02-21T00:00:00,GHCND:CA00702FQLF,0
52,",,C,",WDFG,2016-02-22T00:00:00,GHCND:CA00702FQLF,0
53,",,C,",WDFG,2016-02-23T00:00:00,GHCND:CA00702FQLF,0
54,",,C,",WDFG,2016-02-24T00:00:00,GHCND:CA00702FQLF,6
55,",,C,",WDFG,2016-02-25T00:00:00,GHCND:CA00702FQLF,29
56,",,C,",WDFG,2016-02-26T00:00:00,GHCND:CA00702FQLF,29
57,",,C,",WDFG,2016-02-27T00:00:00,GHCND:CA00702FQLF,24
58,",,C,",WDFG,2016-02-28T00:00:00,GHCND:CA00702FQLF,7
59,",,C,",WDFG,2016-02-29T00:00:00,GHCND:CA00702FQLF,29
60,",,C,",WDFG,2016-03-01T00:00:00,GHCND:CA00702FQLF,7
61,",,C,",WDFG,2016-03-02T00:00:00,GHCND:CA00702FQLF,26
62,",,C,",WDFG,2016-03-03T00:00:00,GHCND:CA00702FQLF,0
63,",,C,",WDFG,2016-03-04T00:00:00,GHCND:CA00702FQLF,0
64,",,C,",WDFG,2016-03-05T00:00:00,GHCND:CA00702FQLF,0
65,",,C,",WDFG,2016-03-06T00:00:00,GHCND:CA00702FQLF,0
66,",,C,",WDFG,2016-03-07T00:00:00,GHCND:CA00702FQLF,25
67,",,C,",WDFG,2016-03-08T00:00:00,GHCND:CA00702FQLF,0
68,",,C,",WDFG,2016-03-09T00:00:00,GHCND:CA00702FQLF,26
69,",,C,",WDFG,2016-03-10T00:00:00,GHCND:CA00702FQLF,0
70,",,C,",WDFG,2016-03-11T00:00:00,GHCND:CA00702FQLF,25
71,",,C,",WDFG,2016-03-12T00:00:00,GHCND:CA00702FQLF,26
72,",,C,",WDFG,2016-03-13T00:00:00,GHCND:CA00702FQLF,0
73,",,C,",WDFG,2016-03-14T00:00:00,GHCND:CA00702FQLF,8
74,",,C,",WDFG,2016-03-15T00:00:00,GHCND:CA00702FQLF,0
75,",,C,",WDFG,2016-03-16T00:00:00,GHCND:CA00702FQLF,6
76,",,C,",WDFG,2016-03-17T00:00:00,GHCND:CA00702FQLF,29
77,",,C,",WDFG,2016-03-18T00:00:00,GHCND:CA00702FQLF,29
78,",,C,",WDFG,2016-03-19T00:00:00,GHCND:CA00702FQLF,0
79,",,C,",WDFG,2016-03-20T00:00:00,GHCND:CA00702FQLF,0
80,",,C,",WDFG,2016-03-21T00:00:00,GHCND:CA00702FQLF,30
81,",,C,",WDFG,2016-03-22T00:00:00,GHCND:CA00702FQLF,25
82,",,C,",WDFG,2016-03-23T00:00:00,GHCND:CA00702FQLF,0
83,",,C,",WDFG,2016-03-24T00:00:00,GHCND:CA00702FQLF,5
84,",,C,",WDFG,2016-03-25T00:00:00,GHCND:CA00702FQLF,26
85,",,C,",WDFG,2016-03-26T00:00:00,GHCND:CA00702FQLF,0
86,",,C,",WDFG,2016-03-27T00:00:00,GHCND:CA00702FQLF,0
87,",,C,",WDFG,2016-03-28T00:00:00,GHCND:CA00702FQLF,24
88,",,C,",WDFG,2016-03-29T00:00:00,GHCND:CA00702FQLF,30
89,",,C,",WDFG,2016-03-30T00:00:00,GHCND:CA00702FQLF,23
90,",,C,",WDFG,2016-03-31T00:00:00,GHCND:CA00702FQLF,22
91,",,C,",WDFG,2016-04-01T00:00:00,GHCND:CA00702FQLF,23
92,",,C,",WDFG,2016-04-02T00:00:00,GHCND:CA00702FQLF,25
93,",,C,",WDFG,2016-04-03T00:00:00,GHCND:CA00702FQLF,28
94,",,C,",WDFG,2016-04-04T00:00:00,GHCND:CA00702FQLF,5
95,",,C,",WDFG,2016-04-05T00:00:00,GHCND:CA00702FQLF,29
96,",,C,",WDFG,2016-04-06T00:00:00,GHCND:CA00702FQLF,20
97,",,C,",WDFG,2016-04-07T00:00:00,GHCND:CA00702FQLF,0
98,",,C,",WDFG,2016-04-08T00:00:00,GHCND:CA00702FQLF,24
99,",,C,",WDFG,2016-04-09T00:00:00,GHCND:CA00702FQLF,0
100,",,C,",WDFG,2016-04-10T00:00:00,GHCND:CA00702FQLF,0
101,",,C,",WDFG,2016-04-11T00:00:00,GHCND:CA00702FQLF,0
102,",,C,",WDFG,2016-04-12T00:00:00,GHCND:CA00702FQLF,27
103,",,C,",WDFG,2016-04-13T00:00:00,GHCND:CA00702FQLF,0
104,",,C,",WDFG,2016-04-14T00:00:00,GHCND:CA00702FQLF,0
105,",,C,",WDFG,2016-04-15T00:00:00,GHCND:CA00702FQLF,7
106,",,C,",WDFG,2016-04-16T00:00:00,GHCND:CA00702FQLF,5
107,",,C,",WDFG,2016-04-17T00:00:00,GHCND:CA00702FQLF,0
108,",,C,",WDFG,2016-04-18T00:00:00,GHCND:CA00702FQLF,5
109,",,C,",WDFG,2016-04-19T00:00:00,GHCND:CA00702FQLF,30
110,",,C,",WDFG,2016-04-20T00:00:00,GHCND:CA00702FQLF,0
111,",,C,",WDFG,2016-04-21T00:00:00,GHCND:CA00702FQLF,0
112,",,C,",WDFG,2016-04-22T00:00:00,GHCND:CA00702FQLF,26
113,",,C,",WDFG,2016-04-23T00:00:00,GHCND:CA00702FQLF,0
114,",,C,",WDFG,2016-04-24T00:00:00,GHCND:CA00702FQLF,0
115,",,C,",WDFG,2016-04-25T00:00:00,GHCND:CA00702FQLF,0
116,",,C,",WDFG,2016-04-26T00:00:00,GHCND:CA00702FQLF,7
117,",,C,",WDFG,2016-04-27T00:00:00,GHCND:CA00702FQLF,25
118,",,C,",WDFG,2016-04-28T00:00:00,GHCND:CA00702FQLF,0
119,",,C,",WDFG,2016-04-29T00:00:00,GHCND:CA00702FQLF,5
120,",,C,",WDFG,2016-04-30T00:00:00,GHCND:CA00702FQLF,0
121,",,C,",WDFG,2016-05-01T00:00:00,GHCND:CA00702FQLF,0
122,",,C,",WDFG,2016-05-02T00:00:00,GHCND:CA00702FQLF,0
123,",,C,",WDFG,2016-05-03T00:00:00,GHCND:CA00702FQLF,0
124,",,C,",WDFG,2016-05-04T00:00:00,GHCND:CA00702FQLF,4
125,",,C,",WDFG,2016-05-05T00:00:00,GHCND:CA00702FQLF,0
126,",,C,",WDFG,2016-05-06T00:00:00,GHCND:CA00702FQLF,1
127,",,C,",WDFG,2016-05-07T00:00:00,GHCND:CA00702FQLF,0
128,",,C,",WDFG,2016-05-08T00:00:00,GHCND:CA00702FQLF,28
129,",,C,",WDFG,2016-05-09T00:00:00,GHCND:CA00702FQLF,29
130,",,C,",WDFG,2016-05-10T00:00:00,GHCND:CA00702FQLF,24
131,",,C,",WDFG,2016-05-11T00:00:00,GHCND:CA00702FQLF,0
132,",,C,",WDFG,2016-05-12T00:00:00,GHCND:CA00702FQLF,0
133,",,C,",WDFG,2016-05-13T00:00:00,GHCND:CA00702FQLF,21
134,",,C,",WDFG,2016-05-14T00:00:00,GHCND:CA00702FQLF,23
135,",,C,",WDFG,2016-05-15T00:00:00,GHCND:CA00702FQLF,25
136,",,C,",WDFG,2016-05-16T00:00:00,GHCND:CA00702FQLF,28
137,",,C,",WDFG,2016-05-17T00:00:00,GHCND:CA00702FQLF,25
138,",,C,",WDFG,2016-05-18T00:00:00,GHCND:CA00702FQLF,0
139,",,C,",WDFG,2016-05-19T00:00:00,GHCND:CA00702FQLF,25
140,",,C,",WDFG,2016-05-20T00:00:00,GHCND:CA00702FQLF,0
141,",,C,",WDFG,2016-05-21T00:00:00,GHCND:CA00702FQLF,0
142,",,C,",WDFG,2016-05-22T00:00:00,GHCND:CA00702FQLF,0
143,",,C,",WDFG,2016-05-23T00:00:00,GHCND:CA00702FQLF,0
144,",,C,",WDFG,2016-05-24T00:00:00,GHCND:CA00702FQLF,0
145,",,C,",WDFG,2016-05-25T00:00:00,GHCND:CA00702FQLF,25
146,",,C,",WDFG,2016-05-26T00:00:00,GHCND:CA00702FQLF,0
147,",,C,",WDFG,2016-05-27T00:00:00,GHCND:CA00702FQLF,28
148,",,C,",WDFG,2016-05-28T00:00:00,GHCND:CA00702FQLF,0
149,",,C,",WDFG,2016-05-29T00:00:00,GHCND:CA00702FQLF,20
150,",,C,",WDFG,2016-05-30T00:00:00,GHCND:CA00702FQLF,24
151,",,C,",WDFG,2016-05-31T00:00:00,GHCND:CA00702FQLF,24
