,attributes,datatype,date,station,value
0,",,C,",WSFG,2016-01-01T00:00:00,GHCND:CA007027039,96.2
1,",,C,",WSFG,2016-01-02T00:00:00,GHCND:CA007027039,78.3
2,",,C,",WSFG,2016-01-03T00:00:00,GHCND:CA007027039,78.3
3,",,C,",WSFG,2016-01-04T00:00:00,GHCND:CA007027039,0.0
4,",,C,",WSFG,2016-01-05T00:00:00,GHCND:CA007027039,0.0
5,",,C,",WSFG,2016-01-06T00:00:00,GHCND:CA007027039,0.0
6,",,C,",WSFG,2016-01-07T00:00:00,GHCND:CA007027039,0.0
7,",,C,",WSFG,2016-01-08T00:00:00,GHCND:CA007027039,87.2
8,",,C,",WSFG,2016-01-09T00:00:00,GHCND:CA007027039,98.4
9,",,C,",WSFG,2016-01-10T00:00:00,GHCND:CA007027039,127.5
10,",,C,",WSFG,2016-01-11T00:00:00,GHCND:CA007027039,161.1
11,",,C,",WSFG,2016-01-12T00:00:00,GHCND:CA007027039,91.7
12,",,C,",WSFG,2016-01-13T00:00:00,GHCND:CA007027039,120.8
13,",,C,",WSFG,2016-01-14T00:00:00,GHCND:CA007027039,0.0
14,",,C,",WSFG,2016-01-15T00:00:00,GHCND:CA007027039,0.0
15,",,C,",WSFG,2016-01-16T00:00:00,GHCND:CA007027039,71.6
16,",,C,",WSFG,2016-01-17T00:00:00,GHCND:CA007027039,0.0
17,",,C,",WSFG,2016-01-18T00:00:00,GHCND:CA007027039,107.4
18,",,C,",WSFG,2016-01-19T00:00:00,GHCND:CA007027039,127.5
19,",,C,",WSFG,2016-01-20T00:00:00,GHCND:CA007027039,91.7
20,",,C,",WSFG,2016-01-21T00:00:00,GHCND:CA007027039,82.8
21,",,C,",WSFG,2016-01-22T00:00:00,GHCND:CA007027039,0.0
22,",,C,",WSFG,2016-01-23T00:00:00,GHCND:CA007027039,0.0
23,",,C,",WSFG,2016-01-24T00:00:00,GHCND:CA007027039,0.0
24,",,C,",WSFG,2016-01-25T00:00:00,GHCND:CA007027039,0.0
25,",,C,",WSFG,2016-01-26T00:00:00,GHCND:CA007027039,132.0
26,",,C,",WSFG,2016-01-27T00:00:00,GHCND:CA007027039,82.8
27,",,C,",WSFG,2016-01-28T00:00:00,GHCND:CA007027039,71.6
28,",,C,",WSFG,2016-01-29T00:00:00,GHCND:CA007027039,98.4
29,",,C,",WSFG,2016-01-30T00:00:00,GHCND:CA007027039,87.2
30,",,C,",WSFG,2016-01-31T00:00:00,GHCND:CA007027039,0.0
31,",,C,",WSFG,2016-02-01T00:00:00,GHCND:CA007027039,132.0
32,",,C,",WSFG,2016-02-02T00:00:00,GHCND:CA007027039,0.0
33,",,C,",WSFG,2016-02-03T00:00:00,GHCND:CA007027039,111.8
34,",,C,",WSFG,2016-02-04T00:00:00,GHCND:CA007027039,87.2
35,",,C,",WSFG,2016-02-05T00:00:00,GHCND:CA007027039,0.0
36,",,C,",WSFG,2016-02-06T00:00:00,GHCND:CA007027039,82.8
37,",,C,",WSFG,2016-02-07T00:00:00,GHCND:CA007027039,73.8
38,",,C,",WSFG,2016-02-08T00:00:00,GHCND:CA007027039,73.8
39,",,C,",WSFG,2016-02-09T00:00:00,GHCND:CA007027039,0.0
40,",,C,",WSFG,2016-02-10T00:00:00,GHCND:CA007027039,0.0
41,",,C,",WSFG,2016-02-11T00:00:00,GHCND:CA007027039,96.2
42,",,C,",WSFG,2016-02-12T00:00:00,GHCND:CA007027039,0.0
43,",,C,",WSFG,2016-02-13T00:00:00,GHCND:CA007027039,116.3
44,",,C,",WSFG,2016-02-14T00:00:00,GHCND:CA007027039,87.2
45,",,C,",WSFG,2016-02-15T00:00:00,GHCND:CA007027039,87.2
46,",,C,",WSFG,2016-02-16T00:00:00,GHCND:CA007027039,136.5
47,",,C,",WSFG,2016-02-17T00:00:00,GHCND:CA007027039,87.2
48,",,C,",WSFG,2016-02-18T00:00:00,GHCND:CA007027039,78.3
49,",,C,",WSFG,2016-02-19T00:00:00,GHCND:CA007027039,120.8
50,",,C,",WSFG,2016-02-20T00:00:00,GHCND:CA007027039,107.4
51,",,C,",WSFG,2016-02-21T00:00:00,GHCND:CA007027039,0.0
52,",,C,",WSFG,2016-02-22T00:00:00,GHCND:CA007027039,0.0
53,",,C,",WSFG,2016-02-23T00:00:00,GHCND:CA007027039,0.0
54,",,C,",WSFG,2016-02-24T00:00:00,GHCND:CA007027039,78.3
55,",,C,",WSFG,2016-02-25T00:00:00,GHCND:CA007027039,98.4
