,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00094704,5.8
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00094704,6.5
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00094704,9.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00094704,13.2
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00094704,4.5
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00094704,6.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00094704,5.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00094704,8.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00094704,10.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00094704,9.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00094704,7.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00094704,9.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00094704,8.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00094704,4.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00094704,6.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00094704,7.2
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00094704,6.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00094704,4.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00094704,9.6
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00094704,4.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00094704,3.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00094704,2.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00094704,7.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00094704,3.4
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00094704,7.8
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00094704,8.7
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00094704,5.6
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00094704,8.5
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00094704,10.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00094704,7.6
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00094704,6.9
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00094704,7.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00094704,6.7
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00094704,13.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00094704,5.4
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00094704,6.3
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00094704,5.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00094704,6.7
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00094704,8.7
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00094704,3.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00094704,7.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00094704,10.1
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00094704,6.7
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00094704,16.6
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00094704,4.3
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00094704,12.5
