,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014919,270
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014919,320
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014919,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014919,180
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014919,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014919,60
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014919,340
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014919,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014919,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014919,290
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014919,320
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014919,320
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014919,280
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014919,350
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014919,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014919,310
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014919,330
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014919,140
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014919,170
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014919,40
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014919,360
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014919,180
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014919,180
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014919,330
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014919,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014919,320
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014919,300
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014919,310
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014919,300
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014919,250
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014919,310
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014919,320
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014919,20
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014919,290
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014919,310
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014919,300
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014919,300
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014919,340
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014919,350
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014919,80
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014919,120
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014919,350
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014919,10
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014919,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014919,180
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014919,260
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014919,110
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014919,180
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014919,130
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014919,300
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014919,300
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014919,40
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014919,190
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014919,310
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014919,330
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014919,360
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014919,280
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014919,250
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014919,290
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014919,360
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014919,270
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014919,110
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014919,170
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014919,310
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014919,150
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014919,190
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014919,100
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014919,340
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014919,350
