,attributes,datatype,date,station,value
0,",,7,",WDFG,2016-01-01T00:00:00,GHCND:USC00397277,290
1,",,7,",WDFG,2016-01-02T00:00:00,GHCND:USC00397277,340
2,",,7,",WDFG,2016-01-03T00:00:00,GHCND:USC00397277,340
3,",,7,",WDFG,2016-01-04T00:00:00,GHCND:USC00397277,360
4,",,7,",WDFG,2016-01-05T00:00:00,GHCND:USC00397277,200
5,",,7,",WDFG,2016-01-06T00:00:00,GHCND:USC00397277,180
6,",,7,",WDFG,2016-01-07T00:00:00,GHCND:USC00397277,110
7,",,7,",WDFG,2016-01-08T00:00:00,GHCND:USC00397277,110
8,",,7,",WDFG,2016-01-09T00:00:00,GHCND:USC00397277,330
9,",,7,",WDFG,2016-01-10T00:00:00,GHCND:USC00397277,360
10,",,7,",WDFG,2016-01-11T00:00:00,GHCND:USC00397277,320
11,",,7,",WDFG,2016-01-12T00:00:00,GHCND:USC00397277,320
12,",,7,",WDFG,2016-01-13T00:00:00,GHCND:USC00397277,360
13,",,7,",WDFG,2016-01-14T00:00:00,GHCND:USC00397277,290
14,",,7,",WDFG,2016-01-15T00:00:00,GHCND:USC00397277,360
15,",,7,",WDFG,2016-01-16T00:00:00,GHCND:USC00397277,20
16,",,7,",WDFG,2016-01-17T00:00:00,GHCND:USC00397277,330
17,",,7,",WDFG,2016-01-18T00:00:00,GHCND:USC00397277,315
18,",,7,",WDFG,2016-01-19T00:00:00,GHCND:USC00397277,180
19,",,7,",WDFG,2016-01-20T00:00:00,GHCND:USC00397277,240
20,",,7,",WDFG,2016-01-21T00:00:00,GHCND:USC00397277,45
21,",,7,",WDFG,2016-01-22T00:00:00,GHCND:USC00397277,45
22,",,7,",WDFG,2016-01-23T00:00:00,GHCND:USC00397277,190
23,",,7,",WDFG,2016-01-24T00:00:00,GHCND:USC00397277,190
24,",,7,",WDFG,2016-01-25T00:00:00,GHCND:USC00397277,110
25,",,7,",WDFG,2016-01-26T00:00:00,GHCND:USC00397277,320
26,",,7,",WDFG,2016-01-27T00:00:00,GHCND:USC00397277,320
27,",,7,",WDFG,2016-01-28T00:00:00,GHCND:USC00397277,290
28,",,7,",WDFG,2016-01-29T00:00:00,GHCND:USC00397277,360
29,",,7,",WDFG,2016-01-30T00:00:00,GHCND:USC00397277,290
30,",,7,",WDFG,2016-01-31T00:00:00,GHCND:USC00397277,290
31,",,7,",WDFG,2016-02-01T00:00:00,GHCND:USC00397277,310
32,",,7,",WDFG,2016-02-02T00:00:00,GHCND:USC00397277,190
33,",,7,",WDFG,2016-02-03T00:00:00,GHCND:USC00397277,20
34,",,7,",WDFG,2016-02-04T00:00:00,GHCND:USC00397277,360
35,",,7,",WDFG,2016-02-05T00:00:00,GHCND:USC00397277,330
36,",,7,",WDFG,2016-02-06T00:00:00,GHCND:USC00397277,140
37,",,7,",WDFG,2016-02-07T00:00:00,GHCND:USC00397277,320
38,",,7,",WDFG,2016-02-08T00:00:00,GHCND:USC00397277,360
39,",,7,",WDFG,2016-02-09T00:00:00,GHCND:USC00397277,320
40,",,7,",WDFG,2016-02-10T00:00:00,GHCND:USC00397277,290
41,",,7,",WDFG,2016-02-11T00:00:00,GHCND:USC00397277,70
42,",,7,",WDFG,2016-02-12T00:00:00,GHCND:USC00397277,50
43,",,7,",WDFG,2016-02-13T00:00:00,GHCND:USC00397277,140
44,",,7,",WDFG,2016-02-14T00:00:00,GHCND:USC00397277,10
