,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00003031,11.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00003031,3.4
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00003031,7.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00003031,8.1
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00003031,11.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00003031,8.9
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00003031,13.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00003031,12.3
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00003031,9.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00003031,8.1
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00003031,6.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00003031,5.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00003031,7.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00003031,11.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00003031,9.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00003031,11.6
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00003031,12.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00003031,8.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00003031,11.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00003031,9.2
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00003031,15.9
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00003031,4.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00003031,9.6
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00003031,9.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00003031,9.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00003031,11.0
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00003031,7.6
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00003031,4.7
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00003031,10.7
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00003031,13.9
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00003031,11.0
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00003031,15.0
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00003031,14.5
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00003031,6.7
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00003031,6.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00003031,11.4
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00003031,7.6
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00003031,10.1
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00003031,7.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00003031,5.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00003031,8.1
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00003031,7.6
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00003031,6.7
