,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00023040,60
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00023040,310
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00023040,320
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00023040,90
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00023040,140
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00023040,130
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00023040,240
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00023040,240
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00023040,20
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00023040,130
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00023040,290
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00023040,220
12,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00023040,260
13,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00023040,320
14,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00023040,330
15,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00023040,140
16,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00023040,320
17,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00023040,270
18,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00023040,320
19,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00023040,140
20,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00023040,130
21,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00023040,280
22,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00023040,340
23,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00023040,60
24,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00023040,220
25,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00023040,230
26,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00023040,240
27,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00023040,260
28,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00023040,270
29,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00023040,300
30,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00023040,290
31,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00023040,60
32,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00023040,260
33,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00023040,360
