,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014946,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014946,310
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014946,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014946,170
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014946,200
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014946,150
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014946,30
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014946,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014946,340
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014946,230
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014946,320
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014946,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014946,250
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014946,360
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014946,350
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014946,330
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014946,320
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014946,250
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014946,170
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014946,170
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014946,40
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014946,170
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014946,220
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014946,50
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014946,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014946,340
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014946,270
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014946,350
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014946,170
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014946,210
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014946,310
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014946,260
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014946,360
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014946,360
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014946,340
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014946,200
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014946,270
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014946,340
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014946,350
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014946,350
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014946,70
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014946,340
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014946,350
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014946,150
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014946,150
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014946,210
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014946,20
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014946,170
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014946,160
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014946,310
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014946,320
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014946,360
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014946,200
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014946,320
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014946,350
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014946,340
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00014946,250
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00014946,220
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00014946,310
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00014946,20
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00014946,360
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00014946,140
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00014946,50
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00014946,320
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00014946,170
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00014946,170
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00014946,170
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00014946,290
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00014946,310
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00014946,160
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00014946,200
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00014946,160
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00014946,170
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00014946,150
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00014946,330
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00014946,310
