,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00023042,30
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00023042,220
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00023042,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00023042,130
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00023042,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00023042,210
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00023042,270
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00023042,30
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00023042,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00023042,140
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00023042,280
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00023042,210
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00023042,310
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00023042,260
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00023042,180
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00023042,60
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00023042,40
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00023042,220
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00023042,330
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00023042,260
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00023042,340
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00023042,340
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00023042,220
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00023042,240
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00023042,290
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00023042,30
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00023042,240
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00023042,220
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00023042,260
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00023042,260
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00023042,280
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00023042,310
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00023042,300
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00023042,360
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00023042,60
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00023042,350
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00023042,310
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00023042,40
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00023042,350
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00023042,300
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00023042,250
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00023042,40
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00023042,130
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00023042,200
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00023042,200
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00023042,230
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00023042,40
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00023042,200
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00023042,210
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00023042,210
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00023042,260
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00023042,50
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00023042,110
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00023042,360
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00023042,260
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00023042,60
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00023042,210
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00023042,200
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00023042,210
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00023042,210
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00023042,10
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00023042,260
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00023042,20
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00023042,190
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00023042,140
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00023042,190
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00023042,190
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00023042,230
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00023042,60
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00023042,40
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00023042,30
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00023042,140
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00023042,330
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00023042,270
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00023042,320
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00023042,230
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00023042,140
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00023042,30
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00023042,20
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00023042,50
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00023042,230
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00023042,240
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00023042,280
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00023042,350
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00023042,200
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00023042,10
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00023042,10
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00023042,150
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00023042,180
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00023042,240
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00023042,330
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00023042,40
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00023042,320
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00023042,230
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00023042,70
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00023042,190
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00023042,20
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00023042,40
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00023042,160
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00023042,210
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00023042,220
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00023042,340
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00023042,50
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00023042,140
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00023042,130
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00023042,150
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00023042,250
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00023042,30
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00023042,10
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00023042,360
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00023042,170
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00023042,20
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00023042,70
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00023042,170
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00023042,240
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00023042,220
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00023042,260
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00023042,250
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00023042,170
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00023042,240
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00023042,40
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00023042,30
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00023042,360
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00023042,20
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00023042,340
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00023042,160
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00023042,150
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00023042,190
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00023042,230
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00023042,250
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00023042,230
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00023042,40
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00023042,60
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00023042,120
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00023042,150
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00023042,130
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00023042,160
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00023042,40
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00023042,50
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00023042,80
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00023042,160
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00023042,140
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00023042,140
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00023042,160
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00023042,160
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00023042,230
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00023042,230
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00023042,270
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00023042,360
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00023042,20
150,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00023042,320
151,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00023042,170
152,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00023042,340
153,",,W,",WDF2,2016-06-02T00:00:00,GHCND:USW00023042,50
154,",,W,",WDF2,2016-06-03T00:00:00,GHCND:USW00023042,50
155,",,W,",WDF2,2016-06-04T00:00:00,GHCND:USW00023042,40
156,",,W,",WDF2,2016-06-05T00:00:00,GHCND:USW00023042,50
