,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014733,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014733,210
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014733,250
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014733,340
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014733,210
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014733,220
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014733,120
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014733,160
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014733,180
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014733,250
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014733,270
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014733,250
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014733,270
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014733,200
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014733,200
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014733,280
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014733,290
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014733,270
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014733,280
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014733,260
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014733,330
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014733,60
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014733,50
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014733,210
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014733,200
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014733,240
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014733,240
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014733,200
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014733,290
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014733,210
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014733,210
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014733,250
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014733,80
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014733,200
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014733,240
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014733,250
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014733,240
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014733,200
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014733,90
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014733,230
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014733,240
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014733,290
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014733,210
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014733,310
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014733,110
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014733,170
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014733,290
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014733,300
