,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00013932,280
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00013932,230
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00013932,10
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00013932,110
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00013932,170
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00013932,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00013932,170
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00013932,350
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00013932,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00013932,360
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00013932,220
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00013932,30
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00013932,20
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00013932,200
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00013932,340
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00013932,10
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00013932,30
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00013932,140
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00013932,110
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00013932,90
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00013932,360
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00013932,10
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00013932,160
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00013932,180
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00013932,300
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00013932,360
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00013932,240
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00013932,330
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00013932,210
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00013932,170
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00013932,360
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00013932,110
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00013932,270
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00013932,290
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00013932,260
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00013932,320
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00013932,250
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00013932,330
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00013932,320
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00013932,340
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00013932,220
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00013932,20
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00013932,20
