,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00003947,9.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00003947,6.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00003947,9.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00003947,7.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00003947,11.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00003947,11.6
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00003947,9.2
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00003947,9.8
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00003947,16.6
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00003947,9.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00003947,11.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00003947,8.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00003947,11.0
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00003947,13.0
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00003947,11.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00003947,6.5
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00003947,10.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00003947,5.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00003947,11.4
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00003947,5.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00003947,10.5
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00003947,8.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00003947,8.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00003947,11.2
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00003947,12.5
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00003947,9.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00003947,10.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00003947,9.2
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00003947,10.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00003947,6.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00003947,9.2
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00003947,10.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00003947,21.0
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00003947,14.3
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00003947,8.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00003947,4.9
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00003947,8.7
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00003947,16.1
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00003947,19.9
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00003947,15.7
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00003947,10.5
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00003947,6.9
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00003947,11.9
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00003947,11.6
