,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00093138,310
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00093138,260
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00093138,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00093138,80
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00093138,290
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00093138,60
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00093138,190
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00093138,320
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00093138,130
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00093138,310
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00093138,50
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00093138,110
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00093138,330
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00093138,120
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00093138,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00093138,110
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00093138,90
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00093138,110
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00093138,110
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00093138,240
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00093138,120
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00093138,330
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00093138,360
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00093138,280
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00093138,20
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00093138,10
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00093138,310
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00093138,350
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00093138,340
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00093138,120
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00093138,310
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00093138,310
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00093138,100
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00093138,250
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00093138,300
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00093138,360
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00093138,300
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00093138,360
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00093138,340
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00093138,260
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00093138,80
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00093138,300
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00093138,330
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00093138,330
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00093138,40
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00093138,340
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00093138,110
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00093138,330
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00093138,310
