,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00003030,220
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00003030,330
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00003030,300
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00003030,180
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00003030,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00003030,210
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00003030,320
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00003030,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00003030,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00003030,200
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00003030,250
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00003030,320
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00003030,350
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00003030,360
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00003030,280
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00003030,350
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00003030,40
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00003030,200
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00003030,340
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00003030,350
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00003030,360
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00003030,90
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00003030,180
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00003030,220
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00003030,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00003030,260
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00003030,350
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00003030,220
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00003030,10
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00003030,320
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00003030,330
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00003030,260
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00003030,330
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00003030,360
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00003030,250
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00003030,10
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00003030,240
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00003030,10
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00003030,350
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00003030,350
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00003030,310
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00003030,210
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00003030,100
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00003030,210
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00003030,340
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00003030,360
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00003030,360
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00003030,180
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00003030,220
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00003030,230
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00003030,20
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00003030,30
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00003030,160
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00003030,10
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00003030,360
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00003030,340
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00003030,10
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00003030,210
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00003030,10
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00003030,20
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00003030,20
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00003030,340
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00003030,330
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00003030,220
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00003030,160
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00003030,210
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00003030,220
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00003030,360
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00003030,100
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00003030,360
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00003030,130
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00003030,140
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00003030,330
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00003030,350
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00003030,360
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00003030,320
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00003030,50
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00003030,50
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00003030,340
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00003030,230
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00003030,230
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00003030,220
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00003030,240
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00003030,340
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00003030,210
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00003030,350
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00003030,320
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00003030,200
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00003030,160
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00003030,240
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00003030,350
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00003030,340
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00003030,320
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00003030,330
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00003030,120
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00003030,350
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00003030,340
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00003030,20
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00003030,200
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00003030,210
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00003030,190
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00003030,30
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00003030,190
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00003030,210
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00003030,170
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00003030,160
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00003030,160
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00003030,350
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00003030,350
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00003030,300
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00003030,360
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00003030,350
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00003030,180
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00003030,200
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00003030,180
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00003030,340
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00003030,230
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00003030,350
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00003030,90
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00003030,70
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00003030,320
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00003030,350
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00003030,350
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00003030,320
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00003030,10
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00003030,200
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00003030,180
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00003030,160
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00003030,200
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00003030,320
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00003030,10
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00003030,340
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00003030,190
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00003030,30
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00003030,40
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00003030,160
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00003030,300
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00003030,20
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00003030,90
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00003030,160
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00003030,130
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00003030,180
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00003030,140
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00003030,160
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00003030,160
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00003030,200
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00003030,230
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00003030,300
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00003030,200
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00003030,180
