,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00023047,6.3
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00023047,7.6
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00023047,8.5
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00023047,8.9
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00023047,14.8
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00023047,16.6
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00023047,11.2
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00023047,10.5
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00023047,12.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00023047,9.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00023047,7.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00023047,8.3
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00023047,8.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00023047,11.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00023047,10.1
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00023047,7.6
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00023047,10.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00023047,12.5
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00023047,14.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00023047,14.3
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00023047,18.6
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00023047,7.6
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00023047,14.1
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00023047,15.9
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00023047,13.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00023047,6.5
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00023047,5.1
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00023047,7.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00023047,13.6
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00023047,17.2
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00023047,11.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00023047,15.2
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00023047,21.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00023047,8.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00023047,8.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00023047,17.0
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00023047,9.2
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00023047,13.2
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00023047,13.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00023047,11.0
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00023047,11.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00023047,7.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00023047,12.3
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00023047,19.7
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00023047,11.2
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00023047,10.7
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00023047,11.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00023047,17.0
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00023047,19.9
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00023047,16.1
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00023047,9.6
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00023047,13.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00023047,12.5
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00023047,13.6
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00023047,11.4
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00023047,8.5
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00023047,11.0
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00023047,16.3
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00023047,13.6
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00023047,14.8
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00023047,11.6
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00023047,16.1
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00023047,9.6
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00023047,16.1
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00023047,15.0
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00023047,19.7
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00023047,13.4
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00023047,10.1
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00023047,7.6
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00023047,7.6
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00023047,8.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00023047,14.8
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00023047,9.4
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00023047,14.8
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00023047,10.3
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00023047,13.4
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00023047,10.5
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00023047,17.4
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00023047,9.2
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00023047,8.1
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00023047,18.6
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00023047,20.8
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00023047,27.5
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00023047,15.2
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00023047,17.4
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00023047,17.7
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00023047,10.5
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00023047,20.8
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00023047,21.5
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00023047,14.8
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00023047,11.6
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00023047,7.6
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00023047,10.5
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00023047,13.9
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00023047,10.5
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00023047,23.0
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00023047,10.5
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00023047,15.9
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00023047,12.1
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00023047,16.8
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00023047,15.7
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00023047,13.0
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00023047,8.5
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00023047,11.6
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00023047,19.7
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00023047,24.6
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00023047,19.0
