,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00417944,121.2
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00417944,67.1
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00417944,16.2
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00417944,28.0
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00417944,34.8
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00417944,98.8
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00417944,90.7
7,",,7,",WDMV,2016-01-08T00:00:00,GHCND:USC00417944,62.8
8,",,7,",WDMV,2016-01-09T00:00:00,GHCND:USC00417944,82.0
9,",,7,",WDMV,2016-01-10T00:00:00,GHCND:USC00417944,116.8
10,",,7,",WDMV,2016-01-11T00:00:00,GHCND:USC00417944,60.9
11,",,7,",WDMV,2016-01-12T00:00:00,GHCND:USC00417944,29.8
12,",,7,",WDMV,2016-01-13T00:00:00,GHCND:USC00417944,24.9
13,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00417944,111.8
14,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00417944,105.0
15,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00417944,55.3
16,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00417944,116.8
17,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00417944,95.1
18,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00417944,67.7
19,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00417944,85.1
20,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00417944,62.8
21,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00417944,142.3
22,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00417944,60.9
23,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00417944,105.0
24,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00417944,137.9
25,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00417944,73.9
26,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00417944,82.0
27,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00417944,34.8
28,",,7,",WDMV,2016-01-29T00:00:00,GHCND:USC00417944,31.1
29,",,7,",WDMV,2016-01-30T00:00:00,GHCND:USC00417944,119.3
30,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00417944,101.9
31,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00417944,47.2
32,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00417944,152.9
33,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00417944,95.1
34,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00417944,72.1
35,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00417944,62.1
36,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00417944,128.0
37,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00417944,65.9
38,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00417944,116.8
39,",,7,",WDMV,2016-02-09T00:00:00,GHCND:USC00417944,75.2
40,",,7,",WDMV,2016-02-10T00:00:00,GHCND:USC00417944,39.1
41,",,7,",WDMV,2016-02-11T00:00:00,GHCND:USC00417944,65.9
42,",,7,",WDMV,2016-02-12T00:00:00,GHCND:USC00417944,34.8
43,",,7,",WDMV,2016-02-13T00:00:00,GHCND:USC00417944,42.9
44,",,7,",WDMV,2016-02-14T00:00:00,GHCND:USC00417944,172.7
45,",,7,",WDMV,2016-02-15T00:00:00,GHCND:USC00417944,59.0
46,",,7,",WDMV,2016-02-16T00:00:00,GHCND:USC00417944,55.3
47,",,7,",WDMV,2016-02-17T00:00:00,GHCND:USC00417944,65.9
48,",,7,",WDMV,2016-02-18T00:00:00,GHCND:USC00417944,159.1
49,",,7,",WDMV,2016-02-19T00:00:00,GHCND:USC00417944,213.8
50,",,7,",WDMV,2016-02-20T00:00:00,GHCND:USC00417944,77.1
51,",,7,",WDMV,2016-02-21T00:00:00,GHCND:USC00417944,64.0
52,",,7,",WDMV,2016-02-22T00:00:00,GHCND:USC00417944,39.1
53,",,7,",WDMV,2016-02-23T00:00:00,GHCND:USC00417944,141.1
