,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00014605,18.1
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00014605,28.0
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00014605,18.1
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00014605,35.1
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00014605,29.1
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00014605,10.1
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00014605,8.9
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00014605,12.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00014605,12.1
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00014605,51.0
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00014605,33.1
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00014605,33.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00014605,40.9
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00014605,16.1
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00014605,14.1
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00014605,23.9
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00014605,18.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00014605,34.0
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00014605,38.0
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00014605,38.0
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00014605,32.0
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00014605,21.0
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00014605,25.9
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00014605,25.1
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00014605,13.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00014605,25.9
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00014605,31.1
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00014605,21.9
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00014605,13.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00014605,23.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00014605,15.0
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00014605,29.1
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00014605,21.9
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00014605,23.9
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00014605,16.1
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00014605,34.0
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00014605,19.9
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00014605,23.9
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00014605,32.0
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00014605,21.9
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00014605,12.1
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00014605,28.0
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00014605,23.0
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00014605,34.0
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00014605,25.9
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00014605,17.0
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00014605,49.0
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00014605,25.1
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00014605,23.9
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00014605,18.1
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00014605,35.1
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00014605,28.0
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00014605,19.0
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00014605,13.0
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00014605,18.1
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00014605,46.1
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00014605,36.0
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00014605,25.9
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00014605,21.0
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00014605,23.9
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00014605,38.9
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00014605,36.0
62,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00014605,33.1
63,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00014605,15.0
64,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00014605,27.1
65,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00014605,19.0
66,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00014605,25.1
67,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00014605,15.0
68,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00014605,19.9
69,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00014605,18.1
70,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00014605,23.0
71,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00014605,31.1
72,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00014605,38.0
73,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00014605,21.0
74,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00014605,19.0
75,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00014605,21.9
76,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00014605,23.9
77,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00014605,30.0
78,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00014605,28.0
79,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00014605,18.1
80,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00014605,19.9
81,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00014605,35.1
82,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00014605,23.9
83,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00014605,19.0
