,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00094623,0.9
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00094623,2.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00094623,3.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00094623,5.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00094623,1.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00094623,0.4
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00094623,0.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00094623,2.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00094623,2.0
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00094623,9.2
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00094623,6.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00094623,3.1
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00094623,7.6
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00094623,2.0
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00094623,0.7
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00094623,2.5
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00094623,1.1
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00094623,3.6
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00094623,7.4
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00094623,8.3
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00094623,6.7
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00094623,3.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00094623,3.6
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00094623,4.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00094623,1.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00094623,8.1
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00094623,3.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00094623,2.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00094623,0.7
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00094623,2.9
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00094623,3.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00094623,6.3
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00094623,1.3
