,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094623,270
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094623,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094623,220
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094623,30
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094623,340
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094623,220
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094623,220
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094623,90
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094623,40
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094623,110
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094623,270
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094623,210
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094623,260
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094623,270
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094623,40
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094623,10
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094623,320
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094623,270
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094623,260
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094623,320
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094623,310
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094623,320
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094623,20
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094623,10
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094623,180
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094623,220
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094623,290
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094623,210
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094623,290
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094623,210
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094623,220
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094623,240
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094623,330
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094623,220
