,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00023070,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00023070,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00023070,260
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00023070,250
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00023070,250
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00023070,90
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00023070,320
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00023070,20
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00023070,240
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00023070,240
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00023070,240
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00023070,250
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00023070,240
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00023070,310
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00023070,100
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00023070,250
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00023070,290
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00023070,250
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00023070,10
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00023070,290
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00023070,10
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00023070,240
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00023070,240
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00023070,240
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00023070,70
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00023070,250
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00023070,250
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00023070,260
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00023070,330
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00023070,260
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00023070,40
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00023070,310
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00023070,330
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00023070,360
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00023070,260
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00023070,300
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00023070,240
