,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00003195,13.0
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00003195,8.7
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00003195,6.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00003195,7.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00003195,4.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00003195,11.6
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00003195,8.1
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00003195,4.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00003195,2.9
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00003195,2.5
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00003195,2.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00003195,3.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00003195,4.7
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00003195,3.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00003195,5.1
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00003195,2.9
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00003195,1.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00003195,6.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00003195,4.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00003195,4.9
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00003195,5.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00003195,3.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00003195,4.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00003195,5.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00003195,4.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00003195,6.9
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00003195,2.0
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00003195,3.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00003195,3.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00003195,12.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00003195,16.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00003195,12.1
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00003195,3.6
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00003195,2.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00003195,3.8
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00003195,7.4
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00003195,4.3
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00003195,7.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00003195,9.6
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00003195,7.2
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00003195,3.6
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00003195,2.5
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00003195,3.4
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00003195,3.1
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00003195,2.9
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00003195,3.8
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00003195,2.9
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00003195,10.3
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00003195,14.8
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00003195,7.6
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00003195,2.2
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00003195,2.7
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00003195,6.5
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00003195,6.0
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00003195,3.6
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00003195,2.9
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00003195,3.6
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00003195,2.9
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00003195,3.4
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00003195,4.5
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00003195,2.2
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00003195,4.0
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00003195,4.0
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00003195,4.9
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00003195,8.5
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00003195,16.6
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00003195,5.8
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00003195,4.7
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00003195,2.9
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00003195,4.3
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00003195,8.5
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00003195,7.6
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00003195,8.5
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00003195,9.2
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00003195,4.3
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00003195,2.7
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00003195,4.9
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00003195,3.6
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00003195,2.9
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00003195,4.9
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00003195,13.6
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00003195,13.2
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00003195,6.3
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00003195,2.9
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00003195,5.1
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00003195,6.3
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00003195,7.4
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00003195,17.9
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00003195,14.8
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00003195,4.9
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00003195,4.9
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00003195,6.5
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00003195,3.8
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00003195,2.2
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00003195,5.4
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00003195,5.6
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00003195,5.4
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00003195,8.7
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00003195,4.9
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00003195,8.3
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00003195,4.5
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00003195,3.1
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00003195,4.3
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00003195,4.5
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00003195,11.2
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00003195,7.6
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00003195,7.6
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00003195,8.1
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00003195,2.9
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00003195,4.7
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00003195,4.5
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00003195,5.1
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00003195,12.3
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00003195,13.4
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00003195,8.5
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00003195,14.8
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00003195,5.8
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00003195,6.3
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00003195,8.1
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00003195,5.1
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00003195,6.0
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00003195,8.3
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00003195,5.6
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00003195,7.8
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00003195,7.2
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00003195,9.6
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00003195,10.1
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00003195,4.5
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00003195,6.5
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00003195,8.1
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00003195,6.3
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00003195,3.1
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00003195,4.5
133,",,W,",AWND,2016-05-13T00:00:00,GHCND:USW00003195,4.9
134,",,W,",AWND,2016-05-14T00:00:00,GHCND:USW00003195,4.9
135,",,W,",AWND,2016-05-15T00:00:00,GHCND:USW00003195,10.5
136,",,W,",AWND,2016-05-16T00:00:00,GHCND:USW00003195,8.1
137,",,W,",AWND,2016-05-17T00:00:00,GHCND:USW00003195,5.8
138,",,W,",AWND,2016-05-18T00:00:00,GHCND:USW00003195,5.8
139,",,W,",AWND,2016-05-19T00:00:00,GHCND:USW00003195,6.9
140,",,W,",AWND,2016-05-20T00:00:00,GHCND:USW00003195,19.7
141,",,W,",AWND,2016-05-21T00:00:00,GHCND:USW00003195,18.6
142,",,W,",AWND,2016-05-22T00:00:00,GHCND:USW00003195,9.4
143,",,W,",AWND,2016-05-23T00:00:00,GHCND:USW00003195,8.7
144,",,W,",AWND,2016-05-24T00:00:00,GHCND:USW00003195,13.0
145,",,W,",AWND,2016-05-25T00:00:00,GHCND:USW00003195,7.2
146,",,W,",AWND,2016-05-26T00:00:00,GHCND:USW00003195,4.5
147,",,W,",AWND,2016-05-27T00:00:00,GHCND:USW00003195,3.8
148,",,W,",AWND,2016-05-28T00:00:00,GHCND:USW00003195,3.8
149,",,W,",AWND,2016-05-29T00:00:00,GHCND:USW00003195,4.9
150,",,W,",AWND,2016-05-30T00:00:00,GHCND:USW00003195,4.0
151,",,W,",AWND,2016-05-31T00:00:00,GHCND:USW00003195,3.4
152,",,W,",AWND,2016-06-01T00:00:00,GHCND:USW00003195,5.1
153,",,W,",AWND,2016-06-02T00:00:00,GHCND:USW00003195,3.4
154,",,W,",AWND,2016-06-03T00:00:00,GHCND:USW00003195,3.4
155,",,W,",AWND,2016-06-04T00:00:00,GHCND:USW00003195,4.5
156,",,W,",AWND,2016-06-05T00:00:00,GHCND:USW00003195,5.6
157,",,W,",AWND,2016-06-06T00:00:00,GHCND:USW00003195,7.8
158,",,W,",AWND,2016-06-07T00:00:00,GHCND:USW00003195,5.4
159,",,W,",AWND,2016-06-08T00:00:00,GHCND:USW00003195,3.8
160,",,W,",AWND,2016-06-09T00:00:00,GHCND:USW00003195,8.5
