,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00025501,26.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00025501,19.0
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00025501,24.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00025501,21.7
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00025501,11.0
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00025501,5.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00025501,15.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00025501,28.0
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00025501,26.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00025501,15.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00025501,11.2
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00025501,17.2
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00025501,7.2
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00025501,8.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00025501,25.5
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00025501,22.4
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00025501,8.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00025501,9.6
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00025501,13.2
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00025501,16.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00025501,19.5
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00025501,14.3
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00025501,12.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00025501,17.0
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00025501,28.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00025501,16.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00025501,9.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00025501,4.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00025501,2.7
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00025501,8.1
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00025501,24.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00025501,9.4
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00025501,14.1
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00025501,25.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00025501,12.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00025501,7.8
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00025501,5.4
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00025501,26.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00025501,16.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00025501,13.9
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00025501,17.7
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00025501,17.2
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00025501,9.8
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00025501,12.8
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00025501,6.3
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00025501,5.6
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00025501,5.8
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00025501,19.2
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00025501,15.7
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00025501,16.3
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00025501,13.9
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00025501,8.1
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00025501,7.6
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00025501,27.3
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00025501,14.1
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00025501,16.1
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00025501,11.2
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00025501,25.9
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00025501,13.4
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00025501,30.6
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00025501,9.8
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00025501,8.5
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00025501,13.0
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00025501,18.1
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00025501,8.3
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00025501,6.9
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00025501,7.6
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00025501,6.9
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00025501,11.4
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00025501,12.8
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00025501,14.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00025501,12.5
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00025501,5.1
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00025501,5.1
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00025501,4.7
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00025501,8.5
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00025501,14.3
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00025501,13.2
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00025501,9.8
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00025501,13.4
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00025501,11.0
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00025501,19.0
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00025501,17.4
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00025501,10.7
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00025501,0.0
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00025501,6.7
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00025501,7.4
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00025501,6.5
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00025501,7.8
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00025501,16.6
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00025501,14.5
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00025501,14.3
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00025501,8.7
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00025501,17.2
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00025501,15.2
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00025501,5.4
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00025501,5.1
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00025501,4.9
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00025501,10.7
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00025501,17.4
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00025501,9.2
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00025501,16.1
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00025501,15.7
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00025501,7.6
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00025501,10.5
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00025501,5.8
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00025501,5.1
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00025501,6.3
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00025501,10.3
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00025501,23.9
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00025501,17.2
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00025501,8.5
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00025501,10.3
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00025501,15.9
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00025501,19.2
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00025501,18.1
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00025501,8.7
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00025501,18.6
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00025501,12.8
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00025501,13.9
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00025501,19.7
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00025501,6.0
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00025501,6.7
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00025501,9.4
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00025501,5.1
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00025501,17.9
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00025501,5.1
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00025501,5.8
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00025501,9.2
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00025501,9.8
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00025501,11.4
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00025501,9.2
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00025501,9.4
133,",,W,",AWND,2016-05-13T00:00:00,GHCND:USW00025501,5.4
134,",,W,",AWND,2016-05-14T00:00:00,GHCND:USW00025501,5.4
135,",,W,",AWND,2016-05-15T00:00:00,GHCND:USW00025501,6.7
136,",,W,",AWND,2016-05-16T00:00:00,GHCND:USW00025501,12.8
137,",,W,",AWND,2016-05-17T00:00:00,GHCND:USW00025501,7.2
138,",,W,",AWND,2016-05-18T00:00:00,GHCND:USW00025501,8.3
139,",,W,",AWND,2016-05-19T00:00:00,GHCND:USW00025501,11.0
140,",,W,",AWND,2016-05-20T00:00:00,GHCND:USW00025501,9.6
141,",,W,",AWND,2016-05-21T00:00:00,GHCND:USW00025501,9.6
142,",,W,",AWND,2016-05-22T00:00:00,GHCND:USW00025501,6.7
143,",,W,",AWND,2016-05-23T00:00:00,GHCND:USW00025501,10.3
144,",,W,",AWND,2016-05-24T00:00:00,GHCND:USW00025501,9.6
145,",,W,",AWND,2016-05-25T00:00:00,GHCND:USW00025501,6.3
146,",,W,",AWND,2016-05-26T00:00:00,GHCND:USW00025501,4.7
147,",,W,",AWND,2016-05-27T00:00:00,GHCND:USW00025501,7.6
148,",,W,",AWND,2016-05-28T00:00:00,GHCND:USW00025501,5.8
149,",,W,",AWND,2016-05-29T00:00:00,GHCND:USW00025501,8.3
150,",,W,",AWND,2016-05-30T00:00:00,GHCND:USW00025501,13.4
151,",,W,",AWND,2016-05-31T00:00:00,GHCND:USW00025501,18.6
152,",,W,",AWND,2016-06-01T00:00:00,GHCND:USW00025501,13.6
153,",,W,",AWND,2016-06-02T00:00:00,GHCND:USW00025501,0.0
154,",,W,",AWND,2016-06-03T00:00:00,GHCND:USW00025501,6.0
155,",,W,",AWND,2016-06-04T00:00:00,GHCND:USW00025501,5.8
156,",,W,",AWND,2016-06-05T00:00:00,GHCND:USW00025501,7.4
157,",,W,",AWND,2016-06-06T00:00:00,GHCND:USW00025501,5.8
158,",,W,",AWND,2016-06-07T00:00:00,GHCND:USW00025501,7.6
159,",,W,",AWND,2016-06-08T00:00:00,GHCND:USW00025501,7.4
160,",,W,",AWND,2016-06-09T00:00:00,GHCND:USW00025501,9.2
161,",,W,",AWND,2016-06-10T00:00:00,GHCND:USW00025501,6.3
162,",,W,",AWND,2016-06-11T00:00:00,GHCND:USW00025501,6.7
163,",,W,",AWND,2016-06-12T00:00:00,GHCND:USW00025501,6.9
164,",,W,",AWND,2016-06-13T00:00:00,GHCND:USW00025501,15.2
165,",,W,",AWND,2016-06-14T00:00:00,GHCND:USW00025501,13.0
166,",,W,",AWND,2016-06-15T00:00:00,GHCND:USW00025501,9.2
167,",,W,",AWND,2016-06-16T00:00:00,GHCND:USW00025501,9.2
168,",,W,",AWND,2016-06-17T00:00:00,GHCND:USW00025501,12.3
169,",,W,",AWND,2016-06-18T00:00:00,GHCND:USW00025501,13.4
170,",,W,",AWND,2016-06-19T00:00:00,GHCND:USW00025501,6.7
171,",,W,",AWND,2016-06-20T00:00:00,GHCND:USW00025501,7.2
172,",,W,",AWND,2016-06-21T00:00:00,GHCND:USW00025501,9.6
173,",,W,",AWND,2016-06-22T00:00:00,GHCND:USW00025501,6.0
174,",,W,",AWND,2016-06-23T00:00:00,GHCND:USW00025501,6.9
175,",,W,",AWND,2016-06-24T00:00:00,GHCND:USW00025501,4.9
176,",,W,",AWND,2016-06-25T00:00:00,GHCND:USW00025501,10.5
177,",,W,",AWND,2016-06-26T00:00:00,GHCND:USW00025501,12.8
178,",,W,",AWND,2016-06-27T00:00:00,GHCND:USW00025501,12.3
179,",,W,",AWND,2016-06-28T00:00:00,GHCND:USW00025501,11.0
180,",,W,",AWND,2016-06-29T00:00:00,GHCND:USW00025501,11.0
181,",,W,",AWND,2016-06-30T00:00:00,GHCND:USW00025501,4.7
182,",,W,",AWND,2016-07-01T00:00:00,GHCND:USW00025501,2.9
183,",,W,",AWND,2016-07-02T00:00:00,GHCND:USW00025501,5.1
