,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00025516,1342
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00025516,1149
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00025516,2326
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00025516,47
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00025516,701
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00025516,1251
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00025516,2108
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00025516,612
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00025516,957
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00025516,1352
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00025516,547
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00025516,2200
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00025516,220
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00025516,236
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00025516,1623
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00025516,1146
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00025516,721
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00025516,1527
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00025516,1123
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00025516,1257
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00025516,814
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00025516,1257
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00025516,2234
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00025516,1129
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00025516,1430
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00025516,2224
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00025516,643
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00025516,1345
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00025516,1823
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00025516,1856
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00025516,2134
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00025516,808
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00025516,1741
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00025516,1307
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00025516,1535
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00025516,846
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00025516,503
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00025516,1221
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00025516,904
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00025516,2216
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00025516,225
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00025516,728
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00025516,1348
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00025516,1614
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00025516,422
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00025516,1800
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00025516,1239
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00025516,1320
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00025516,504
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00025516,2113
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00025516,1632
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00025516,1326
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00025516,402
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00025516,2327
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00025516,1125
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00025516,433
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00025516,2042
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00025516,2116
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00025516,1335
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00025516,2056
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00025516,217
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00025516,1452
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00025516,1101
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00025516,1824
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00025516,1311
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00025516,1453
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00025516,2005
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00025516,1621
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00025516,1252
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00025516,1600
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00025516,1456
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00025516,1500
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00025516,1430
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00025516,1429
74,",,W,",PGTM,2016-03-15T00:00:00,GHCND:USW00025516,1659
75,",,W,",PGTM,2016-03-16T00:00:00,GHCND:USW00025516,1408
76,",,W,",PGTM,2016-03-17T00:00:00,GHCND:USW00025516,2218
77,",,W,",PGTM,2016-03-18T00:00:00,GHCND:USW00025516,1448
78,",,W,",PGTM,2016-03-19T00:00:00,GHCND:USW00025516,1151
79,",,W,",PGTM,2016-03-20T00:00:00,GHCND:USW00025516,247
80,",,W,",PGTM,2016-03-21T00:00:00,GHCND:USW00025516,1804
81,",,W,",PGTM,2016-03-22T00:00:00,GHCND:USW00025516,1603
82,",,W,",PGTM,2016-03-23T00:00:00,GHCND:USW00025516,23
83,",,W,",PGTM,2016-03-24T00:00:00,GHCND:USW00025516,1537
84,",,W,",PGTM,2016-03-25T00:00:00,GHCND:USW00025516,1
85,",,W,",PGTM,2016-03-26T00:00:00,GHCND:USW00025516,1434
86,",,W,",PGTM,2016-03-27T00:00:00,GHCND:USW00025516,458
87,",,W,",PGTM,2016-03-28T00:00:00,GHCND:USW00025516,8
88,",,W,",PGTM,2016-03-29T00:00:00,GHCND:USW00025516,238
89,",,W,",PGTM,2016-03-30T00:00:00,GHCND:USW00025516,1631
90,",,W,",PGTM,2016-03-31T00:00:00,GHCND:USW00025516,1453
91,",,W,",PGTM,2016-04-01T00:00:00,GHCND:USW00025516,1732
92,",,W,",PGTM,2016-04-02T00:00:00,GHCND:USW00025516,1935
93,",,W,",PGTM,2016-04-03T00:00:00,GHCND:USW00025516,1427
94,",,W,",PGTM,2016-04-04T00:00:00,GHCND:USW00025516,1151
95,",,W,",PGTM,2016-04-05T00:00:00,GHCND:USW00025516,1231
96,",,W,",PGTM,2016-04-06T00:00:00,GHCND:USW00025516,1141
97,",,W,",PGTM,2016-04-07T00:00:00,GHCND:USW00025516,1454
98,",,W,",PGTM,2016-04-08T00:00:00,GHCND:USW00025516,1409
99,",,W,",PGTM,2016-04-09T00:00:00,GHCND:USW00025516,1827
100,",,W,",PGTM,2016-04-10T00:00:00,GHCND:USW00025516,1108
101,",,W,",PGTM,2016-04-11T00:00:00,GHCND:USW00025516,1712
102,",,W,",PGTM,2016-04-12T00:00:00,GHCND:USW00025516,1433
103,",,W,",PGTM,2016-04-13T00:00:00,GHCND:USW00025516,1338
104,",,W,",PGTM,2016-04-14T00:00:00,GHCND:USW00025516,1333
105,",,W,",PGTM,2016-04-15T00:00:00,GHCND:USW00025516,2330
106,",,W,",PGTM,2016-04-16T00:00:00,GHCND:USW00025516,1039
107,",,W,",PGTM,2016-04-17T00:00:00,GHCND:USW00025516,1432
108,",,W,",PGTM,2016-04-18T00:00:00,GHCND:USW00025516,1332
109,",,W,",PGTM,2016-04-19T00:00:00,GHCND:USW00025516,1137
110,",,W,",PGTM,2016-04-20T00:00:00,GHCND:USW00025516,1723
111,",,W,",PGTM,2016-04-21T00:00:00,GHCND:USW00025516,1315
112,",,W,",PGTM,2016-04-22T00:00:00,GHCND:USW00025516,1807
113,",,W,",PGTM,2016-04-23T00:00:00,GHCND:USW00025516,2002
114,",,W,",PGTM,2016-04-24T00:00:00,GHCND:USW00025516,2350
115,",,W,",PGTM,2016-04-25T00:00:00,GHCND:USW00025516,44
116,",,W,",PGTM,2016-04-26T00:00:00,GHCND:USW00025516,1910
117,",,W,",PGTM,2016-04-27T00:00:00,GHCND:USW00025516,1305
118,",,W,",PGTM,2016-04-28T00:00:00,GHCND:USW00025516,1618
119,",,W,",PGTM,2016-04-29T00:00:00,GHCND:USW00025516,2259
120,",,W,",PGTM,2016-04-30T00:00:00,GHCND:USW00025516,1241
121,",,W,",PGTM,2016-05-01T00:00:00,GHCND:USW00025516,1326
122,",,W,",PGTM,2016-05-02T00:00:00,GHCND:USW00025516,1520
123,",,W,",PGTM,2016-05-03T00:00:00,GHCND:USW00025516,1658
124,",,W,",PGTM,2016-05-04T00:00:00,GHCND:USW00025516,1437
125,",,W,",PGTM,2016-05-05T00:00:00,GHCND:USW00025516,1935
126,",,W,",PGTM,2016-05-06T00:00:00,GHCND:USW00025516,1546
127,",,W,",PGTM,2016-05-07T00:00:00,GHCND:USW00025516,2005
128,",,W,",PGTM,2016-05-08T00:00:00,GHCND:USW00025516,1433
129,",,W,",PGTM,2016-05-09T00:00:00,GHCND:USW00025516,2043
130,",,W,",PGTM,2016-05-10T00:00:00,GHCND:USW00025516,1254
131,",,W,",PGTM,2016-05-11T00:00:00,GHCND:USW00025516,1440
132,",,W,",PGTM,2016-05-12T00:00:00,GHCND:USW00025516,1136
133,",,W,",PGTM,2016-05-13T00:00:00,GHCND:USW00025516,1742
134,",,W,",PGTM,2016-05-14T00:00:00,GHCND:USW00025516,1136
135,",,W,",PGTM,2016-05-15T00:00:00,GHCND:USW00025516,1332
136,",,W,",PGTM,2016-05-16T00:00:00,GHCND:USW00025516,758
137,",,W,",PGTM,2016-05-17T00:00:00,GHCND:USW00025516,2359
138,",,W,",PGTM,2016-05-18T00:00:00,GHCND:USW00025516,908
139,",,W,",PGTM,2016-05-19T00:00:00,GHCND:USW00025516,2156
140,",,W,",PGTM,2016-05-20T00:00:00,GHCND:USW00025516,1720
141,",,W,",PGTM,2016-05-21T00:00:00,GHCND:USW00025516,1927
142,",,W,",PGTM,2016-05-22T00:00:00,GHCND:USW00025516,1728
143,",,W,",PGTM,2016-05-23T00:00:00,GHCND:USW00025516,608
144,",,W,",PGTM,2016-05-24T00:00:00,GHCND:USW00025516,1511
145,",,W,",PGTM,2016-05-25T00:00:00,GHCND:USW00025516,1648
146,",,W,",PGTM,2016-05-26T00:00:00,GHCND:USW00025516,1126
147,",,W,",PGTM,2016-05-27T00:00:00,GHCND:USW00025516,1558
148,",,W,",PGTM,2016-05-28T00:00:00,GHCND:USW00025516,1316
149,",,W,",PGTM,2016-05-29T00:00:00,GHCND:USW00025516,1926
150,",,W,",PGTM,2016-05-30T00:00:00,GHCND:USW00025516,1241
151,",,W,",PGTM,2016-05-31T00:00:00,GHCND:USW00025516,1515
152,",,W,",PGTM,2016-06-01T00:00:00,GHCND:USW00025516,1408
153,",,W,",PGTM,2016-06-02T00:00:00,GHCND:USW00025516,1036
154,",,W,",PGTM,2016-06-03T00:00:00,GHCND:USW00025516,1819
155,",,W,",PGTM,2016-06-04T00:00:00,GHCND:USW00025516,1208
156,",,W,",PGTM,2016-06-05T00:00:00,GHCND:USW00025516,1044
157,",,W,",PGTM,2016-06-06T00:00:00,GHCND:USW00025516,1109
158,",,W,",PGTM,2016-06-07T00:00:00,GHCND:USW00025516,1908
159,",,W,",PGTM,2016-06-08T00:00:00,GHCND:USW00025516,1439
160,",,W,",PGTM,2016-06-09T00:00:00,GHCND:USW00025516,2324
161,",,W,",PGTM,2016-06-10T00:00:00,GHCND:USW00025516,5
162,",,W,",PGTM,2016-06-11T00:00:00,GHCND:USW00025516,1859
163,",,W,",PGTM,2016-06-12T00:00:00,GHCND:USW00025516,1217
164,",,W,",PGTM,2016-06-13T00:00:00,GHCND:USW00025516,1025
165,",,W,",PGTM,2016-06-14T00:00:00,GHCND:USW00025516,1040
166,",,W,",PGTM,2016-06-15T00:00:00,GHCND:USW00025516,1143
167,",,W,",PGTM,2016-06-16T00:00:00,GHCND:USW00025516,2308
168,",,W,",PGTM,2016-06-17T00:00:00,GHCND:USW00025516,1212
169,",,W,",PGTM,2016-06-18T00:00:00,GHCND:USW00025516,1230
