,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00025516,17.0
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00025516,23.0
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00025516,17.0
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00025516,21.0
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00025516,19.9
5,",,W,",WSF2,2016-01-06T00:00:00,GHCND:USW00025516,8.9
6,",,W,",WSF2,2016-01-07T00:00:00,GHCND:USW00025516,6.9
7,",,W,",WSF2,2016-01-08T00:00:00,GHCND:USW00025516,17.0
8,",,W,",WSF2,2016-01-09T00:00:00,GHCND:USW00025516,18.1
9,",,W,",WSF2,2016-01-10T00:00:00,GHCND:USW00025516,21.9
10,",,W,",WSF2,2016-01-11T00:00:00,GHCND:USW00025516,6.0
11,",,W,",WSF2,2016-01-12T00:00:00,GHCND:USW00025516,8.9
12,",,W,",WSF2,2016-01-13T00:00:00,GHCND:USW00025516,12.1
13,",,W,",WSF2,2016-01-14T00:00:00,GHCND:USW00025516,8.1
14,",,W,",WSF2,2016-01-15T00:00:00,GHCND:USW00025516,12.1
15,",,W,",WSF2,2016-01-16T00:00:00,GHCND:USW00025516,10.1
16,",,W,",WSF2,2016-01-17T00:00:00,GHCND:USW00025516,8.1
17,",,W,",WSF2,2016-01-18T00:00:00,GHCND:USW00025516,6.0
18,",,W,",WSF2,2016-01-19T00:00:00,GHCND:USW00025516,4.9
19,",,W,",WSF2,2016-01-20T00:00:00,GHCND:USW00025516,8.9
20,",,W,",WSF2,2016-01-21T00:00:00,GHCND:USW00025516,12.1
21,",,W,",WSF2,2016-01-22T00:00:00,GHCND:USW00025516,4.9
22,",,W,",WSF2,2016-01-23T00:00:00,GHCND:USW00025516,8.9
23,",,W,",WSF2,2016-01-24T00:00:00,GHCND:USW00025516,8.9
24,",,W,",WSF2,2016-01-25T00:00:00,GHCND:USW00025516,13.0
25,",,W,",WSF2,2016-01-26T00:00:00,GHCND:USW00025516,15.0
26,",,W,",WSF2,2016-01-27T00:00:00,GHCND:USW00025516,21.9
27,",,W,",WSF2,2016-01-28T00:00:00,GHCND:USW00025516,8.9
28,",,W,",WSF2,2016-01-29T00:00:00,GHCND:USW00025516,8.1
29,",,W,",WSF2,2016-01-30T00:00:00,GHCND:USW00025516,8.9
30,",,W,",WSF2,2016-01-31T00:00:00,GHCND:USW00025516,6.9
31,",,W,",WSF2,2016-02-01T00:00:00,GHCND:USW00025516,16.1
32,",,W,",WSF2,2016-02-02T00:00:00,GHCND:USW00025516,15.0
33,",,W,",WSF2,2016-02-03T00:00:00,GHCND:USW00025516,17.0
34,",,W,",WSF2,2016-02-04T00:00:00,GHCND:USW00025516,16.1
35,",,W,",WSF2,2016-02-05T00:00:00,GHCND:USW00025516,10.1
36,",,W,",WSF2,2016-02-06T00:00:00,GHCND:USW00025516,6.9
37,",,W,",WSF2,2016-02-07T00:00:00,GHCND:USW00025516,16.1
38,",,W,",WSF2,2016-02-08T00:00:00,GHCND:USW00025516,10.1
39,",,W,",WSF2,2016-02-09T00:00:00,GHCND:USW00025516,17.0
40,",,W,",WSF2,2016-02-10T00:00:00,GHCND:USW00025516,17.0
41,",,W,",WSF2,2016-02-11T00:00:00,GHCND:USW00025516,8.1
42,",,W,",WSF2,2016-02-12T00:00:00,GHCND:USW00025516,10.1
43,",,W,",WSF2,2016-02-13T00:00:00,GHCND:USW00025516,12.1
44,",,W,",WSF2,2016-02-14T00:00:00,GHCND:USW00025516,12.1
45,",,W,",WSF2,2016-02-15T00:00:00,GHCND:USW00025516,4.9
46,",,W,",WSF2,2016-02-16T00:00:00,GHCND:USW00025516,6.9
47,",,W,",WSF2,2016-02-17T00:00:00,GHCND:USW00025516,8.9
48,",,W,",WSF2,2016-02-18T00:00:00,GHCND:USW00025516,6.9
49,",,W,",WSF2,2016-02-19T00:00:00,GHCND:USW00025516,17.0
50,",,W,",WSF2,2016-02-20T00:00:00,GHCND:USW00025516,15.0
51,",,W,",WSF2,2016-02-21T00:00:00,GHCND:USW00025516,15.0
52,",,W,",WSF2,2016-02-22T00:00:00,GHCND:USW00025516,14.1
53,",,W,",WSF2,2016-02-23T00:00:00,GHCND:USW00025516,19.9
54,",,W,",WSF2,2016-02-24T00:00:00,GHCND:USW00025516,23.0
55,",,W,",WSF2,2016-02-25T00:00:00,GHCND:USW00025516,12.1
56,",,W,",WSF2,2016-02-26T00:00:00,GHCND:USW00025516,15.0
57,",,W,",WSF2,2016-02-27T00:00:00,GHCND:USW00025516,21.0
58,",,W,",WSF2,2016-02-28T00:00:00,GHCND:USW00025516,25.1
59,",,W,",WSF2,2016-02-29T00:00:00,GHCND:USW00025516,15.0
60,",,W,",WSF2,2016-03-01T00:00:00,GHCND:USW00025516,21.0
61,",,W,",WSF2,2016-03-02T00:00:00,GHCND:USW00025516,6.0
62,",,W,",WSF2,2016-03-03T00:00:00,GHCND:USW00025516,10.1
63,",,W,",WSF2,2016-03-04T00:00:00,GHCND:USW00025516,10.1
64,",,W,",WSF2,2016-03-05T00:00:00,GHCND:USW00025516,6.0
65,",,W,",WSF2,2016-03-06T00:00:00,GHCND:USW00025516,6.0
66,",,W,",WSF2,2016-03-07T00:00:00,GHCND:USW00025516,12.1
67,",,W,",WSF2,2016-03-08T00:00:00,GHCND:USW00025516,10.1
68,",,W,",WSF2,2016-03-09T00:00:00,GHCND:USW00025516,6.9
69,",,W,",WSF2,2016-03-10T00:00:00,GHCND:USW00025516,10.1
70,",,W,",WSF2,2016-03-11T00:00:00,GHCND:USW00025516,15.0
71,",,W,",WSF2,2016-03-12T00:00:00,GHCND:USW00025516,6.9
72,",,W,",WSF2,2016-03-13T00:00:00,GHCND:USW00025516,8.1
73,",,W,",WSF2,2016-03-14T00:00:00,GHCND:USW00025516,6.9
74,",,W,",WSF2,2016-03-15T00:00:00,GHCND:USW00025516,4.9
75,",,W,",WSF2,2016-03-16T00:00:00,GHCND:USW00025516,8.9
76,",,W,",WSF2,2016-03-17T00:00:00,GHCND:USW00025516,10.1
77,",,W,",WSF2,2016-03-18T00:00:00,GHCND:USW00025516,13.0
78,",,W,",WSF2,2016-03-19T00:00:00,GHCND:USW00025516,8.9
79,",,W,",WSF2,2016-03-20T00:00:00,GHCND:USW00025516,8.9
80,",,W,",WSF2,2016-03-21T00:00:00,GHCND:USW00025516,10.1
81,",,W,",WSF2,2016-03-22T00:00:00,GHCND:USW00025516,10.1
82,",,W,",WSF2,2016-03-23T00:00:00,GHCND:USW00025516,12.1
83,",,W,",WSF2,2016-03-24T00:00:00,GHCND:USW00025516,14.1
84,",,W,",WSF2,2016-03-25T00:00:00,GHCND:USW00025516,6.9
85,",,W,",WSF2,2016-03-26T00:00:00,GHCND:USW00025516,6.9
86,",,W,",WSF2,2016-03-27T00:00:00,GHCND:USW00025516,14.1
87,",,W,",WSF2,2016-03-28T00:00:00,GHCND:USW00025516,10.1
88,",,W,",WSF2,2016-03-29T00:00:00,GHCND:USW00025516,8.1
89,",,W,",WSF2,2016-03-30T00:00:00,GHCND:USW00025516,13.0
90,",,W,",WSF2,2016-03-31T00:00:00,GHCND:USW00025516,15.0
91,",,W,",WSF2,2016-04-01T00:00:00,GHCND:USW00025516,18.1
92,",,W,",WSF2,2016-04-02T00:00:00,GHCND:USW00025516,13.0
93,",,W,",WSF2,2016-04-03T00:00:00,GHCND:USW00025516,10.1
