,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00053144,8.9
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00053144,8.9
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00053144,14.1
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00053144,8.9
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00053144,25.1
5,",,W,",WSF2,2016-02-06T00:00:00,GHCND:USW00053144,10.1
6,",,W,",WSF2,2016-02-08T00:00:00,GHCND:USW00053144,21.9
7,",,W,",WSF2,2016-02-09T00:00:00,GHCND:USW00053144,10.1
8,",,W,",WSF2,2016-02-10T00:00:00,GHCND:USW00053144,8.1
9,",,W,",WSF2,2016-02-11T00:00:00,GHCND:USW00053144,8.9
10,",,W,",WSF2,2016-02-12T00:00:00,GHCND:USW00053144,6.9
11,",,W,",WSF2,2016-02-13T00:00:00,GHCND:USW00053144,14.1
12,",,W,",WSF2,2016-02-14T00:00:00,GHCND:USW00053144,16.1
13,",,W,",WSF2,2016-02-15T00:00:00,GHCND:USW00053144,13.0
14,",,W,",WSF2,2016-02-16T00:00:00,GHCND:USW00053144,6.9
15,",,W,",WSF2,2016-02-17T00:00:00,GHCND:USW00053144,30.0
16,",,W,",WSF2,2016-02-18T00:00:00,GHCND:USW00053144,23.9
17,",,W,",WSF2,2016-02-19T00:00:00,GHCND:USW00053144,18.1
18,",,W,",WSF2,2016-02-20T00:00:00,GHCND:USW00053144,6.0
19,",,W,",WSF2,2016-02-21T00:00:00,GHCND:USW00053144,18.1
20,",,W,",WSF2,2016-02-22T00:00:00,GHCND:USW00053144,16.1
21,",,W,",WSF2,2016-02-23T00:00:00,GHCND:USW00053144,14.1
22,",,W,",WSF2,2016-02-24T00:00:00,GHCND:USW00053144,10.1
23,",,W,",WSF2,2016-02-25T00:00:00,GHCND:USW00053144,10.1
24,",,W,",WSF2,2016-02-26T00:00:00,GHCND:USW00053144,14.1
25,",,W,",WSF2,2016-02-27T00:00:00,GHCND:USW00053144,25.1
26,",,W,",WSF2,2016-02-28T00:00:00,GHCND:USW00053144,16.1
27,",,W,",WSF2,2016-02-29T00:00:00,GHCND:USW00053144,23.0
28,",,W,",WSF2,2016-03-01T00:00:00,GHCND:USW00053144,21.0
29,",,W,",WSF2,2016-03-02T00:00:00,GHCND:USW00053144,21.9
30,",,W,",WSF2,2016-03-03T00:00:00,GHCND:USW00053144,23.0
31,",,W,",WSF2,2016-03-04T00:00:00,GHCND:USW00053144,23.0
32,",,W,",WSF2,2016-03-05T00:00:00,GHCND:USW00053144,31.1
33,",,W,",WSF2,2016-03-06T00:00:00,GHCND:USW00053144,35.1
34,",,W,",WSF2,2016-03-07T00:00:00,GHCND:USW00053144,25.1
35,",,W,",WSF2,2016-03-08T00:00:00,GHCND:USW00053144,25.1
36,",,W,",WSF2,2016-03-09T00:00:00,GHCND:USW00053144,14.1
37,",,W,",WSF2,2016-03-11T00:00:00,GHCND:USW00053144,35.1
38,",,W,",WSF2,2016-03-12T00:00:00,GHCND:USW00053144,38.0
39,",,W,",WSF2,2016-03-13T00:00:00,GHCND:USW00053144,30.0
40,",,W,",WSF2,2016-03-14T00:00:00,GHCND:USW00053144,38.0
41,",,W,",WSF2,2016-03-15T00:00:00,GHCND:USW00053144,16.1
42,",,W,",WSF2,2016-03-16T00:00:00,GHCND:USW00053144,14.1
43,",,W,",WSF2,2016-03-17T00:00:00,GHCND:USW00053144,21.0
44,",,W,",WSF2,2016-03-18T00:00:00,GHCND:USW00053144,17.0
45,",,W,",WSF2,2016-03-19T00:00:00,GHCND:USW00053144,21.9
46,",,W,",WSF2,2016-03-20T00:00:00,GHCND:USW00053144,25.1
47,",,W,",WSF2,2016-03-21T00:00:00,GHCND:USW00053144,28.0
48,",,W,",WSF2,2016-03-22T00:00:00,GHCND:USW00053144,40.9
49,",,W,",WSF2,2016-03-23T00:00:00,GHCND:USW00053144,15.0
50,",,W,",WSF2,2016-03-24T00:00:00,GHCND:USW00053144,21.9
51,",,W,",WSF2,2016-03-25T00:00:00,GHCND:USW00053144,23.9
52,",,W,",WSF2,2016-03-26T00:00:00,GHCND:USW00053144,15.0
53,",,W,",WSF2,2016-03-27T00:00:00,GHCND:USW00053144,23.0
54,",,W,",WSF2,2016-03-28T00:00:00,GHCND:USW00053144,36.0
55,",,W,",WSF2,2016-03-29T00:00:00,GHCND:USW00053144,28.0
56,",,W,",WSF2,2016-03-30T00:00:00,GHCND:USW00053144,18.1
57,",,W,",WSF2,2016-03-31T00:00:00,GHCND:USW00053144,25.1
58,",,W,",WSF2,2016-04-01T00:00:00,GHCND:USW00053144,17.0
59,",,W,",WSF2,2016-04-02T00:00:00,GHCND:USW00053144,18.1
60,",,W,",WSF2,2016-04-03T00:00:00,GHCND:USW00053144,18.1
61,",,W,",WSF2,2016-04-04T00:00:00,GHCND:USW00053144,21.0
62,",,W,",WSF2,2016-04-05T00:00:00,GHCND:USW00053144,14.1
63,",,W,",WSF2,2016-04-06T00:00:00,GHCND:USW00053144,21.0
64,",,W,",WSF2,2016-04-07T00:00:00,GHCND:USW00053144,16.1
65,",,W,",WSF2,2016-04-08T00:00:00,GHCND:USW00053144,13.0
66,",,W,",WSF2,2016-04-09T00:00:00,GHCND:USW00053144,21.9
67,",,W,",WSF2,2016-04-10T00:00:00,GHCND:USW00053144,28.0
68,",,W,",WSF2,2016-04-11T00:00:00,GHCND:USW00053144,21.9
69,",,W,",WSF2,2016-04-12T00:00:00,GHCND:USW00053144,25.1
70,",,W,",WSF2,2016-04-13T00:00:00,GHCND:USW00053144,33.1
71,",,W,",WSF2,2016-04-15T00:00:00,GHCND:USW00053144,42.9
72,",,W,",WSF2,2016-04-16T00:00:00,GHCND:USW00053144,23.9
73,",,W,",WSF2,2016-04-17T00:00:00,GHCND:USW00053144,23.9
74,",,W,",WSF2,2016-04-18T00:00:00,GHCND:USW00053144,23.0
75,",,W,",WSF2,2016-04-19T00:00:00,GHCND:USW00053144,25.1
76,",,W,",WSF2,2016-04-20T00:00:00,GHCND:USW00053144,21.9
77,",,W,",WSF2,2016-04-21T00:00:00,GHCND:USW00053144,25.9
78,",,W,",WSF2,2016-04-22T00:00:00,GHCND:USW00053144,36.0
79,",,W,",WSF2,2016-04-23T00:00:00,GHCND:USW00053144,36.9
80,",,W,",WSF2,2016-04-24T00:00:00,GHCND:USW00053144,32.0
81,",,W,",WSF2,2016-04-25T00:00:00,GHCND:USW00053144,42.9
82,",,W,",WSF2,2016-04-26T00:00:00,GHCND:USW00053144,28.0
83,",,W,",WSF2,2016-04-28T00:00:00,GHCND:USW00053144,32.0
84,",,W,",WSF2,2016-04-29T00:00:00,GHCND:USW00053144,36.9
85,",,W,",WSF2,2016-04-30T00:00:00,GHCND:USW00053144,33.1
86,",,W,",WSF2,2016-05-01T00:00:00,GHCND:USW00053144,19.9
87,",,W,",WSF2,2016-05-02T00:00:00,GHCND:USW00053144,17.0
88,",,W,",WSF2,2016-05-03T00:00:00,GHCND:USW00053144,19.9
89,",,W,",WSF2,2016-05-04T00:00:00,GHCND:USW00053144,29.1
90,",,W,",WSF2,2016-05-05T00:00:00,GHCND:USW00053144,33.1
91,",,W,",WSF2,2016-05-06T00:00:00,GHCND:USW00053144,31.1
92,",,W,",WSF2,2016-08-21T00:00:00,GHCND:USW00053144,29.1
93,",,W,",WSF2,2016-08-22T00:00:00,GHCND:USW00053144,25.9
94,",,W,",WSF2,2016-08-23T00:00:00,GHCND:USW00053144,23.9
95,",,W,",WSF2,2016-08-24T00:00:00,GHCND:USW00053144,23.9
96,",,W,",WSF2,2016-08-25T00:00:00,GHCND:USW00053144,25.9
97,",,W,",WSF2,2016-08-26T00:00:00,GHCND:USW00053144,21.9
98,",,W,",WSF2,2016-08-27T00:00:00,GHCND:USW00053144,19.9
99,",,W,",WSF2,2016-08-28T00:00:00,GHCND:USW00053144,18.1
100,",,W,",WSF2,2016-08-29T00:00:00,GHCND:USW00053144,16.1
101,",,W,",WSF2,2016-08-30T00:00:00,GHCND:USW00053144,23.0
102,",,W,",WSF2,2016-08-31T00:00:00,GHCND:USW00053144,31.1
103,",,W,",WSF2,2016-09-01T00:00:00,GHCND:USW00053144,25.1
104,",,W,",WSF2,2016-09-02T00:00:00,GHCND:USW00053144,29.1
105,",,W,",WSF2,2016-09-03T00:00:00,GHCND:USW00053144,29.1
106,",,W,",WSF2,2016-09-04T00:00:00,GHCND:USW00053144,29.1
107,",,W,",WSF2,2016-09-05T00:00:00,GHCND:USW00053144,19.9
108,",,W,",WSF2,2016-09-06T00:00:00,GHCND:USW00053144,13.0
109,",,W,",WSF2,2016-09-07T00:00:00,GHCND:USW00053144,25.9
110,",,W,",WSF2,2016-09-08T00:00:00,GHCND:USW00053144,21.9
111,",,W,",WSF2,2016-09-09T00:00:00,GHCND:USW00053144,21.9
112,",,W,",WSF2,2016-09-10T00:00:00,GHCND:USW00053144,21.0
113,",,W,",WSF2,2016-09-11T00:00:00,GHCND:USW00053144,25.9
114,",,W,",WSF2,2016-09-12T00:00:00,GHCND:USW00053144,32.0
115,",,W,",WSF2,2016-09-13T00:00:00,GHCND:USW00053144,31.1
116,",,W,",WSF2,2016-09-14T00:00:00,GHCND:USW00053144,12.1
117,",,W,",WSF2,2016-09-15T00:00:00,GHCND:USW00053144,13.0
118,",,W,",WSF2,2016-09-16T00:00:00,GHCND:USW00053144,14.1
119,",,W,",WSF2,2016-09-17T00:00:00,GHCND:USW00053144,13.0
120,",,W,",WSF2,2016-09-18T00:00:00,GHCND:USW00053144,12.1
121,",,W,",WSF2,2016-09-19T00:00:00,GHCND:USW00053144,31.1
122,",,W,",WSF2,2016-09-20T00:00:00,GHCND:USW00053144,18.1
123,",,W,",WSF2,2016-09-21T00:00:00,GHCND:USW00053144,21.9
124,",,W,",WSF2,2016-09-22T00:00:00,GHCND:USW00053144,44.1
125,",,W,",WSF2,2016-09-23T00:00:00,GHCND:USW00053144,16.1
126,",,W,",WSF2,2016-09-24T00:00:00,GHCND:USW00053144,12.1
127,",,W,",WSF2,2016-09-25T00:00:00,GHCND:USW00053144,21.9
128,",,W,",WSF2,2016-09-26T00:00:00,GHCND:USW00053144,13.0
