,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094971,280
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094971,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094971,340
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094971,170
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094971,170
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094971,190
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094971,170
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094971,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094971,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094971,330
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094971,320
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094971,320
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094971,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094971,340
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094971,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094971,350
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094971,310
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094971,280
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094971,160
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094971,180
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094971,20
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094971,340
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094971,190
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094971,220
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094971,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094971,330
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094971,240
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094971,330
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094971,180
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094971,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094971,290
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094971,30
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094971,20
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094971,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00094971,330
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094971,180
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094971,200
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094971,330
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094971,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094971,330
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094971,80
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094971,190
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094971,340
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094971,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094971,150
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094971,210
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094971,340
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094971,140
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094971,150
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094971,270
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00094971,300
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00094971,350
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00094971,60
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00094971,320
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00094971,310
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00094971,350
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00094971,290
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00094971,220
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00094971,320
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00094971,10
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00094971,360
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00094971,120
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00094971,360
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00094971,170
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00094971,330
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00094971,200
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00094971,170
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00094971,210
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00094971,300
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00094971,330
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00094971,190
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00094971,150
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00094971,150
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00094971,190
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00094971,330
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00094971,300
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00094971,290
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00094971,300
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00094971,350
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00094971,30
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00094971,180
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00094971,40
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00094971,40
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00094971,30
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00094971,170
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00094971,200
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00094971,330
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00094971,150
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00094971,150
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00094971,130
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00094971,340
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00094971,320
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00094971,330
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00094971,340
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00094971,350
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00094971,150
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00094971,330
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00094971,340
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00094971,330
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00094971,150
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00094971,340
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00094971,320
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00094971,170
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00094971,190
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00094971,180
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00094971,180
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00094971,150
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00094971,140
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00094971,170
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00094971,270
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00094971,60
111,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00094971,340
112,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00094971,360
113,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00094971,170
114,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00094971,270
115,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00094971,240
116,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00094971,50
117,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00094971,50
118,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00094971,50
119,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00094971,30
120,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00094971,50
121,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00094971,50
122,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00094971,300
123,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00094971,280
124,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00094971,340
125,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00094971,250
126,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00094971,240
127,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00094971,30
128,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00094971,140
129,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00094971,120
130,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00094971,110
131,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00094971,300
132,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00094971,290
133,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00094971,320
134,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00094971,310
135,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00094971,290
136,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00094971,60
137,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00094971,60
138,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00094971,50
139,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00094971,170
140,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00094971,180
141,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00094971,150
142,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00094971,170
