,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00093997,1405
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00093997,1521
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00093997,1316
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00093997,2250
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00093997,1411
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00093997,54
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00093997,2036
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00093997,2141
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00093997,1252
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00093997,1409
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00093997,1220
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00093997,2237
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00093997,2159
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00093997,1616
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00093997,133
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00093997,2355
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00093997,146
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00093997,1953
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00093997,432
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00093997,1253
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00093997,1659
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00093997,413
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00093997,2102
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00093997,2226
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00093997,1403
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00093997,403
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00093997,1646
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00093997,1320
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00093997,1342
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00093997,1256
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00093997,59
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00093997,1629
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00093997,2216
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00093997,115
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00093997,834
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00093997,2044
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00093997,2350
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00093997,1606
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00093997,1126
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00093997,1035
