,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00093997,260
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00093997,320
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00093997,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00093997,150
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00093997,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00093997,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00093997,360
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00093997,360
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00093997,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00093997,220
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00093997,340
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00093997,200
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00093997,200
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00093997,320
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00093997,320
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00093997,40
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00093997,30
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00093997,150
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00093997,100
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00093997,150
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00093997,350
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00093997,360
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00093997,110
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00093997,360
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00093997,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00093997,100
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00093997,310
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00093997,320
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00093997,350
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00093997,160
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00093997,350
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00093997,70
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00093997,330
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00093997,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00093997,250
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00093997,320
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00093997,230
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00093997,300
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00093997,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00093997,330
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00093997,310
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00093997,20
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00093997,30
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00093997,130
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00093997,350
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00093997,310
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00093997,330
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00093997,170
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00093997,210
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00093997,310
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00093997,320
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00093997,350
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00093997,160
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00093997,350
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00093997,330
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00093997,340
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00093997,230
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00093997,200
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00093997,330
