,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-04-22T00:00:00,GHCND:USC00391076,113.1
1,",,7,",WDMV,2016-04-23T00:00:00,GHCND:USC00391076,93.8
2,",,7,",WDMV,2016-04-24T00:00:00,GHCND:USC00391076,252.3
3,",,7,",WDMV,2016-04-25T00:00:00,GHCND:USC00391076,157.2
4,",,7,",WDMV,2016-04-26T00:00:00,GHCND:USC00391076,119.9
5,",,7,",WDMV,2016-04-27T00:00:00,GHCND:USC00391076,216.9
6,",,7,",WDMV,2016-04-28T00:00:00,GHCND:USC00391076,267.8
7,",,7,",WDMV,2016-04-29T00:00:00,GHCND:USC00391076,67.7
8,",,7,",WDMV,2016-04-30T00:00:00,GHCND:USC00391076,95.7
9,",,7,",WDMV,2016-05-01T00:00:00,GHCND:USC00391076,142.3
10,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00391076,72.7
11,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00391076,32.9
12,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00391076,133.0
13,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00391076,72.1
14,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00391076,106.9
15,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00391076,169.0
16,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00391076,55.9
17,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00391076,151.0
18,",,7,",WDMV,2016-05-10T00:00:00,GHCND:USC00391076,177.1
19,",,7,",WDMV,2016-05-11T00:00:00,GHCND:USC00391076,95.1
20,",,7,",WDMV,2016-05-12T00:00:00,GHCND:USC00391076,144.2
21,",,7,",WDMV,2016-05-13T00:00:00,GHCND:USC00391076,118.1
22,",,7,",WDMV,2016-05-14T00:00:00,GHCND:USC00391076,172.1
23,",,7,",WDMV,2016-05-15T00:00:00,GHCND:USC00391076,108.7
24,",,7,",WDMV,2016-05-16T00:00:00,GHCND:USC00391076,103.8
25,",,7,",WDMV,2016-05-17T00:00:00,GHCND:USC00391076,37.9
26,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00391076,47.8
27,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00391076,95.1
28,",,7,",WDMV,2016-05-20T00:00:00,GHCND:USC00391076,164.0
29,",,7,",WDMV,2016-05-21T00:00:00,GHCND:USC00391076,131.1
