,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024013,17.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024013,17.0
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024013,6.0
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024013,10.3
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024013,6.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024013,5.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024013,2.5
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024013,12.5
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024013,7.4
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024013,7.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024013,15.2
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024013,7.2
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024013,8.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024013,9.6
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024013,7.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024013,14.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024013,12.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024013,6.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024013,8.1
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024013,6.3
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024013,4.3
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024013,14.8
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024013,19.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024013,5.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024013,15.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024013,12.1
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024013,25.3
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024013,11.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024013,19.9
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024013,12.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024013,9.4
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024013,5.6
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024013,5.1
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024013,11.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024013,7.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024013,9.6
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024013,19.7
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024013,30.0
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024013,17.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024013,9.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024013,8.3
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024013,5.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024013,7.4
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00024013,13.0
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00024013,9.6
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00024013,6.9
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00024013,7.6
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00024013,9.8
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00024013,8.3
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00024013,19.7
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00024013,8.7
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00024013,8.1
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00024013,10.1
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00024013,12.1
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00024013,15.4
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00024013,7.4
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00024013,12.1
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00024013,8.1
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00024013,14.1
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00024013,8.5
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00024013,6.0
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00024013,7.6
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00024013,8.3
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00024013,17.2
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00024013,10.1
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00024013,10.5
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00024013,6.9
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00024013,15.0
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00024013,6.3
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00024013,10.5
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00024013,14.8
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00024013,11.2
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00024013,11.9
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00024013,15.2
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00024013,15.7
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00024013,15.9
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00024013,17.4
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00024013,13.4
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00024013,10.5
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00024013,7.6
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00024013,13.4
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00024013,14.3
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00024013,5.4
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00024013,11.9
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00024013,14.1
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00024013,8.9
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00024013,6.9
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00024013,12.1
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00024013,9.2
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00024013,8.7
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00024013,18.8
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00024013,13.6
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00024013,8.9
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00024013,11.9
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00024013,11.2
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00024013,15.2
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00024013,14.3
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00024013,18.3
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00024013,8.1
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00024013,21.0
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00024013,24.4
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00024013,7.4
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00024013,9.8
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00024013,12.5
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00024013,8.1
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00024013,13.9
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00024013,17.0
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00024013,13.4
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00024013,10.5
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00024013,6.5
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00024013,8.5
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00024013,10.5
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00024013,14.5
