,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024013,250
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024013,280
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024013,270
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024013,160
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024013,290
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024013,80
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024013,80
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024013,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024013,290
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024013,230
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024013,300
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024013,210
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024013,260
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024013,340
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024013,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024013,270
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024013,290
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024013,110
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024013,130
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024013,350
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024013,340
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024013,200
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024013,200
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00024013,30
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024013,310
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024013,200
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024013,260
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024013,290
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024013,270
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024013,230
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024013,270
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024013,320
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024013,350
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024013,280
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00024013,290
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00024013,260
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00024013,280
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00024013,310
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00024013,300
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00024013,210
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00024013,110
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00024013,330
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00024013,350
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00024013,130
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00024013,290
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00024013,230
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00024013,100
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00024013,180
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00024013,160
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00024013,250
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00024013,290
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00024013,20
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00024013,290
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00024013,290
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00024013,320
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00024013,330
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00024013,270
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00024013,20
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00024013,330
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00024013,360
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00024013,220
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00024013,40
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00024013,170
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00024013,290
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00024013,160
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00024013,270
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00024013,90
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00024013,320
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00024013,290
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00024013,190
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00024013,180
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00024013,100
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00024013,270
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00024013,280
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00024013,260
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00024013,280
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00024013,290
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00024013,300
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00024013,300
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00024013,150
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00024013,90
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00024013,90
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00024013,30
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00024013,220
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00024013,360
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00024013,210
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00024013,210
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00024013,90
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00024013,360
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00024013,290
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00024013,320
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00024013,280
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00024013,220
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00024013,270
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00024013,100
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00024013,320
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00024013,310
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00024013,320
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00024013,330
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00024013,300
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00024013,300
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00024013,300
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00024013,120
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00024013,130
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00024013,70
