,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00093822,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00093822,250
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00093822,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00093822,20
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00093822,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00093822,190
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00093822,150
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00093822,260
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00093822,310
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00093822,310
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00093822,270
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00093822,310
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00093822,200
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00093822,190
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00093822,290
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00093822,320
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00093822,300
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00093822,280
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00093822,130
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00093822,100
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00093822,50
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00093822,360
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00093822,340
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00093822,190
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00093822,250
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00093822,280
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00093822,190
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00093822,310
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00093822,180
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00093822,180
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00093822,200
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00093822,80
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00093822,120
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00093822,260
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00093822,280
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00093822,320
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00093822,200
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00093822,260
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00093822,310
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00093822,310
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00093822,250
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00093822,20
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00093822,310
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00093822,330
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00093822,120
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00093822,250
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00093822,320
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00093822,100
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00093822,160
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00093822,270
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00093822,360
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00093822,350
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00093822,40
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00093822,40
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00093822,330
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00093822,310
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00093822,310
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00093822,180
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00093822,260
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00093822,180
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00093822,270
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00093822,310
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00093822,350
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00093822,170
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00093822,330
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00093822,170
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00093822,180
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00093822,190
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00093822,190
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00093822,340
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00093822,70
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00093822,90
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00093822,270
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00093822,270
