,attributes,datatype,date,station,value
0,",,7,",WDFG,2016-01-01T00:00:00,GHCND:USC00464840,290
1,",,7,",WDFG,2016-01-02T00:00:00,GHCND:USC00464840,230
2,",,7,",WDFG,2016-01-03T00:00:00,GHCND:USC00464840,310
3,",,7,",WDFG,2016-01-04T00:00:00,GHCND:USC00464840,310
4,",,7,",WDFG,2016-01-05T00:00:00,GHCND:USC00464840,340
5,",,7,",WDFG,2016-01-06T00:00:00,GHCND:USC00464840,190
6,",,7,",WDFG,2016-01-07T00:00:00,GHCND:USC00464840,180
7,",,7,",WDFG,2016-01-08T00:00:00,GHCND:USC00464840,180
8,",,7,",WDFG,2016-01-09T00:00:00,GHCND:USC00464840,120
9,",,7,",WDFG,2016-01-10T00:00:00,GHCND:USC00464840,270
10,",,7,",WDFG,2016-01-11T00:00:00,GHCND:USC00464840,290
11,",,7,",WDFG,2016-01-12T00:00:00,GHCND:USC00464840,250
12,",,7,",WDFG,2016-01-13T00:00:00,GHCND:USC00464840,300
13,",,7,",WDFG,2016-01-14T00:00:00,GHCND:USC00464840,250
14,",,7,",WDFG,2016-01-15T00:00:00,GHCND:USC00464840,310
15,",,7,",WDFG,2016-01-16T00:00:00,GHCND:USC00464840,280
16,",,7,",WDFG,2016-01-17T00:00:00,GHCND:USC00464840,330
17,",,7,",WDFG,2016-01-18T00:00:00,GHCND:USC00464840,270
18,",,7,",WDFG,2016-01-19T00:00:00,GHCND:USC00464840,280
19,",,7,",WDFG,2016-01-20T00:00:00,GHCND:USC00464840,230
20,",,7,",WDFG,2016-01-21T00:00:00,GHCND:USC00464840,270
21,",,7,",WDFG,2016-01-22T00:00:00,GHCND:USC00464840,250
22,",,7,",WDFG,2016-01-23T00:00:00,GHCND:USC00464840,60
23,",,7,",WDFG,2016-01-24T00:00:00,GHCND:USC00464840,340
24,",,7,",WDFG,2016-01-25T00:00:00,GHCND:USC00464840,270
25,",,7,",WDFG,2016-01-26T00:00:00,GHCND:USC00464840,230
26,",,7,",WDFG,2016-01-27T00:00:00,GHCND:USC00464840,300
27,",,7,",WDFG,2016-01-28T00:00:00,GHCND:USC00464840,250
28,",,7,",WDFG,2016-01-29T00:00:00,GHCND:USC00464840,60
29,",,7,",WDFG,2016-01-30T00:00:00,GHCND:USC00464840,210
30,",,7,",WDFG,2016-01-31T00:00:00,GHCND:USC00464840,180
31,",,7,",WDFG,2016-02-01T00:00:00,GHCND:USC00464840,170
