,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00022010,40
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00022010,90
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00022010,290
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00022010,150
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00022010,120
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00022010,120
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00022010,310
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00022010,310
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00022010,320
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00022010,150
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00022010,170
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00022010,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00022010,140
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00022010,150
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00022010,10
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00022010,300
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00022010,140
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00022010,150
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00022010,130
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00022010,130
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00022010,300
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00022010,320
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00022010,150
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00022010,150
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00022010,360
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00022010,340
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00022010,310
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00022010,280
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00022010,150
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00022010,140
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00022010,300
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00022010,140
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00022010,340
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00022010,340
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00022010,160
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00022010,140
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00022010,290
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00022010,150
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00022010,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00022010,310
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00022010,140
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00022010,70
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00022010,140
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00022010,140
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00022010,110
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00022010,310
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00022010,60
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00022010,150
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00022010,130
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00022010,150
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00022010,140
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00022010,80
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00022010,290
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00022010,320
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00022010,300
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00022010,60
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00022010,150
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00022010,160
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00022010,160
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00022010,100
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00022010,280
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00022010,150
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00022010,330
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00022010,150
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00022010,110
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00022010,120
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00022010,120
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00022010,150
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00022010,290
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00022010,330
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00022010,300
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00022010,150
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00022010,290
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00022010,40
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00022010,330
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00022010,150
