,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00003950,19.0
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00003950,17.0
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00003950,21.9
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00003950,15.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00003950,19.9
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00003950,25.1
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00003950,32.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00003950,33.1
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00003950,33.1
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00003950,18.1
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00003950,18.1
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00003950,15.0
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00003950,19.0
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00003950,32.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00003950,27.1
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00003950,29.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00003950,38.0
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00003950,25.1
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00003950,29.1
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00003950,19.0
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00003950,35.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00003950,34.0
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00003950,21.9
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00003950,30.0
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00003950,28.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00003950,25.1
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00003950,19.0
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00003950,18.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00003950,34.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00003950,34.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00003950,29.1
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00003950,40.0
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00003950,33.1
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00003950,32.0
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00003950,21.0
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00003950,30.0
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00003950,25.1
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00003950,31.1
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00003950,46.1
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00003950,29.1
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00003950,25.1
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00003950,25.1
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00003950,21.9
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00003950,25.1
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00003950,25.1
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00003950,25.9
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00003950,32.0
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00003950,23.9
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00003950,40.0
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00003950,25.1
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00003950,17.0
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00003950,36.0
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00003950,29.1
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00003950,40.0
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00003950,28.0
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00003950,32.0
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00003950,23.0
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00003950,25.9
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00003950,25.1
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00003950,23.9
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00003950,46.1
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00003950,36.9
62,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00003950,38.9
63,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00003950,28.0
64,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00003950,23.0
65,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00003950,40.0
66,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00003950,38.0
67,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00003950,34.0
68,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00003950,19.9
69,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00003950,33.1
70,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00003950,25.1
71,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00003950,16.1
72,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00003950,23.0
73,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00003950,23.9
74,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00003950,34.0
75,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00003950,29.1
76,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00003950,30.0
77,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00003950,36.9
78,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00003950,30.0
79,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00003950,27.1
80,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00003950,34.0
81,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00003950,33.1
82,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00003950,31.1
83,",,W,",WSF5,2016-03-26T00:00:00,GHCND:USW00003950,42.9
84,",,W,",WSF5,2016-03-28T00:00:00,GHCND:USW00003950,25.9
85,",,W,",WSF5,2016-03-29T00:00:00,GHCND:USW00003950,38.9
86,",,W,",WSF5,2016-03-30T00:00:00,GHCND:USW00003950,25.9
87,",,W,",WSF5,2016-03-31T00:00:00,GHCND:USW00003950,31.1
88,",,W,",WSF5,2016-04-01T00:00:00,GHCND:USW00003950,25.1
89,",,W,",WSF5,2016-04-02T00:00:00,GHCND:USW00003950,19.9
90,",,W,",WSF5,2016-04-03T00:00:00,GHCND:USW00003950,32.0
91,",,W,",WSF5,2016-04-04T00:00:00,GHCND:USW00003950,21.9
92,",,W,",WSF5,2016-04-05T00:00:00,GHCND:USW00003950,38.0
93,",,W,",WSF5,2016-04-06T00:00:00,GHCND:USW00003950,40.0
94,",,W,",WSF5,2016-04-07T00:00:00,GHCND:USW00003950,32.0
95,",,W,",WSF5,2016-04-08T00:00:00,GHCND:USW00003950,16.1
96,",,W,",WSF5,2016-04-09T00:00:00,GHCND:USW00003950,35.1
97,",,W,",WSF5,2016-04-10T00:00:00,GHCND:USW00003950,45.0
98,",,W,",WSF5,2016-04-11T00:00:00,GHCND:USW00003950,35.1
99,",,W,",WSF5,2016-04-12T00:00:00,GHCND:USW00003950,19.0
100,",,W,",WSF5,2016-04-13T00:00:00,GHCND:USW00003950,15.0
101,",,W,",WSF5,2016-04-14T00:00:00,GHCND:USW00003950,16.1
102,",,W,",WSF5,2016-04-15T00:00:00,GHCND:USW00003950,31.1
103,",,W,",WSF5,2016-04-16T00:00:00,GHCND:USW00003950,40.0
104,",,W,",WSF5,2016-04-17T00:00:00,GHCND:USW00003950,25.1
105,",,W,",WSF5,2016-04-18T00:00:00,GHCND:USW00003950,25.9
