,attributes,datatype,date,station,value
0,",,T,",AWND,2016-01-01T00:00:00,GHCND:USS0015F04S,4.3
1,",,T,",AWND,2016-01-02T00:00:00,GHCND:USS0015F04S,4.0
2,",,T,",AWND,2016-01-03T00:00:00,GHCND:USS0015F04S,3.8
3,",,T,",AWND,2016-01-04T00:00:00,GHCND:USS0015F04S,2.9
4,",,T,",AWND,2016-01-05T00:00:00,GHCND:USS0015F04S,2.5
5,",,T,",AWND,2016-01-06T00:00:00,GHCND:USS0015F04S,1.6
6,",,T,",AWND,2016-01-07T00:00:00,GHCND:USS0015F04S,0.9
7,",,T,",AWND,2016-01-08T00:00:00,GHCND:USS0015F04S,1.3
8,",,T,",AWND,2016-01-09T00:00:00,GHCND:USS0015F04S,2.0
9,",,T,",AWND,2016-01-10T00:00:00,GHCND:USS0015F04S,3.1
10,",,T,",AWND,2016-01-11T00:00:00,GHCND:USS0015F04S,2.7
11,",,T,",AWND,2016-01-12T00:00:00,GHCND:USS0015F04S,2.5
12,",,T,",AWND,2016-01-13T00:00:00,GHCND:USS0015F04S,2.7
13,",,T,",AWND,2016-01-14T00:00:00,GHCND:USS0015F04S,2.2
14,",,T,",AWND,2016-01-15T00:00:00,GHCND:USS0015F04S,2.2
15,",,T,",AWND,2016-01-16T00:00:00,GHCND:USS0015F04S,3.4
16,",,T,",AWND,2016-01-17T00:00:00,GHCND:USS0015F04S,2.7
17,",,T,",AWND,2016-01-18T00:00:00,GHCND:USS0015F04S,2.5
18,",,T,",AWND,2016-01-19T00:00:00,GHCND:USS0015F04S,3.4
19,",,T,",AWND,2016-01-20T00:00:00,GHCND:USS0015F04S,3.1
20,",,T,",AWND,2016-01-22T00:00:00,GHCND:USS0015F04S,3.1
21,",,T,",AWND,2016-01-23T00:00:00,GHCND:USS0015F04S,2.0
22,",,T,",AWND,2016-01-24T00:00:00,GHCND:USS0015F04S,2.5
23,",,T,",AWND,2016-01-25T00:00:00,GHCND:USS0015F04S,2.9
24,",,T,",AWND,2016-01-26T00:00:00,GHCND:USS0015F04S,3.1
25,",,T,",AWND,2016-01-27T00:00:00,GHCND:USS0015F04S,2.0
26,",,T,",AWND,2016-01-28T00:00:00,GHCND:USS0015F04S,3.1
27,",,T,",AWND,2016-01-29T00:00:00,GHCND:USS0015F04S,3.1
28,",,T,",AWND,2016-01-30T00:00:00,GHCND:USS0015F04S,2.0
29,",,T,",AWND,2016-01-31T00:00:00,GHCND:USS0015F04S,1.8
30,",,T,",AWND,2016-02-01T00:00:00,GHCND:USS0015F04S,2.7
31,",,T,",AWND,2016-02-02T00:00:00,GHCND:USS0015F04S,2.9
32,",,T,",AWND,2016-02-03T00:00:00,GHCND:USS0015F04S,2.9
33,",,T,",AWND,2016-02-04T00:00:00,GHCND:USS0015F04S,2.5
34,",,T,",AWND,2016-02-05T00:00:00,GHCND:USS0015F04S,2.0
