,attributes,datatype,date,station,value
0,",,T,",TMAX,2016-01-01T00:00:00,GHCND:USS0015F04S,29.0
1,",,T,",TMAX,2016-01-02T00:00:00,GHCND:USS0015F04S,27.0
2,",,T,",TMAX,2016-01-03T00:00:00,GHCND:USS0015F04S,35.0
3,",,T,",TMAX,2016-01-04T00:00:00,GHCND:USS0015F04S,38.0
4,",,T,",TMAX,2016-01-05T00:00:00,GHCND:USS0015F04S,32.0
5,",,T,",TMAX,2016-01-06T00:00:00,GHCND:USS0015F04S,33.0
6,",,T,",TMAX,2016-01-07T00:00:00,GHCND:USS0015F04S,31.0
7,",,T,",TMAX,2016-01-08T00:00:00,GHCND:USS0015F04S,37.0
8,",,T,",TMAX,2016-01-09T00:00:00,GHCND:USS0015F04S,28.0
9,",,T,",TMAX,2016-01-10T00:00:00,GHCND:USS0015F04S,31.0
10,",,T,",TMAX,2016-01-11T00:00:00,GHCND:USS0015F04S,34.0
11,",,T,",TMAX,2016-01-12T00:00:00,GHCND:USS0015F04S,33.0
12,",,T,",TMAX,2016-01-13T00:00:00,GHCND:USS0015F04S,35.0
13,",,T,",TMAX,2016-01-14T00:00:00,GHCND:USS0015F04S,30.0
14,",,T,",TMAX,2016-01-15T00:00:00,GHCND:USS0015F04S,29.0
15,",,T,",TMAX,2016-01-16T00:00:00,GHCND:USS0015F04S,32.0
16,",,T,",TMAX,2016-01-17T00:00:00,GHCND:USS0015F04S,32.0
17,",,T,",TMAX,2016-01-18T00:00:00,GHCND:USS0015F04S,35.0
18,",,T,",TMAX,2016-01-19T00:00:00,GHCND:USS0015F04S,29.0
19,",,T,",TMAX,2016-01-20T00:00:00,GHCND:USS0015F04S,29.0
20,",,T,",TMAX,2016-01-21T00:00:00,GHCND:USS0015F04S,36.0
21,",,T,",TMAX,2016-01-22T00:00:00,GHCND:USS0015F04S,37.0
22,",,T,",TMAX,2016-01-23T00:00:00,GHCND:USS0015F04S,30.0
23,",,T,",TMAX,2016-01-24T00:00:00,GHCND:USS0015F04S,29.0
24,",,T,",TMAX,2016-01-25T00:00:00,GHCND:USS0015F04S,31.0
25,",,T,",TMAX,2016-01-26T00:00:00,GHCND:USS0015F04S,38.0
26,",,T,",TMAX,2016-01-27T00:00:00,GHCND:USS0015F04S,51.0
