,attributes,datatype,date,station,value
0,",,T,",TMIN,2016-01-01T00:00:00,GHCND:USS0015F04S,15.0
1,",,T,",TMIN,2016-01-02T00:00:00,GHCND:USS0015F04S,14.0
2,",,T,",TMIN,2016-01-03T00:00:00,GHCND:USS0015F04S,20.0
3,",,T,",TMIN,2016-01-04T00:00:00,GHCND:USS0015F04S,28.0
4,",,T,",TMIN,2016-01-05T00:00:00,GHCND:USS0015F04S,28.0
5,",,T,",TMIN,2016-01-06T00:00:00,GHCND:USS0015F04S,27.0
6,",,T,",TMIN,2016-01-07T00:00:00,GHCND:USS0015F04S,23.0
7,",,T,",TMIN,2016-01-08T00:00:00,GHCND:USS0015F04S,18.0
8,",,T,",TMIN,2016-01-09T00:00:00,GHCND:USS0015F04S,13.0
9,",,T,",TMIN,2016-01-10T00:00:00,GHCND:USS0015F04S,12.0
10,",,T,",TMIN,2016-01-11T00:00:00,GHCND:USS0015F04S,18.0
11,",,T,",TMIN,2016-01-12T00:00:00,GHCND:USS0015F04S,23.0
12,",,T,",TMIN,2016-01-13T00:00:00,GHCND:USS0015F04S,23.0
13,",,T,",TMIN,2016-01-14T00:00:00,GHCND:USS0015F04S,15.0
14,",,T,",TMIN,2016-01-15T00:00:00,GHCND:USS0015F04S,18.0
15,",,T,",TMIN,2016-01-16T00:00:00,GHCND:USS0015F04S,17.0
16,",,T,",TMIN,2016-01-17T00:00:00,GHCND:USS0015F04S,20.0
17,",,T,",TMIN,2016-01-18T00:00:00,GHCND:USS0015F04S,21.0
18,",,T,",TMIN,2016-01-19T00:00:00,GHCND:USS0015F04S,21.0
19,",,T,",TMIN,2016-01-20T00:00:00,GHCND:USS0015F04S,18.0
20,",,T,",TMIN,2016-01-21T00:00:00,GHCND:USS0015F04S,21.0
21,",,T,",TMIN,2016-01-22T00:00:00,GHCND:USS0015F04S,28.0
22,",,T,",TMIN,2016-01-23T00:00:00,GHCND:USS0015F04S,25.0
23,",,T,",TMIN,2016-01-24T00:00:00,GHCND:USS0015F04S,16.0
24,",,T,",TMIN,2016-01-25T00:00:00,GHCND:USS0015F04S,14.0
25,",,T,",TMIN,2016-01-26T00:00:00,GHCND:USS0015F04S,19.0
26,",,T,",TMIN,2016-01-27T00:00:00,GHCND:USS0015F04S,28.0
27,",,T,",TMIN,2016-01-28T00:00:00,GHCND:USS0015F04S,26.0
28,",,T,",TMIN,2016-01-29T00:00:00,GHCND:USS0015F04S,22.0
29,",,T,",TMIN,2016-01-30T00:00:00,GHCND:USS0015F04S,16.0
30,",,T,",TMIN,2016-01-31T00:00:00,GHCND:USS0015F04S,9.0
31,",,T,",TMIN,2016-02-01T00:00:00,GHCND:USS0015F04S,7.0
32,",,T,",TMIN,2016-02-02T00:00:00,GHCND:USS0015F04S,6.0
33,",,T,",TMIN,2016-02-03T00:00:00,GHCND:USS0015F04S,10.0
