,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00024057,360
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00024057,100
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00024057,20
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00024057,10
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00024057,220
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00024057,220
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00024057,10
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00024057,120
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00024057,240
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00024057,230
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00024057,250
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00024057,250
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00024057,240
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00024057,250
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00024057,270
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00024057,240
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00024057,250
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00024057,240
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00024057,210
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00024057,240
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00024057,250
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00024057,260
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00024057,200
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00024057,240
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00024057,250
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00024057,250
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00024057,230
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00024057,240
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00024057,210
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00024057,210
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00024057,270
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00024057,50
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00024057,50
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00024057,240
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00024057,240
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00024057,250
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00024057,240
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00024057,260
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00024057,240
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00024057,240
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00024057,240
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00024057,240
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00024057,240
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00024057,240
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00024057,270
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00024057,250
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00024057,250
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00024057,210
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00024057,200
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00024057,250
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00024057,260
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00024057,240
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00024057,240
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00024057,30
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00024057,240
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00024057,250
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00024057,230
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00024057,270
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00024057,240
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00024057,270
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00024057,230
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00024057,280
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00024057,230
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00024057,240
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00024057,230
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00024057,210
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00024057,250
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00024057,250
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00024057,240
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00024057,240
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00024057,210
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00024057,230
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00024057,230
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00024057,250
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00024057,280
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00024057,270
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00024057,280
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00024057,330
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00024057,280
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00024057,210
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00024057,240
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00024057,280
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00024057,10
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00024057,240
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00024057,260
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00024057,240
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00024057,230
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00024057,200
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00024057,40
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00024057,10
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00024057,250
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00024057,250
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00024057,260
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00024057,250
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00024057,260
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00024057,270
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00024057,270
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00024057,250
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00024057,60
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00024057,230
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00024057,240
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00024057,240
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00024057,300
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00024057,290
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00024057,280
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00024057,30
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00024057,20
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00024057,360
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00024057,330
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00024057,240
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00024057,320
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00024057,310
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00024057,190
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00024057,240
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00024057,240
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00024057,200
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00024057,360
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00024057,30
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00024057,50
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00024057,60
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00024057,30
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00024057,50
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00024057,280
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00024057,310
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00024057,210
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00024057,280
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00024057,360
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00024057,220
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00024057,240
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00024057,270
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00024057,240
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00024057,270
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00024057,230
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00024057,300
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00024057,60
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00024057,250
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00024057,70
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00024057,70
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00024057,300
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00024057,250
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00024057,200
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00024057,290
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00024057,240
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00024057,280
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00024057,230
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00024057,280
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00024057,20
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00024057,40
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00024057,250
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00024057,190
150,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00024057,270
151,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00024057,40
152,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00024057,50
153,",,W,",WDF2,2016-06-02T00:00:00,GHCND:USW00024057,270
154,",,W,",WDF2,2016-06-03T00:00:00,GHCND:USW00024057,270
155,",,W,",WDF2,2016-06-04T00:00:00,GHCND:USW00024057,40
156,",,W,",WDF2,2016-06-05T00:00:00,GHCND:USW00024057,330
157,",,W,",WDF2,2016-06-06T00:00:00,GHCND:USW00024057,100
158,",,W,",WDF2,2016-06-07T00:00:00,GHCND:USW00024057,250
159,",,W,",WDF2,2016-06-08T00:00:00,GHCND:USW00024057,230
