,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00094960,1018
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00094960,2040
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00094960,323
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00094960,2306
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00094960,1038
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00094960,104
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00094960,628
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00094960,2308
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00094960,1017
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00094960,331
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00094960,2353
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00094960,156
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00094960,1507
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00094960,1521
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00094960,1516
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00094960,1130
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00094960,1432
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00094960,1515
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00094960,2339
19,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00094960,648
20,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00094960,1522
21,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00094960,2152
22,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00094960,2351
23,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00094960,4
24,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00094960,1712
25,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00094960,520
26,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00094960,1304
27,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00094960,1308
28,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00094960,1259
29,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00094960,1729
30,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00094960,1827
31,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00094960,215
32,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00094960,1621
33,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00094960,1532
34,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00094960,1725
35,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00094960,530
36,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00094960,1436
37,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00094960,1433
38,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00094960,1340
39,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00094960,1014
40,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00094960,2216
41,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00094960,1332
42,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00094960,1539
43,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00094960,1502
44,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00094960,2225
45,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00094960,1858
46,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00094960,1145
47,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00094960,155
48,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00094960,1409
49,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00094960,1515
50,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00094960,1604
51,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00094960,2206
52,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00094960,1013
53,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00094960,1330
54,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00094960,1143
55,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00094960,1339
56,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00094960,655
57,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00094960,1411
58,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00094960,1059
59,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00094960,1525
60,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00094960,1412
61,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00094960,41
62,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00094960,1007
