,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00093985,15.0
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00093985,8.9
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00093985,15.0
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00093985,8.9
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00093985,17.0
5,",,W,",WSF2,2016-01-06T00:00:00,GHCND:USW00093985,17.0
6,",,W,",WSF2,2016-01-07T00:00:00,GHCND:USW00093985,21.9
7,",,W,",WSF2,2016-01-08T00:00:00,GHCND:USW00093985,18.1
8,",,W,",WSF2,2016-01-09T00:00:00,GHCND:USW00093985,23.9
9,",,W,",WSF2,2016-01-10T00:00:00,GHCND:USW00093985,15.0
10,",,W,",WSF2,2016-01-11T00:00:00,GHCND:USW00093985,13.0
11,",,W,",WSF2,2016-01-12T00:00:00,GHCND:USW00093985,8.9
12,",,W,",WSF2,2016-01-13T00:00:00,GHCND:USW00093985,17.0
13,",,W,",WSF2,2016-01-14T00:00:00,GHCND:USW00093985,23.0
14,",,W,",WSF2,2016-01-15T00:00:00,GHCND:USW00093985,19.9
15,",,W,",WSF2,2016-01-16T00:00:00,GHCND:USW00093985,21.9
16,",,W,",WSF2,2016-01-17T00:00:00,GHCND:USW00093985,17.0
17,",,W,",WSF2,2016-01-18T00:00:00,GHCND:USW00093985,15.0
18,",,W,",WSF2,2016-01-19T00:00:00,GHCND:USW00093985,23.9
19,",,W,",WSF2,2016-01-20T00:00:00,GHCND:USW00093985,13.0
20,",,W,",WSF2,2016-01-21T00:00:00,GHCND:USW00093985,23.9
21,",,W,",WSF2,2016-01-22T00:00:00,GHCND:USW00093985,28.0
22,",,W,",WSF2,2016-01-23T00:00:00,GHCND:USW00093985,15.0
23,",,W,",WSF2,2016-01-24T00:00:00,GHCND:USW00093985,23.0
24,",,W,",WSF2,2016-01-25T00:00:00,GHCND:USW00093985,18.1
25,",,W,",WSF2,2016-01-26T00:00:00,GHCND:USW00093985,21.0
26,",,W,",WSF2,2016-01-27T00:00:00,GHCND:USW00093985,12.1
27,",,W,",WSF2,2016-01-28T00:00:00,GHCND:USW00093985,13.0
28,",,W,",WSF2,2016-01-29T00:00:00,GHCND:USW00093985,25.1
29,",,W,",WSF2,2016-01-30T00:00:00,GHCND:USW00093985,21.9
30,",,W,",WSF2,2016-01-31T00:00:00,GHCND:USW00093985,21.9
31,",,W,",WSF2,2016-02-01T00:00:00,GHCND:USW00093985,25.9
32,",,W,",WSF2,2016-02-02T00:00:00,GHCND:USW00093985,25.9
33,",,W,",WSF2,2016-02-03T00:00:00,GHCND:USW00093985,19.9
34,",,W,",WSF2,2016-02-04T00:00:00,GHCND:USW00093985,12.1
35,",,W,",WSF2,2016-02-05T00:00:00,GHCND:USW00093985,21.0
36,",,W,",WSF2,2016-02-06T00:00:00,GHCND:USW00093985,21.0
37,",,W,",WSF2,2016-02-07T00:00:00,GHCND:USW00093985,14.1
38,",,W,",WSF2,2016-02-08T00:00:00,GHCND:USW00093985,32.0
39,",,W,",WSF2,2016-02-09T00:00:00,GHCND:USW00093985,23.0
40,",,W,",WSF2,2016-02-10T00:00:00,GHCND:USW00093985,18.1
41,",,W,",WSF2,2016-02-11T00:00:00,GHCND:USW00093985,15.0
42,",,W,",WSF2,2016-02-12T00:00:00,GHCND:USW00093985,15.0
43,",,W,",WSF2,2016-02-13T00:00:00,GHCND:USW00093985,18.1
44,",,W,",WSF2,2016-02-14T00:00:00,GHCND:USW00093985,18.1
45,",,W,",WSF2,2016-02-15T00:00:00,GHCND:USW00093985,21.0
