,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00004113,20
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00004113,50
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00004113,90
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00004113,300
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00004113,300
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00004113,180
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00004113,170
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00004113,280
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00004113,140
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00004113,80
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00004113,90
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00004113,50
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00004113,240
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00004113,220
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00004113,60
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00004113,40
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00004113,40
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00004113,40
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00004113,40
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00004113,250
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00004113,40
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00004113,110
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00004113,240
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00004113,260
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00004113,50
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00004113,50
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00004113,70
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00004113,240
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00004113,260
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00004113,250
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00004113,260
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00004113,260
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00004113,50
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00004113,340
