,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00093241,350
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00093241,350
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00093241,350
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00093241,330
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00093241,140
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00093241,140
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00093241,70
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00093241,130
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00093241,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00093241,350
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00093241,340
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00093241,80
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00093241,210
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00093241,190
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00093241,230
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00093241,130
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00093241,160
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00093241,140
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00093241,150
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00093241,340
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00093241,40
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00093241,240
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00093241,220
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00093241,260
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00093241,350
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00093241,320
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00093241,350
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00093241,150
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00093241,190
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00093241,240
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00093241,340
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00093241,340
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00093241,350
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00093241,130
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00093241,340
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00093241,320
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00093241,330
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00093241,90
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00093241,80
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00093241,350
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00093241,230
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00093241,240
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00093241,170
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00093241,350
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00093241,350
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00093241,350
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00093241,350
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00093241,220
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00093241,250
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00093241,180
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00093241,350
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00093241,130
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00093241,350
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00093241,350
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00093241,340
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00093241,350
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00093241,230
