,attributes,datatype,date,station,value
0,",,C,",WDFG,2016-01-01T00:00:00,GHCND:CA006127510,29
1,",,C,",WDFG,2016-01-02T00:00:00,GHCND:CA006127510,21
2,",,C,",WDFG,2016-01-03T00:00:00,GHCND:CA006127510,32
3,",,C,",WDFG,2016-01-04T00:00:00,GHCND:CA006127510,32
4,",,C,",WDFG,2016-01-05T00:00:00,GHCND:CA006127510,21
5,",,C,",WDFG,2016-01-06T00:00:00,GHCND:CA006127510,0
6,",,C,",WDFG,2016-01-07T00:00:00,GHCND:CA006127510,21
7,",,C,",WDFG,2016-01-08T00:00:00,GHCND:CA006127510,0
8,",,C,",WDFG,2016-01-09T00:00:00,GHCND:CA006127510,0
9,",,C,",WDFG,2016-01-10T00:00:00,GHCND:CA006127510,29
10,",,C,",WDFG,2016-01-11T00:00:00,GHCND:CA006127510,29
11,",,C,",WDFG,2016-01-12T00:00:00,GHCND:CA006127510,27
12,",,C,",WDFG,2016-01-13T00:00:00,GHCND:CA006127510,24
13,",,C,",WDFG,2016-01-14T00:00:00,GHCND:CA006127510,24
14,",,C,",WDFG,2016-01-15T00:00:00,GHCND:CA006127510,19
15,",,C,",WDFG,2016-01-16T00:00:00,GHCND:CA006127510,31
16,",,C,",WDFG,2016-01-17T00:00:00,GHCND:CA006127510,27
17,",,C,",WDFG,2016-01-18T00:00:00,GHCND:CA006127510,28
18,",,C,",WDFG,2016-01-19T00:00:00,GHCND:CA006127510,29
19,",,C,",WDFG,2016-01-20T00:00:00,GHCND:CA006127510,0
20,",,C,",WDFG,2016-01-21T00:00:00,GHCND:CA006127510,0
21,",,C,",WDFG,2016-01-22T00:00:00,GHCND:CA006127510,5
22,",,C,",WDFG,2016-01-23T00:00:00,GHCND:CA006127510,4
23,",,C,",WDFG,2016-01-24T00:00:00,GHCND:CA006127510,19
24,",,C,",WDFG,2016-01-25T00:00:00,GHCND:CA006127510,19
25,",,C,",WDFG,2016-01-26T00:00:00,GHCND:CA006127510,26
26,",,C,",WDFG,2016-01-27T00:00:00,GHCND:CA006127510,21
27,",,C,",WDFG,2016-01-28T00:00:00,GHCND:CA006127510,20
28,",,C,",WDFG,2016-01-29T00:00:00,GHCND:CA006127510,34
29,",,C,",WDFG,2016-01-30T00:00:00,GHCND:CA006127510,19
30,",,C,",WDFG,2016-01-31T00:00:00,GHCND:CA006127510,27
31,",,C,",WDFG,2016-02-01T00:00:00,GHCND:CA006127510,32
32,",,C,",WDFG,2016-02-02T00:00:00,GHCND:CA006127510,11
33,",,C,",WDFG,2016-02-03T00:00:00,GHCND:CA006127510,23
34,",,C,",WDFG,2016-02-04T00:00:00,GHCND:CA006127510,31
35,",,C,",WDFG,2016-02-05T00:00:00,GHCND:CA006127510,21
36,",,C,",WDFG,2016-02-06T00:00:00,GHCND:CA006127510,20
37,",,C,",WDFG,2016-02-07T00:00:00,GHCND:CA006127510,19
38,",,C,",WDFG,2016-02-08T00:00:00,GHCND:CA006127510,0
39,",,C,",WDFG,2016-02-09T00:00:00,GHCND:CA006127510,29
40,",,C,",WDFG,2016-02-10T00:00:00,GHCND:CA006127510,29
41,",,C,",WDFG,2016-02-11T00:00:00,GHCND:CA006127510,33
42,",,C,",WDFG,2016-02-12T00:00:00,GHCND:CA006127510,33
43,",,C,",WDFG,2016-02-13T00:00:00,GHCND:CA006127510,33
44,",,C,",WDFG,2016-02-14T00:00:00,GHCND:CA006127510,16
45,",,C,",WDFG,2016-02-15T00:00:00,GHCND:CA006127510,19
46,",,C,",WDFG,2016-02-16T00:00:00,GHCND:CA006127510,0
47,",,C,",WDFG,2016-02-17T00:00:00,GHCND:CA006127510,35
48,",,C,",WDFG,2016-02-18T00:00:00,GHCND:CA006127510,15
49,",,C,",WDFG,2016-02-19T00:00:00,GHCND:CA006127510,25
50,",,C,",WDFG,2016-02-20T00:00:00,GHCND:CA006127510,26
51,",,C,",WDFG,2016-02-21T00:00:00,GHCND:CA006127510,1
52,",,C,",WDFG,2016-02-22T00:00:00,GHCND:CA006127510,5
53,",,C,",WDFG,2016-02-23T00:00:00,GHCND:CA006127510,5
54,",,C,",WDFG,2016-02-24T00:00:00,GHCND:CA006127510,1
55,",,C,",WDFG,2016-02-25T00:00:00,GHCND:CA006127510,34
56,",,C,",WDFG,2016-02-26T00:00:00,GHCND:CA006127510,33
57,",,C,",WDFG,2016-02-27T00:00:00,GHCND:CA006127510,20
58,",,C,",WDFG,2016-02-28T00:00:00,GHCND:CA006127510,20
59,",,C,",WDFG,2016-02-29T00:00:00,GHCND:CA006127510,34
60,",,C,",WDFG,2016-03-01T00:00:00,GHCND:CA006127510,34
61,",,C,",WDFG,2016-03-02T00:00:00,GHCND:CA006127510,33
62,",,C,",WDFG,2016-03-03T00:00:00,GHCND:CA006127510,0
63,",,C,",WDFG,2016-03-04T00:00:00,GHCND:CA006127510,0
64,",,C,",WDFG,2016-03-05T00:00:00,GHCND:CA006127510,0
65,",,C,",WDFG,2016-03-06T00:00:00,GHCND:CA006127510,19
66,",,C,",WDFG,2016-03-07T00:00:00,GHCND:CA006127510,20
67,",,C,",WDFG,2016-03-08T00:00:00,GHCND:CA006127510,21
68,",,C,",WDFG,2016-03-09T00:00:00,GHCND:CA006127510,22
69,",,C,",WDFG,2016-03-10T00:00:00,GHCND:CA006127510,1
70,",,C,",WDFG,2016-03-11T00:00:00,GHCND:CA006127510,35
71,",,C,",WDFG,2016-03-12T00:00:00,GHCND:CA006127510,0
72,",,C,",WDFG,2016-03-13T00:00:00,GHCND:CA006127510,13
73,",,C,",WDFG,2016-03-14T00:00:00,GHCND:CA006127510,21
74,",,C,",WDFG,2016-03-15T00:00:00,GHCND:CA006127510,13
75,",,C,",WDFG,2016-03-16T00:00:00,GHCND:CA006127510,22
76,",,C,",WDFG,2016-03-17T00:00:00,GHCND:CA006127510,27
77,",,C,",WDFG,2016-03-18T00:00:00,GHCND:CA006127510,3
78,",,C,",WDFG,2016-03-19T00:00:00,GHCND:CA006127510,3
79,",,C,",WDFG,2016-03-20T00:00:00,GHCND:CA006127510,5
80,",,C,",WDFG,2016-03-21T00:00:00,GHCND:CA006127510,33
81,",,C,",WDFG,2016-03-22T00:00:00,GHCND:CA006127510,20
82,",,C,",WDFG,2016-03-23T00:00:00,GHCND:CA006127510,6
83,",,C,",WDFG,2016-03-24T00:00:00,GHCND:CA006127510,32
84,",,C,",WDFG,2016-03-25T00:00:00,GHCND:CA006127510,34
85,",,C,",WDFG,2016-03-26T00:00:00,GHCND:CA006127510,0
86,",,C,",WDFG,2016-03-27T00:00:00,GHCND:CA006127510,29
87,",,C,",WDFG,2016-03-28T00:00:00,GHCND:CA006127510,30
88,",,C,",WDFG,2016-03-29T00:00:00,GHCND:CA006127510,1
89,",,C,",WDFG,2016-03-30T00:00:00,GHCND:CA006127510,19
90,",,C,",WDFG,2016-03-31T00:00:00,GHCND:CA006127510,20
91,",,C,",WDFG,2016-04-01T00:00:00,GHCND:CA006127510,28
92,",,C,",WDFG,2016-04-02T00:00:00,GHCND:CA006127510,33
93,",,C,",WDFG,2016-04-03T00:00:00,GHCND:CA006127510,32
94,",,C,",WDFG,2016-04-04T00:00:00,GHCND:CA006127510,6
95,",,C,",WDFG,2016-04-05T00:00:00,GHCND:CA006127510,18
