,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094898,240
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094898,240
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094898,310
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094898,20
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094898,230
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094898,210
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094898,160
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094898,140
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094898,130
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094898,300
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094898,280
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094898,310
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094898,300
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094898,120
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094898,110
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094898,300
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094898,310
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094898,310
18,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094898,290
19,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094898,280
20,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094898,40
21,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094898,30
22,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094898,230
23,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094898,160
24,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094898,330
25,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094898,320
26,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094898,300
27,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094898,310
28,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094898,230
29,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094898,290
30,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094898,290
31,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094898,90
32,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094898,100
33,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094898,290
34,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094898,220
35,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094898,240
36,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094898,160
37,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094898,310
38,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094898,310
39,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094898,300
40,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094898,300
41,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094898,310
42,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094898,320
43,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094898,160
44,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094898,160
45,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094898,290
46,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094898,320
47,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094898,150
48,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094898,150
49,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094898,280
50,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094898,30
51,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094898,90
52,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094898,70
53,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00094898,20
54,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00094898,30
55,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00094898,320
56,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00094898,230
57,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00094898,330
58,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00094898,310
59,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00094898,30
60,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00094898,10
61,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00094898,120
62,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00094898,10
