,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00093997,11.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00093997,7.6
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00093997,7.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00093997,8.3
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00093997,19.2
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00093997,14.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00093997,8.5
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00093997,15.4
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00093997,15.0
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00093997,8.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00093997,9.4
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00093997,8.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00093997,11.4
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00093997,11.6
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00093997,10.3
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00093997,7.6
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00093997,11.0
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00093997,12.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00093997,8.5
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00093997,9.4
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00093997,11.4
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00093997,7.6
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00093997,13.0
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00093997,8.7
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00093997,14.8
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00093997,8.3
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00093997,8.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00093997,9.8
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00093997,10.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00093997,11.0
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00093997,11.9
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00093997,15.2
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00093997,22.8
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00093997,13.0
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00093997,8.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00093997,6.9
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00093997,11.0
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00093997,15.2
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00093997,22.4
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00093997,11.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00093997,13.6
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00093997,9.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00093997,11.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00093997,11.0
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00093997,7.6
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00093997,11.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00093997,14.3
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00093997,9.8
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00093997,19.9
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00093997,15.2
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00093997,9.8
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00093997,10.5
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00093997,8.3
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00093997,13.4
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00093997,13.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00093997,13.4
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00093997,10.7
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00093997,18.6
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00093997,18.6
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00093997,16.3
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00093997,10.7
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00093997,14.1
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00093997,15.0
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00093997,13.2
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00093997,11.2
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00093997,22.8
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00093997,18.6
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00093997,8.3
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00093997,5.8
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00093997,6.3
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00093997,11.2
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00093997,9.8
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00093997,8.1
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00093997,11.4
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00093997,19.5
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00093997,12.1
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00093997,11.4
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00093997,12.8
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00093997,13.9
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00093997,9.4
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00093997,20.4
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00093997,14.3
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00093997,21.3
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00093997,18.3
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00093997,17.2
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00093997,14.8
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00093997,9.4
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00093997,19.9
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00093997,26.8
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00093997,19.5
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00093997,17.0
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00093997,14.3
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00093997,9.8
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00093997,13.9
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00093997,11.2
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00093997,17.9
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00093997,18.6
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00093997,17.4
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00093997,9.6
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00093997,22.1
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00093997,16.1
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00093997,11.2
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00093997,13.0
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00093997,12.5
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00093997,17.7
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00093997,25.3
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00093997,16.6
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00093997,13.4
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00093997,12.8
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00093997,7.8
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00093997,10.5
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00093997,11.2
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00093997,7.2
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00093997,22.8
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00093997,18.8
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00093997,7.4
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00093997,9.2
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00093997,19.0
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00093997,11.6
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00093997,17.0
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00093997,13.2
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00093997,14.5
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00093997,8.7
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00093997,8.5
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00093997,8.9
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00093997,6.5
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00093997,16.3
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00093997,13.9
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00093997,16.1
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00093997,13.6
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00093997,8.3
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00093997,16.1
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00093997,8.5
133,",,W,",AWND,2016-05-13T00:00:00,GHCND:USW00093997,17.0
134,",,W,",AWND,2016-05-14T00:00:00,GHCND:USW00093997,8.5
135,",,W,",AWND,2016-05-15T00:00:00,GHCND:USW00093997,11.2
136,",,W,",AWND,2016-05-16T00:00:00,GHCND:USW00093997,13.2
137,",,W,",AWND,2016-05-17T00:00:00,GHCND:USW00093997,12.3
138,",,W,",AWND,2016-05-18T00:00:00,GHCND:USW00093997,6.5
139,",,W,",AWND,2016-05-19T00:00:00,GHCND:USW00093997,12.1
140,",,W,",AWND,2016-05-20T00:00:00,GHCND:USW00093997,10.5
141,",,W,",AWND,2016-05-21T00:00:00,GHCND:USW00093997,17.4
142,",,W,",AWND,2016-05-22T00:00:00,GHCND:USW00093997,24.2
143,",,W,",AWND,2016-05-23T00:00:00,GHCND:USW00093997,14.3
144,",,W,",AWND,2016-05-24T00:00:00,GHCND:USW00093997,17.9
145,",,W,",AWND,2016-05-25T00:00:00,GHCND:USW00093997,11.0
146,",,W,",AWND,2016-05-26T00:00:00,GHCND:USW00093997,13.2
147,",,W,",AWND,2016-05-27T00:00:00,GHCND:USW00093997,9.8
148,",,W,",AWND,2016-05-28T00:00:00,GHCND:USW00093997,7.8
149,",,W,",AWND,2016-05-29T00:00:00,GHCND:USW00093997,12.5
150,",,W,",AWND,2016-05-30T00:00:00,GHCND:USW00093997,11.9
151,",,W,",AWND,2016-05-31T00:00:00,GHCND:USW00093997,10.5
152,",,W,",AWND,2016-06-01T00:00:00,GHCND:USW00093997,7.6
153,",,W,",AWND,2016-06-02T00:00:00,GHCND:USW00093997,7.2
154,",,W,",AWND,2016-06-03T00:00:00,GHCND:USW00093997,11.0
155,",,W,",AWND,2016-06-04T00:00:00,GHCND:USW00093997,13.0
156,",,W,",AWND,2016-06-05T00:00:00,GHCND:USW00093997,6.7
157,",,W,",AWND,2016-06-06T00:00:00,GHCND:USW00093997,7.6
158,",,W,",AWND,2016-06-07T00:00:00,GHCND:USW00093997,11.2
159,",,W,",AWND,2016-06-08T00:00:00,GHCND:USW00093997,17.0
160,",,W,",AWND,2016-06-09T00:00:00,GHCND:USW00093997,19.5
161,",,W,",AWND,2016-06-10T00:00:00,GHCND:USW00093997,16.3
162,",,W,",AWND,2016-06-11T00:00:00,GHCND:USW00093997,15.0
163,",,W,",AWND,2016-06-12T00:00:00,GHCND:USW00093997,13.0
164,",,W,",AWND,2016-06-13T00:00:00,GHCND:USW00093997,7.4
165,",,W,",AWND,2016-06-14T00:00:00,GHCND:USW00093997,8.5
166,",,W,",AWND,2016-06-15T00:00:00,GHCND:USW00093997,14.5
167,",,W,",AWND,2016-06-16T00:00:00,GHCND:USW00093997,15.9
168,",,W,",AWND,2016-06-17T00:00:00,GHCND:USW00093997,15.9
169,",,W,",AWND,2016-06-18T00:00:00,GHCND:USW00093997,9.8
170,",,W,",AWND,2016-06-19T00:00:00,GHCND:USW00093997,12.1
