,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00013985,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00013985,290
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00013985,350
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00013985,160
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00013985,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00013985,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00013985,350
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00013985,10
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00013985,360
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00013985,220
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00013985,320
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00013985,10
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00013985,220
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00013985,20
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00013985,310
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00013985,320
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00013985,30
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00013985,160
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00013985,170
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00013985,160
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00013985,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00013985,350
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00013985,180
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00013985,280
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00013985,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00013985,310
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00013985,290
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00013985,280
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00013985,350
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00013985,170
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00013985,350
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00013985,120
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00013985,320
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00013985,320
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00013985,270
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00013985,330
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00013985,220
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00013985,340
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00013985,350
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00013985,350
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00013985,320
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00013985,200
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00013985,40
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00013985,150
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00013985,340
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00013985,310
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00013985,360
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00013985,160
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00013985,250
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00013985,340
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00013985,20
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00013985,20
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00013985,170
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00013985,20
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00013985,320
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00013985,350
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00013985,360
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00013985,200
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00013985,350
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00013985,350
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00013985,360
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00013985,300
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00013985,340
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00013985,20
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00013985,160
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00013985,190
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00013985,210
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00013985,350
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00013985,110
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00013985,320
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00013985,130
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00013985,150
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00013985,160
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00013985,360
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00013985,310
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00013985,310
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00013985,50
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00013985,20
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00013985,320
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00013985,170
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00013985,210
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00013985,220
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00013985,320
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00013985,340
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00013985,200
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00013985,10
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00013985,360
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00013985,180
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00013985,160
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00013985,180
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00013985,320
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00013985,310
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00013985,280
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00013985,200
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00013985,150
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00013985,10
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00013985,320
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00013985,360
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00013985,220
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00013985,170
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00013985,180
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00013985,20
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00013985,170
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00013985,160
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00013985,160
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00013985,160
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00013985,140
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00013985,80
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00013985,330
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00013985,20
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00013985,290
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00013985,360
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00013985,160
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00013985,180
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00013985,200
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00013985,40
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00013985,270
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00013985,320
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00013985,360
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00013985,60
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00013985,310
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00013985,360
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00013985,350
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00013985,350
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00013985,10
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00013985,130
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00013985,190
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00013985,150
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00013985,130
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00013985,270
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00013985,310
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00013985,20
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00013985,270
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00013985,360
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00013985,20
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00013985,140
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00013985,20
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00013985,30
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00013985,120
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00013985,150
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00013985,130
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00013985,150
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00013985,180
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00013985,150
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00013985,170
145,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00013985,170
146,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00013985,130
147,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00013985,190
148,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00013985,300
149,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00013985,180
150,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00013985,360
151,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00013985,300
152,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00013985,40
153,",,W,",WDF2,2016-06-02T00:00:00,GHCND:USW00013985,120
154,",,W,",WDF2,2016-06-03T00:00:00,GHCND:USW00013985,160
155,",,W,",WDF2,2016-06-04T00:00:00,GHCND:USW00013985,350
156,",,W,",WDF2,2016-06-05T00:00:00,GHCND:USW00013985,30
157,",,W,",WDF2,2016-06-06T00:00:00,GHCND:USW00013985,160
158,",,W,",WDF2,2016-06-07T00:00:00,GHCND:USW00013985,150
159,",,W,",WDF2,2016-06-08T00:00:00,GHCND:USW00013985,170
160,",,W,",WDF2,2016-06-09T00:00:00,GHCND:USW00013985,200
161,",,W,",WDF2,2016-06-10T00:00:00,GHCND:USW00013985,190
162,",,W,",WDF2,2016-06-11T00:00:00,GHCND:USW00013985,160
163,",,W,",WDF2,2016-06-12T00:00:00,GHCND:USW00013985,160
164,",,W,",WDF2,2016-06-13T00:00:00,GHCND:USW00013985,260
165,",,W,",WDF2,2016-06-14T00:00:00,GHCND:USW00013985,280
166,",,W,",WDF2,2016-06-15T00:00:00,GHCND:USW00013985,110
167,",,W,",WDF2,2016-06-16T00:00:00,GHCND:USW00013985,170
168,",,W,",WDF2,2016-06-17T00:00:00,GHCND:USW00013985,30
169,",,W,",WDF2,2016-06-18T00:00:00,GHCND:USW00013985,80
170,",,W,",WDF2,2016-06-19T00:00:00,GHCND:USW00013985,170
171,",,W,",WDF2,2016-06-20T00:00:00,GHCND:USW00013985,170
172,",,W,",WDF2,2016-06-21T00:00:00,GHCND:USW00013985,180
173,",,W,",WDF2,2016-06-22T00:00:00,GHCND:USW00013985,220
174,",,W,",WDF2,2016-06-23T00:00:00,GHCND:USW00013985,230
175,",,W,",WDF2,2016-06-24T00:00:00,GHCND:USW00013985,170
176,",,W,",WDF2,2016-06-25T00:00:00,GHCND:USW00013985,270
177,",,W,",WDF2,2016-06-26T00:00:00,GHCND:USW00013985,110
178,",,W,",WDF2,2016-06-27T00:00:00,GHCND:USW00013985,130
179,",,W,",WDF2,2016-06-28T00:00:00,GHCND:USW00013985,120
180,",,W,",WDF2,2016-06-29T00:00:00,GHCND:USW00013985,350
181,",,W,",WDF2,2016-06-30T00:00:00,GHCND:USW00013985,30
182,",,W,",WDF2,2016-07-01T00:00:00,GHCND:USW00013985,140
183,",,W,",WDF2,2016-07-02T00:00:00,GHCND:USW00013985,320
184,",,W,",WDF2,2016-07-03T00:00:00,GHCND:USW00013985,10
185,",,W,",WDF2,2016-07-04T00:00:00,GHCND:USW00013985,210
186,",,W,",WDF2,2016-07-05T00:00:00,GHCND:USW00013985,20
187,",,W,",WDF2,2016-07-06T00:00:00,GHCND:USW00013985,160
188,",,W,",WDF2,2016-07-07T00:00:00,GHCND:USW00013985,50
189,",,W,",WDF2,2016-07-08T00:00:00,GHCND:USW00013985,60
190,",,W,",WDF2,2016-07-09T00:00:00,GHCND:USW00013985,180
191,",,W,",WDF2,2016-07-10T00:00:00,GHCND:USW00013985,170
192,",,W,",WDF2,2016-07-11T00:00:00,GHCND:USW00013985,170
193,",,W,",WDF2,2016-07-12T00:00:00,GHCND:USW00013985,70
194,",,W,",WDF2,2016-07-13T00:00:00,GHCND:USW00013985,30
195,",,W,",WDF2,2016-07-14T00:00:00,GHCND:USW00013985,80
196,",,W,",WDF2,2016-07-15T00:00:00,GHCND:USW00013985,150
197,",,W,",WDF2,2016-07-16T00:00:00,GHCND:USW00013985,160
198,",,W,",WDF2,2016-07-17T00:00:00,GHCND:USW00013985,200
199,",,W,",WDF2,2016-07-18T00:00:00,GHCND:USW00013985,160
200,",,W,",WDF2,2016-07-19T00:00:00,GHCND:USW00013985,200
201,",,W,",WDF2,2016-07-20T00:00:00,GHCND:USW00013985,180
202,",,W,",WDF2,2016-07-21T00:00:00,GHCND:USW00013985,210
203,",,W,",WDF2,2016-07-22T00:00:00,GHCND:USW00013985,190
204,",,W,",WDF2,2016-07-23T00:00:00,GHCND:USW00013985,180
205,",,W,",WDF2,2016-07-24T00:00:00,GHCND:USW00013985,250
206,",,W,",WDF2,2016-07-25T00:00:00,GHCND:USW00013985,320
207,",,W,",WDF2,2016-07-26T00:00:00,GHCND:USW00013985,110
208,",,W,",WDF2,2016-07-27T00:00:00,GHCND:USW00013985,80
209,",,W,",WDF2,2016-07-28T00:00:00,GHCND:USW00013985,80
210,",,W,",WDF2,2016-07-29T00:00:00,GHCND:USW00013985,30
211,",,W,",WDF2,2016-07-30T00:00:00,GHCND:USW00013985,150
212,",,W,",WDF2,2016-07-31T00:00:00,GHCND:USW00013985,190
213,",,W,",WDF2,2016-08-01T00:00:00,GHCND:USW00013985,180
214,",,W,",WDF2,2016-08-02T00:00:00,GHCND:USW00013985,170
215,",,W,",WDF2,2016-08-03T00:00:00,GHCND:USW00013985,180
216,",,W,",WDF2,2016-08-04T00:00:00,GHCND:USW00013985,170
217,",,W,",WDF2,2016-08-05T00:00:00,GHCND:USW00013985,70
218,",,W,",WDF2,2016-08-06T00:00:00,GHCND:USW00013985,120
219,",,W,",WDF2,2016-08-07T00:00:00,GHCND:USW00013985,310
220,",,W,",WDF2,2016-08-08T00:00:00,GHCND:USW00013985,150
221,",,W,",WDF2,2016-08-09T00:00:00,GHCND:USW00013985,190
222,",,W,",WDF2,2016-08-10T00:00:00,GHCND:USW00013985,190
223,",,W,",WDF2,2016-08-11T00:00:00,GHCND:USW00013985,190
224,",,W,",WDF2,2016-08-12T00:00:00,GHCND:USW00013985,10
225,",,W,",WDF2,2016-08-13T00:00:00,GHCND:USW00013985,80
226,",,W,",WDF2,2016-08-14T00:00:00,GHCND:USW00013985,160
227,",,W,",WDF2,2016-08-15T00:00:00,GHCND:USW00013985,170
228,",,W,",WDF2,2016-08-16T00:00:00,GHCND:USW00013985,220
229,",,W,",WDF2,2016-08-17T00:00:00,GHCND:USW00013985,160
230,",,W,",WDF2,2016-08-18T00:00:00,GHCND:USW00013985,140
231,",,W,",WDF2,2016-08-19T00:00:00,GHCND:USW00013985,10
232,",,W,",WDF2,2016-08-20T00:00:00,GHCND:USW00013985,20
233,",,W,",WDF2,2016-08-21T00:00:00,GHCND:USW00013985,170
234,",,W,",WDF2,2016-08-22T00:00:00,GHCND:USW00013985,170
235,",,W,",WDF2,2016-08-23T00:00:00,GHCND:USW00013985,210
236,",,W,",WDF2,2016-08-24T00:00:00,GHCND:USW00013985,220
237,",,W,",WDF2,2016-08-25T00:00:00,GHCND:USW00013985,10
238,",,W,",WDF2,2016-08-26T00:00:00,GHCND:USW00013985,170
