,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00093042,210
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00093042,300
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00093042,320
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00093042,210
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00093042,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00093042,210
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00093042,360
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00093042,20
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00093042,10
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00093042,200
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00093042,250
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00093042,80
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00093042,360
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00093042,260
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00093042,60
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00093042,50
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00093042,20
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00093042,230
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00093042,360
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00093042,220
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00093042,360
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00093042,10
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00093042,200
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00093042,230
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00093042,340
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00093042,260
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00093042,20
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00093042,210
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00093042,340
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00093042,260
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00093042,360
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00093042,120
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00093042,330
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00093042,20
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00093042,230
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00093042,360
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00093042,210
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00093042,20
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00093042,10
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00093042,270
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00093042,350
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00093042,200
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00093042,140
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00093042,210
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00093042,360
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00093042,240
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00093042,20
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00093042,180
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00093042,230
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00093042,240
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00093042,40
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00093042,20
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00093042,180
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00093042,360
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00093042,270
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00093042,30
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00093042,10
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00093042,210
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00093042,40
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00093042,220
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00093042,30
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00093042,280
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00093042,360
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00093042,50
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00093042,180
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00093042,250
