,attributes,datatype,date,station,value
0,",,7,",WSFG,2016-01-01T00:00:00,GHCND:USC00243113,13.0
1,",,7,",WSFG,2016-01-02T00:00:00,GHCND:USC00243113,14.1
2,",,7,",WSFG,2016-01-03T00:00:00,GHCND:USC00243113,6.0
3,",,7,",WSFG,2016-01-04T00:00:00,GHCND:USC00243113,2.9
4,",,7,",WSFG,2016-01-05T00:00:00,GHCND:USC00243113,2.9
5,",,7,",WSFG,2016-01-06T00:00:00,GHCND:USC00243113,2.9
6,",,7,",WSFG,2016-01-07T00:00:00,GHCND:USC00243113,6.0
7,",,7,",WSFG,2016-01-08T00:00:00,GHCND:USC00243113,11.0
8,",,7,",WSFG,2016-01-09T00:00:00,GHCND:USC00243113,8.9
9,",,7,",WSFG,2016-01-10T00:00:00,GHCND:USC00243113,4.0
10,",,7,",WSFG,2016-01-11T00:00:00,GHCND:USC00243113,14.1
11,",,7,",WSFG,2016-01-12T00:00:00,GHCND:USC00243113,19.0
12,",,7,",WSFG,2016-01-13T00:00:00,GHCND:USC00243113,13.0
13,",,7,",WSFG,2016-01-14T00:00:00,GHCND:USC00243113,28.0
14,",,7,",WSFG,2016-01-15T00:00:00,GHCND:USC00243113,8.1
15,",,7,",WSFG,2016-01-16T00:00:00,GHCND:USC00243113,11.0
16,",,7,",WSFG,2016-01-17T00:00:00,GHCND:USC00243113,11.0
17,",,7,",WSFG,2016-01-18T00:00:00,GHCND:USC00243113,13.0
18,",,7,",WSFG,2016-01-19T00:00:00,GHCND:USC00243113,4.0
19,",,7,",WSFG,2016-01-20T00:00:00,GHCND:USC00243113,4.0
20,",,7,",WSFG,2016-01-21T00:00:00,GHCND:USC00243113,8.1
21,",,7,",WSFG,2016-01-22T00:00:00,GHCND:USC00243113,6.0
22,",,7,",WSFG,2016-01-23T00:00:00,GHCND:USC00243113,12.1
23,",,7,",WSFG,2016-01-24T00:00:00,GHCND:USC00243113,8.1
24,",,7,",WSFG,2016-01-25T00:00:00,GHCND:USC00243113,11.0
25,",,7,",WSFG,2016-01-26T00:00:00,GHCND:USC00243113,12.1
26,",,7,",WSFG,2016-01-27T00:00:00,GHCND:USC00243113,42.1
27,",,7,",WSFG,2016-01-28T00:00:00,GHCND:USC00243113,17.9
28,",,7,",WSFG,2016-01-29T00:00:00,GHCND:USC00243113,42.1
29,",,7,",WSFG,2016-01-30T00:00:00,GHCND:USC00243113,25.1
30,",,7,",WSFG,2016-01-31T00:00:00,GHCND:USC00243113,17.9
31,",,7,",WSFG,2016-02-01T00:00:00,GHCND:USC00243113,16.1
32,",,7,",WSFG,2016-02-02T00:00:00,GHCND:USC00243113,4.9
33,",,7,",WSFG,2016-02-03T00:00:00,GHCND:USC00243113,8.9
34,",,7,",WSFG,2016-02-04T00:00:00,GHCND:USC00243113,19.0
35,",,7,",WSFG,2016-02-05T00:00:00,GHCND:USC00243113,34.9
36,",,7,",WSFG,2016-02-06T00:00:00,GHCND:USC00243113,42.9
37,",,7,",WSFG,2016-02-07T00:00:00,GHCND:USC00243113,45.0
38,",,7,",WSFG,2016-02-08T00:00:00,GHCND:USC00243113,16.1
39,",,7,",WSFG,2016-02-09T00:00:00,GHCND:USC00243113,13.0
40,",,7,",WSFG,2016-02-10T00:00:00,GHCND:USC00243113,13.0
41,",,7,",WSFG,2016-02-11T00:00:00,GHCND:USC00243113,27.1
42,",,7,",WSFG,2016-02-12T00:00:00,GHCND:USC00243113,21.0
43,",,7,",WSFG,2016-02-13T00:00:00,GHCND:USC00243113,11.0
44,",,7,",WSFG,2016-02-14T00:00:00,GHCND:USC00243113,29.1
45,",,7,",WSFG,2016-02-15T00:00:00,GHCND:USC00243113,27.1
46,",,7,",WSFG,2016-02-16T00:00:00,GHCND:USC00243113,19.9
47,",,7,",WSFG,2016-02-17T00:00:00,GHCND:USC00243113,19.9
48,",,7,",WSFG,2016-02-18T00:00:00,GHCND:USC00243113,8.1
49,",,7,",WSFG,2016-02-19T00:00:00,GHCND:USC00243113,29.1
50,",,7,",WSFG,2016-02-20T00:00:00,GHCND:USC00243113,42.9
51,",,7,",WSFG,2016-02-21T00:00:00,GHCND:USC00243113,23.9
52,",,7,",WSFG,2016-02-22T00:00:00,GHCND:USC00243113,13.0
53,",,7,",WSFG,2016-02-23T00:00:00,GHCND:USC00243113,19.9
54,",,7,",WSFG,2016-02-24T00:00:00,GHCND:USC00243113,16.1
55,",,7,",WSFG,2016-02-25T00:00:00,GHCND:USC00243113,10.1
56,",,7,",WSFG,2016-02-26T00:00:00,GHCND:USC00243113,13.0
57,",,7,",WSFG,2016-02-27T00:00:00,GHCND:USC00243113,17.0
58,",,7,",WSFG,2016-02-28T00:00:00,GHCND:USC00243113,23.0
59,",,7,",WSFG,2016-02-29T00:00:00,GHCND:USC00243113,19.9
60,",,7,",WSFG,2016-03-01T00:00:00,GHCND:USC00243113,25.1
61,",,7,",WSFG,2016-03-02T00:00:00,GHCND:USC00243113,21.0
62,",,7,",WSFG,2016-03-03T00:00:00,GHCND:USC00243113,38.9
63,",,7,",WSFG,2016-03-04T00:00:00,GHCND:USC00243113,36.0
64,",,7,",WSFG,2016-03-05T00:00:00,GHCND:USC00243113,16.1
65,",,7,",WSFG,2016-03-06T00:00:00,GHCND:USC00243113,21.9
66,",,7,",WSFG,2016-03-07T00:00:00,GHCND:USC00243113,25.1
67,",,7,",WSFG,2016-03-08T00:00:00,GHCND:USC00243113,23.0
68,",,7,",WSFG,2016-03-09T00:00:00,GHCND:USC00243113,15.0
69,",,7,",WSFG,2016-03-10T00:00:00,GHCND:USC00243113,23.0
70,",,7,",WSFG,2016-03-11T00:00:00,GHCND:USC00243113,40.9
71,",,7,",WSFG,2016-03-12T00:00:00,GHCND:USC00243113,19.0
72,",,7,",WSFG,2016-03-13T00:00:00,GHCND:USC00243113,31.1
73,",,7,",WSFG,2016-03-14T00:00:00,GHCND:USC00243113,34.9
74,",,7,",WSFG,2016-03-15T00:00:00,GHCND:USC00243113,23.0
75,",,7,",WSFG,2016-03-16T00:00:00,GHCND:USC00243113,25.9
76,",,7,",WSFG,2016-03-17T00:00:00,GHCND:USC00243113,19.9
77,",,7,",WSFG,2016-03-18T00:00:00,GHCND:USC00243113,19.0
78,",,7,",WSFG,2016-03-19T00:00:00,GHCND:USC00243113,13.0
79,",,7,",WSFG,2016-03-20T00:00:00,GHCND:USC00243113,10.1
80,",,7,",WSFG,2016-03-21T00:00:00,GHCND:USC00243113,8.1
81,",,7,",WSFG,2016-03-22T00:00:00,GHCND:USC00243113,32.0
