,attributes,datatype,date,station,value
0,",,7,",WSFG,2016-01-01T00:00:00,GHCND:USC00253065,17.0
1,",,7,",WSFG,2016-01-02T00:00:00,GHCND:USC00253065,28.0
2,",,7,",WSFG,2016-01-03T00:00:00,GHCND:USC00253065,17.9
3,",,7,",WSFG,2016-01-04T00:00:00,GHCND:USC00253065,17.9
4,",,7,",WSFG,2016-01-05T00:00:00,GHCND:USC00253065,23.9
5,",,7,",WSFG,2016-01-06T00:00:00,GHCND:USC00253065,30.0
6,",,7,",WSFG,2016-01-07T00:00:00,GHCND:USC00253065,17.9
7,",,7,",WSFG,2016-01-08T00:00:00,GHCND:USC00253065,25.1
8,",,7,",WSFG,2016-01-09T00:00:00,GHCND:USC00253065,31.1
9,",,7,",WSFG,2016-01-10T00:00:00,GHCND:USC00253065,31.1
10,",,7,",WSFG,2016-01-11T00:00:00,GHCND:USC00253065,19.9
11,",,7,",WSFG,2016-01-12T00:00:00,GHCND:USC00253065,25.1
12,",,7,",WSFG,2016-01-13T00:00:00,GHCND:USC00253065,21.0
13,",,7,",WSFG,2016-01-14T00:00:00,GHCND:USC00253065,21.9
14,",,7,",WSFG,2016-01-15T00:00:00,GHCND:USC00253065,38.9
15,",,7,",WSFG,2016-01-16T00:00:00,GHCND:USC00253065,25.9
16,",,7,",WSFG,2016-01-17T00:00:00,GHCND:USC00253065,25.1
17,",,7,",WSFG,2016-01-18T00:00:00,GHCND:USC00253065,17.0
18,",,7,",WSFG,2016-01-19T00:00:00,GHCND:USC00253065,17.0
19,",,7,",WSFG,2016-01-20T00:00:00,GHCND:USC00253065,17.0
20,",,7,",WSFG,2016-01-21T00:00:00,GHCND:USC00253065,19.9
21,",,7,",WSFG,2016-01-22T00:00:00,GHCND:USC00253065,19.9
22,",,7,",WSFG,2016-01-23T00:00:00,GHCND:USC00253065,21.9
23,",,7,",WSFG,2016-01-24T00:00:00,GHCND:USC00253065,27.1
24,",,7,",WSFG,2016-01-25T00:00:00,GHCND:USC00253065,25.9
25,",,7,",WSFG,2016-01-26T00:00:00,GHCND:USC00253065,36.9
26,",,7,",WSFG,2016-01-27T00:00:00,GHCND:USC00253065,14.1
27,",,7,",WSFG,2016-01-28T00:00:00,GHCND:USC00253065,19.9
28,",,7,",WSFG,2016-01-29T00:00:00,GHCND:USC00253065,23.0
29,",,7,",WSFG,2016-01-30T00:00:00,GHCND:USC00253065,21.0
30,",,7,",WSFG,2016-01-31T00:00:00,GHCND:USC00253065,25.1
31,",,7,",WSFG,2016-02-01T00:00:00,GHCND:USC00253065,19.0
32,",,7,",WSFG,2016-02-02T00:00:00,GHCND:USC00253065,49.0
33,",,7,",WSFG,2016-02-03T00:00:00,GHCND:USC00253065,44.1
34,",,7,",WSFG,2016-02-04T00:00:00,GHCND:USC00253065,30.0
35,",,7,",WSFG,2016-02-05T00:00:00,GHCND:USC00253065,17.9
36,",,7,",WSFG,2016-02-06T00:00:00,GHCND:USC00253065,21.9
37,",,7,",WSFG,2016-02-07T00:00:00,GHCND:USC00253065,27.1
38,",,7,",WSFG,2016-02-08T00:00:00,GHCND:USC00253065,50.1
39,",,7,",WSFG,2016-02-09T00:00:00,GHCND:USC00253065,51.0
40,",,7,",WSFG,2016-02-10T00:00:00,GHCND:USC00253065,34.9
41,",,7,",WSFG,2016-02-11T00:00:00,GHCND:USC00253065,17.0
42,",,7,",WSFG,2016-02-12T00:00:00,GHCND:USC00253065,23.0
43,",,7,",WSFG,2016-02-13T00:00:00,GHCND:USC00253065,23.0
44,",,7,",WSFG,2016-02-14T00:00:00,GHCND:USC00253065,23.0
45,",,7,",WSFG,2016-02-15T00:00:00,GHCND:USC00253065,19.9
46,",,7,",WSFG,2016-02-16T00:00:00,GHCND:USC00253065,38.0
47,",,7,",WSFG,2016-02-17T00:00:00,GHCND:USC00253065,33.1
48,",,7,",WSFG,2016-02-18T00:00:00,GHCND:USC00253065,17.0
49,",,7,",WSFG,2016-02-19T00:00:00,GHCND:USC00253065,40.0
50,",,7,",WSFG,2016-02-20T00:00:00,GHCND:USC00253065,33.1
51,",,7,",WSFG,2016-02-21T00:00:00,GHCND:USC00253065,17.9
52,",,7,",WSFG,2016-02-22T00:00:00,GHCND:USC00253065,25.9
53,",,7,",WSFG,2016-02-23T00:00:00,GHCND:USC00253065,17.9
54,",,7,",WSFG,2016-02-24T00:00:00,GHCND:USC00253065,31.1
55,",,7,",WSFG,2016-02-25T00:00:00,GHCND:USC00253065,25.9
56,",,7,",WSFG,2016-02-26T00:00:00,GHCND:USC00253065,28.0
57,",,7,",WSFG,2016-02-27T00:00:00,GHCND:USC00253065,23.9
58,",,7,",WSFG,2016-02-28T00:00:00,GHCND:USC00253065,36.9
59,",,7,",WSFG,2016-02-29T00:00:00,GHCND:USC00253065,47.0
60,",,7,",WSFG,2016-03-01T00:00:00,GHCND:USC00253065,36.0
61,",,7,",WSFG,2016-03-02T00:00:00,GHCND:USC00253065,25.9
62,",,7,",WSFG,2016-03-03T00:00:00,GHCND:USC00253065,36.0
63,",,7,",WSFG,2016-03-04T00:00:00,GHCND:USC00253065,23.9
64,",,7,",WSFG,2016-03-05T00:00:00,GHCND:USC00253065,25.9
65,",,7,",WSFG,2016-03-06T00:00:00,GHCND:USC00253065,19.9
66,",,7,",WSFG,2016-03-07T00:00:00,GHCND:USC00253065,36.9
67,",,7,",WSFG,2016-03-08T00:00:00,GHCND:USC00253065,38.9
68,",,7,",WSFG,2016-03-09T00:00:00,GHCND:USC00253065,21.9
69,",,7,",WSFG,2016-03-10T00:00:00,GHCND:USC00253065,15.0
70,",,7,",WSFG,2016-03-11T00:00:00,GHCND:USC00253065,19.9
71,",,7,",WSFG,2016-03-12T00:00:00,GHCND:USC00253065,32.0
72,",,7,",WSFG,2016-03-13T00:00:00,GHCND:USC00253065,17.9
73,",,7,",WSFG,2016-03-14T00:00:00,GHCND:USC00253065,16.1
74,",,7,",WSFG,2016-03-15T00:00:00,GHCND:USC00253065,34.9
75,",,7,",WSFG,2016-03-16T00:00:00,GHCND:USC00253065,40.0
76,",,7,",WSFG,2016-03-17T00:00:00,GHCND:USC00253065,36.9
77,",,7,",WSFG,2016-03-18T00:00:00,GHCND:USC00253065,19.9
78,",,7,",WSFG,2016-03-19T00:00:00,GHCND:USC00253065,28.0
79,",,7,",WSFG,2016-03-20T00:00:00,GHCND:USC00253065,36.0
80,",,7,",WSFG,2016-03-21T00:00:00,GHCND:USC00253065,21.9
81,",,7,",WSFG,2016-03-22T00:00:00,GHCND:USC00253065,36.9
82,",,7,",WSFG,2016-03-23T00:00:00,GHCND:USC00253065,25.9
83,",,7,",WSFG,2016-03-24T00:00:00,GHCND:USC00253065,46.1
84,",,7,",WSFG,2016-03-25T00:00:00,GHCND:USC00253065,33.1
85,",,7,",WSFG,2016-03-26T00:00:00,GHCND:USC00253065,28.0
86,",,7,",WSFG,2016-03-27T00:00:00,GHCND:USC00253065,31.1
87,",,7,",WSFG,2016-03-28T00:00:00,GHCND:USC00253065,15.0
88,",,7,",WSFG,2016-03-29T00:00:00,GHCND:USC00253065,33.1
89,",,7,",WSFG,2016-03-30T00:00:00,GHCND:USC00253065,42.1
90,",,7,",WSFG,2016-03-31T00:00:00,GHCND:USC00253065,38.0
91,",,7,",WSFG,2016-04-01T00:00:00,GHCND:USC00253065,38.9
92,",,7,",WSFG,2016-04-02T00:00:00,GHCND:USC00253065,38.9
93,",,7,",WSFG,2016-04-03T00:00:00,GHCND:USC00253065,30.0
94,",,7,",WSFG,2016-04-04T00:00:00,GHCND:USC00253065,36.0
95,",,7,",WSFG,2016-04-05T00:00:00,GHCND:USC00253065,23.9
96,",,7,",WSFG,2016-04-06T00:00:00,GHCND:USC00253065,36.9
97,",,7,",WSFG,2016-04-07T00:00:00,GHCND:USC00253065,45.0
98,",,7,",WSFG,2016-04-08T00:00:00,GHCND:USC00253065,53.0
99,",,7,",WSFG,2016-04-09T00:00:00,GHCND:USC00253065,38.0
100,",,7,",WSFG,2016-04-10T00:00:00,GHCND:USC00253065,34.0
101,",,7,",WSFG,2016-04-11T00:00:00,GHCND:USC00253065,34.0
102,",,7,",WSFG,2016-04-12T00:00:00,GHCND:USC00253065,31.1
103,",,7,",WSFG,2016-04-13T00:00:00,GHCND:USC00253065,30.0
104,",,7,",WSFG,2016-04-14T00:00:00,GHCND:USC00253065,30.0
105,",,7,",WSFG,2016-04-15T00:00:00,GHCND:USC00253065,32.0
106,",,7,",WSFG,2016-04-16T00:00:00,GHCND:USC00253065,40.9
107,",,7,",WSFG,2016-04-17T00:00:00,GHCND:USC00253065,29.1
108,",,7,",WSFG,2016-04-18T00:00:00,GHCND:USC00253065,28.0
109,",,7,",WSFG,2016-04-19T00:00:00,GHCND:USC00253065,23.9
110,",,7,",WSFG,2016-04-20T00:00:00,GHCND:USC00253065,17.9
111,",,7,",WSFG,2016-04-21T00:00:00,GHCND:USC00253065,27.1
112,",,7,",WSFG,2016-04-22T00:00:00,GHCND:USC00253065,33.1
113,",,7,",WSFG,2016-04-23T00:00:00,GHCND:USC00253065,15.0
114,",,7,",WSFG,2016-04-24T00:00:00,GHCND:USC00253065,38.0
115,",,7,",WSFG,2016-04-25T00:00:00,GHCND:USC00253065,42.9
116,",,7,",WSFG,2016-04-26T00:00:00,GHCND:USC00253065,30.0
117,",,7,",WSFG,2016-04-27T00:00:00,GHCND:USC00253065,31.1
118,",,7,",WSFG,2016-04-28T00:00:00,GHCND:USC00253065,36.0
119,",,7,",WSFG,2016-04-29T00:00:00,GHCND:USC00253065,25.9
120,",,7,",WSFG,2016-04-30T00:00:00,GHCND:USC00253065,34.9
121,",,7,",WSFG,2016-05-01T00:00:00,GHCND:USC00253065,23.9
122,",,7,",WSFG,2016-05-02T00:00:00,GHCND:USC00253065,28.0
123,",,7,",WSFG,2016-05-03T00:00:00,GHCND:USC00253065,17.9
124,",,7,",WSFG,2016-05-04T00:00:00,GHCND:USC00253065,23.9
125,",,7,",WSFG,2016-05-05T00:00:00,GHCND:USC00253065,27.1
126,",,7,",WSFG,2016-05-06T00:00:00,GHCND:USC00253065,14.1
127,",,7,",WSFG,2016-05-07T00:00:00,GHCND:USC00253065,31.1
