,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014609,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014609,260
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014609,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014609,10
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014609,210
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014609,260
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014609,260
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014609,110
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014609,130
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014609,110
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014609,230
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014609,110
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014609,320
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014609,260
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014609,280
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014609,360
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014609,240
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014609,290
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014609,280
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014609,280
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014609,320
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014609,320
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014609,360
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014609,360
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014609,10
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014609,200
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014609,300
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014609,180
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014609,360
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014609,350
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014609,200
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014609,270
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014609,360
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014609,170
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014609,280
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014609,340
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014609,230
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014609,300
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014609,30
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014609,10
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014609,220
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014609,290
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014609,300
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014609,350
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014609,270
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014609,280
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014609,160
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014609,250
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014609,360
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014609,240
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014609,160
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014609,320
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014609,350
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014609,170
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014609,80
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014609,170
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00014609,270
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00014609,200
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00014609,360
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00014609,280
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00014609,270
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00014609,290
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00014609,250
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00014609,240
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00014609,10
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00014609,240
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00014609,220
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00014609,360
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00014609,130
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00014609,30
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00014609,330
