,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00093042,8.7
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00093042,5.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00093042,6.7
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00093042,8.5
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00093042,16.6
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00093042,10.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00093042,8.3
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00093042,12.5
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00093042,10.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00093042,6.3
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00093042,6.5
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00093042,6.3
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00093042,7.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00093042,9.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00093042,9.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00093042,8.7
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00093042,7.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00093042,12.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00093042,13.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00093042,11.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00093042,17.9
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00093042,7.8
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00093042,6.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00093042,15.2
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00093042,12.8
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00093042,7.4
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00093042,7.6
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00093042,9.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00093042,11.2
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00093042,15.2
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00093042,11.4
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00093042,13.4
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00093042,19.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00093042,7.4
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00093042,10.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00093042,18.3
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00093042,9.4
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00093042,13.0
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00093042,11.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00093042,8.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00093042,10.5
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00093042,9.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00093042,9.6
