,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00023259,2.7
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00023259,2.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00023259,3.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00023259,3.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00023259,6.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00023259,7.4
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00023259,5.1
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00023259,4.3
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00023259,2.9
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00023259,2.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00023259,2.9
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00023259,3.8
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00023259,7.4
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00023259,5.8
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00023259,3.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00023259,2.5
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00023259,3.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00023259,4.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00023259,7.8
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00023259,4.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00023259,2.7
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00023259,4.7
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00023259,6.7
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00023259,3.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00023259,5.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00023259,4.7
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00023259,4.0
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00023259,3.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00023259,5.6
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00023259,7.4
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00023259,12.8
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00023259,12.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00023259,4.7
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00023259,5.4
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00023259,4.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00023259,3.6
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00023259,4.5
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00023259,5.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00023259,4.0
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00023259,5.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00023259,3.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00023259,2.9
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00023259,4.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00023259,4.3
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00023259,3.8
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00023259,6.5
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00023259,4.5
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00023259,9.2
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00023259,7.2
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00023259,6.7
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00023259,5.4
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00023259,5.4
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00023259,6.3
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00023259,4.7
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00023259,4.5
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00023259,3.8
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00023259,4.5
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00023259,4.7
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00023259,4.9
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00023259,4.0
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00023259,6.9
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00023259,5.4
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00023259,4.5
