,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00023237,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00023237,290
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00023237,260
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00023237,120
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00023237,160
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00023237,140
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00023237,280
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00023237,130
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00023237,130
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00023237,90
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00023237,70
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00023237,120
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00023237,130
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00023237,110
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00023237,260
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00023237,150
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00023237,130
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00023237,80
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00023237,150
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00023237,60
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00023237,150
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00023237,150
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00023237,260
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00023237,300
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00023237,280
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00023237,210
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00023237,260
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00023237,120
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00023237,170
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00023237,300
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00023237,330
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00023237,330
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00023237,140
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00023237,130
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00023237,300
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00023237,240
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00023237,310
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00023237,60
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00023237,130
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00023237,290
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00023237,320
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00023237,310
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00023237,340
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00023237,340
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00023237,320
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00023237,290
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00023237,100
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00023237,170
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00023237,160
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00023237,220
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00023237,300
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00023237,310
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00023237,330
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00023237,280
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00023237,290
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00023237,270
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00023237,320
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00023237,310
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00023237,300
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00023237,280
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00023237,310
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00023237,280
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00023237,90
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00023237,150
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00023237,150
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00023237,290
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00023237,150
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00023237,270
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00023237,140
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00023237,140
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00023237,250
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00023237,160
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00023237,140
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00023237,300
