,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00003965,320
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00003965,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00003965,360
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00003965,70
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00003965,160
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00003965,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00003965,170
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00003965,30
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00003965,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00003965,340
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00003965,250
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00003965,30
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00003965,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00003965,190
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00003965,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00003965,350
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00003965,20
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00003965,150
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00003965,130
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00003965,120
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00003965,340
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00003965,350
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00003965,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00003965,180
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00003965,280
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00003965,320
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00003965,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00003965,320
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00003965,190
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00003965,180
